OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62943 (Grantsburg),Johnson County,Illinois,8626410cfffffff,54,24.11,24.11,56407499.99609375,27984.267245494222,1758492504859,Synapse54,1758492504859,Synapse54
2,62943 (Grantsburg),Johnson County,Illinois,8626410dfffffff,53,24.09,24.09,56489999.99609375,28003.11334361876,1758492504859,Synapse54,1758492504859,Synapse54
3,62910 (Brookport),Pope County,Illinois,862641207ffffff,29,25.44,25.44,55923750.0,27859.47846816504,1758492504859,Synapse54,1758492504859,Synapse54
4,62910 (Brookport),Pope County,Illinois,86264120fffffff,44,29.14,29.14,55776250.0,27824.29021566158,1758492504859,Synapse54,1758492504859,Synapse54
5,62910 (Brookport),Massac County,Illinois,862641217ffffff,38,27.34,27.34,55957500.0,27876.803127537594,1758492504859,Synapse54,1758492504859,Synapse54
6,62910 (Brookport),Massac County,Illinois,86264121fffffff,88,24.65,24.65,55938750.00390625,27862.47750898574,1758492504859,Synapse54,1758492504859,Synapse54
7,61747 (Hopedale),Tazewell County,Illinois,862662197ffffff,39,22.54,22.54,60672500.0,29020.746014170883,1758492504859,Synapse54,1758492504859,Synapse54
8,42081 (Smithland),Livingston County,Kentucky,862641227ffffff,19,25.0,25.0,55943750.0,27868.17562579575,1758492504859,Synapse54,1758492504859,Synapse54
9,61759 (Minier),Tazewell County,Illinois,86266219fffffff,237,23.42,23.42,61075000.0,29118.606338256865,1758492504859,Synapse54,1758492504859,Synapse54
10,42081 (Smithland),Livingston County,Kentucky,86264122fffffff,16,24.24,24.24,55776250.0,27824.29021566158,1758492504859,Synapse54,1758492504859,Synapse54
11,61732 (Danvers),McLean County,Illinois,8626621a7ffffff,20,23.53,23.53,61143750.0,29138.768774110762,1758492504859,Synapse54,1758492504859,Synapse54
12,62938 (Golconda),Pope County,Illinois,862641237ffffff,15,28.3,28.3,55943750.0,27868.17562579575,1758492504859,Synapse54,1758492504859,Synapse54
13,61774 (Stanford),McLean County,Illinois,8626621afffffff,147,22.41,22.41,61002500.0,29101.418462565838,1758492504859,Synapse54,1758492504859,Synapse54
14,42058 (Ledbetter),Livingston County,Kentucky,862641257ffffff,125,25.51,25.51,55943750.00390625,27868.17562579575,1758492504859,Synapse54,1758492504859,Synapse54
15,61755 (Mackinaw),Tazewell County,Illinois,8626621b7ffffff,68,17.62,17.62,61097500.0,29123.211025247107,1758492504859,Synapse54,1758492504859,Synapse54
16,62910 (Brookport),Massac County,Illinois,862641287ffffff,113,22.74,22.74,56092500.0,27903.118942252677,1758492504859,Synapse54,1758492504859,Synapse54
17,42086 (West Paducah),McCracken County,Kentucky,862641297ffffff,1243,21.36,21.36,55938750.0,27862.47750898574,1758492504859,Synapse54,1758492504859,Synapse54
18,62960 (Metropolis),Massac County,Illinois,8626412a7ffffff,104,27.3,27.3,56092500.0,27903.118942252677,1758492504859,Synapse54,1758492504859,Synapse54
19,61756 (Maroa),Macon County,Illinois,862662207ffffff,24,23.08,23.08,59754999.9921875,28804.80535423771,1758492504859,Synapse54,1758492504859,Synapse54
20,62910 (Brookport),Massac County,Illinois,8626412afffffff,280,24.18,24.18,55957500.0,27876.803127537594,1758492504859,Synapse54,1758492504859,Synapse54
21,62960 (Metropolis),Massac County,Illinois,8626412b7ffffff,394,26.51,26.51,55755000.0,27820.240556729095,1758492504859,Synapse54,1758492504859,Synapse54
22,62554 (Oreana),Macon County,Illinois,86266220fffffff,224,20.65,20.65,59381250.0078125,28715.427648687455,1758492504859,Synapse54,1758492504859,Synapse54
23,62910 (Brookport),Massac County,Illinois,8626412e7ffffff,175,23.06,23.06,55755000.0,27820.240556729095,1758492504859,Synapse54,1758492504859,Synapse54
24,62910 (Brookport),Massac County,Illinois,8626412f7ffffff,619,22.77,22.77,55754999.99609375,27820.240556729095,1758492504859,Synapse54,1758492504859,Synapse54
25,42081 (Smithland),Livingston County,Kentucky,862641307ffffff,6,24.0,24.0,55755000.0,27820.240556729095,1758492504859,Synapse54,1758492504859,Synapse54
