OBJECTID,admin4_name,admin3_name,admin2_name,id,MP19180A_B,MP19180A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62356 (New Canton),Pike County,Illinois,862673a4fffffff,69,22.19,22.19,60058750.0,28870.533628152676,1758492523392,Synapse54,1758492523392,Synapse54
2,62343 (Hull),Pike County,Illinois,862673a57ffffff,67,22.11,22.11,60218750.00390625,28912.779132913332,1758492523392,Synapse54,1758492523392,Synapse54
3,62345 (Kinderhook),Pike County,Illinois,862673a5fffffff,4,23.53,23.53,59955000.0,28843.743686945945,1758492523392,Synapse54,1758492523392,Synapse54
4,62312 (Barry),Pike County,Illinois,862673a67ffffff,16,22.86,22.86,60045000.0,28873.176330769522,1758492523392,Synapse54,1758492523392,Synapse54
5,62312 (Barry),Pike County,Illinois,862673a6fffffff,240,22.28,22.28,60232500.0,28915.132722347902,1758492523392,Synapse54,1758492523392,Synapse54
6,62343 (Hull),Pike County,Illinois,862673a77ffffff,20,21.74,21.74,60337500.0,28938.041241530176,1758492523392,Synapse54,1758492523392,Synapse54
7,63401 (Hannibal),Marion County,Missouri,862673aafffffff,498,25.43,25.43,60499999.99609375,28980.6581194895,1758492523392,Synapse54,1758492523392,Synapse54
8,62343 (Hull),Pike County,Illinois,862673ae7ffffff,4,19.05,19.05,59942499.99609375,28846.389074054474,1758492523392,Synapse54,1758492523392,Synapse54
9,62345 (Kinderhook),Pike County,Illinois,862673aefffffff,53,17.97,17.97,60232500.00390625,28914.901016324584,1758492523392,Synapse54,1758492523392,Synapse54
10,63401 (Hannibal),Marion County,Missouri,862673af7ffffff,2276,24.43,24.43,60128750.0,28888.342781141168,1758492523392,Synapse54,1758492523392,Synapse54
11,62305 (Quincy),Adams County,Illinois,862673b07ffffff,154,20.9,20.9,60718750.0,29036.69941687645,1758492523392,Synapse54,1758492523392,Synapse54
12,62305 (Quincy),Adams County,Illinois,862673b0fffffff,55,17.8,17.8,60232499.99609375,28914.901016324584,1758492523392,Synapse54,1758492523392,Synapse54
13,62305 (Quincy),Adams County,Illinois,862673b17ffffff,980,26.78,26.78,60337500.0,28938.041241530176,1758492523392,Synapse54,1758492523392,Synapse54
14,62305 (Quincy),Adams County,Illinois,862673b1fffffff,179,25.25,25.25,60440000.0,28965.199871443892,1758492523392,Synapse54,1758492523392,Synapse54
15,62338 (Fowler),Adams County,Illinois,862673b27ffffff,39,17.89,17.89,60441250.0,28965.202555935575,1758492523392,Synapse54,1758492523392,Synapse54
16,62821 (Carmi),White County,Illinois,86264524fffffff,25,20.49,20.49,56363750.00390625,27977.19726350761,1758492523392,Synapse54,1758492523392,Synapse54
17,62916 (Campbell Hill),Jackson County,Illinois,862640207ffffff,24,18.05,18.05,57397500.0,28221.02357076494,1758492523392,Synapse54,1758492523392,Synapse54
18,47631 (New Harmony),Posey County,Indiana,86264526fffffff,6,21.43,21.43,56134999.99609375,27921.19020520542,1758492523392,Synapse54,1758492523392,Synapse54
19,62338 (Fowler),Adams County,Illinois,862673b37ffffff,99,22.71,22.71,60406250.00390625,28959.613305042094,1758492523392,Synapse54,1758492523392,Synapse54
20,62827 (Crossville),White County,Illinois,86264534fffffff,20,22.47,22.47,56351249.99609375,27970.178915552202,1758492523392,Synapse54,1758492523392,Synapse54
21,62907 (Ava),Jackson County,Illinois,86264020fffffff,42,17.65,17.65,57198750.00390625,28176.431321666434,1758492523392,Synapse54,1758492523392,Synapse54
22,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,8,25.81,25.81,56429999.99609375,27988.19279691602,1758492523392,Synapse54,1758492523392,Synapse54
23,62056 (Litchfield),Montgomery County,Illinois,862644727ffffff,332,22.54,22.54,58781250.0,28567.87574780077,1758492523392,Synapse54,1758492523392,Synapse54
24,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,3,25.0,25.0,56164999.99609375,27928.432000688917,1758492523392,Synapse54,1758492523392,Synapse54
25,62916 (Campbell Hill),Jackson County,Illinois,862640217ffffff,66,18.13,18.13,57401250.00390625,28226.01941034978,1758492523392,Synapse54,1758492523392,Synapse54
26,62347 (Liberty),Adams County,Illinois,862673b47ffffff,32,17.58,17.58,60543750.00390625,28991.989812650623,1758492523392,Synapse54,1758492523392,Synapse54
27,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,9,26.47,26.47,56135000.0,27915.620822769335,1758492523392,Synapse54,1758492523392,Synapse54
28,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56135000.00390625,27915.620822769335,1758492523392,Synapse54,1758492523392,Synapse54
29,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,9,24.32,24.32,56135000.00390625,27915.620822769335,1758492523392,Synapse54,1758492523392,Synapse54
30,62867 (New Haven),White County,Illinois,86266a58fffffff,5,21.74,21.74,56134999.99609375,27915.620822769335,1758492523392,Synapse54,1758492523392,Synapse54
31,62821 (Carmi),White County,Illinois,86266a5afffffff,4,19.05,19.05,56532500.0,28015.598433874227,1758492523392,Synapse54,1758492523392,Synapse54
32,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,256,21.26,21.26,56340000.00390625,27972.40576972079,1758492523392,Synapse54,1758492523392,Synapse54
33,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,470,22.13,22.13,56340000.0,27972.40576972079,1758492523392,Synapse54,1758492523392,Synapse54
34,47631 (New Harmony),Posey County,Indiana,86266a537ffffff,12,25.0,25.0,56455000.0,27997.829653857236,1758492523392,Synapse54,1758492523392,Synapse54
35,47631 (New Harmony),Posey County,Indiana,86266ac87ffffff,89,19.91,19.91,56070000.0,27905.06410782499,1758492523392,Synapse54,1758492523392,Synapse54
36,62827 (Crossville),White County,Illinois,86266ac97ffffff,1,33.33,33.33,56436249.99609375,27999.82498071102,1758492523392,Synapse54,1758492523392,Synapse54
37,47631 (New Harmony),Posey County,Indiana,86266ac9fffffff,132,20.95,20.95,56267500.00390625,27955.837637647124,1758492523392,Synapse54,1758492523392,Synapse54
38,47616 (Griffin),Posey County,Indiana,86266acb7ffffff,42,19.81,19.81,56455000.00390625,27997.829653857236,1758492523392,Synapse54,1758492523392,Synapse54
39,62863 (Mount Carmel),Wabash County,Illinois,86266ad87ffffff,9,18.75,18.75,56455000.0,27997.829653857236,1758492523392,Synapse54,1758492523392,Synapse54
40,62863 (Mount Carmel),Wabash County,Illinois,86266ad97ffffff,20,20.0,20.0,56453750.0,27997.58455251041,1758492523392,Synapse54,1758492523392,Synapse54
41,47616 (Griffin),Gibson County,Indiana,86266ad9fffffff,7,21.88,21.88,56237500.00390625,27943.4736733222,1758492523392,Synapse54,1758492523392,Synapse54
42,47665 (Owensville),Gibson County,Indiana,86266ada7ffffff,5,19.23,19.23,56358750.0,27976.233321780514,1758492523392,Synapse54,1758492523392,Synapse54
43,62863 (Mount Carmel),Wabash County,Illinois,862645a67ffffff,42,17.95,17.95,56557500.0,28025.65791476663,1758492523392,Synapse54,1758492523392,Synapse54
44,62863 (Mount Carmel),Wabash County,Illinois,862645a6fffffff,849,23.3,23.3,56816250.0,28090.03254683332,1758492523392,Synapse54,1758492523392,Synapse54
45,47885 (West Terre Haute),Vigo County,Indiana,862663a5fffffff,75,20.89,20.89,58133749.99609375,28416.84109864638,1758492523392,Synapse54,1758492523392,Synapse54
46,62439 (Lawrenceville),Lawrence County,Illinois,86266e44fffffff,619,29.34,29.34,56462500.0,28004.306684036736,1758492523392,Synapse54,1758492523392,Synapse54
47,47561 (Oaktown),Knox County,Indiana,86266e467ffffff,19,17.76,17.76,56706250.0,28062.983138714026,1758492523392,Synapse54,1758492523392,Synapse54
48,47591 (Vincennes),Knox County,Indiana,86266e46fffffff,55,20.45,20.45,56636250.0,28048.0148154559,1758492523392,Synapse54,1758492523392,Synapse54
49,62451 (Palestine),Crawford County,Illinois,86266e527ffffff,34,18.09,18.09,57434999.99609375,28245.037474635494,1758492523392,Synapse54,1758492523392,Synapse54
50,47861 (Merom),Sullivan County,Indiana,86266e52fffffff,118,22.06,22.06,57487500.0,28255.53455376411,1758492523392,Synapse54,1758492523392,Synapse54
