OBJECTID,admin4_name,admin3_name,admin2_name,id,MP19180A_B,MP19180A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47971 (Oxford),Benton County,Indiana,862660a37ffffff,17,20.0,20.0,61530000.00390625,29227.02632739578,1758492543271,Synapse54,1758492543271,Synapse54
2,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,13,17.33,17.33,56462500.0,28004.306684036736,1758492543271,Synapse54,1758492543271,Synapse54
3,47992 (Westpoint),Tippecanoe County,Indiana,862660a47ffffff,212,31.04,31.04,61368749.99609375,29185.876826312848,1758492543271,Synapse54,1758492543271,Synapse54
4,46307 (Crown Point),Lake County,Indiana,8626640c7ffffff,4404,28.7,28.7,64406250.00390625,29896.186740445817,1758492543271,Synapse54,1758492543271,Synapse54
5,62821 (Carmi),White County,Illinois,86264524fffffff,25,20.49,20.49,56532500.0,28015.598433874227,1758492543271,Synapse54,1758492543271,Synapse54
6,47992 (Westpoint),Tippecanoe County,Indiana,862660a4fffffff,122,25.68,25.68,60992499.99609375,29097.844046497055,1758492543271,Synapse54,1758492543271,Synapse54
7,47926 (Burnettsville),White County,Indiana,86266556fffffff,26,17.69,17.69,62852499.99609375,29535.92638639904,1758492543271,Synapse54,1758492543271,Synapse54
8,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,42,17.95,17.95,56005000.00390625,27890.50745898393,1758492543271,Synapse54,1758492543271,Synapse54
9,47970 (Otterbein),Warren County,Indiana,862660a57ffffff,46,17.62,17.62,61241250.00390625,29154.390805788826,1758492543271,Synapse54,1758492543271,Synapse54
10,47850 (Farmersburg),Sullivan County,Indiana,86266ed8fffffff,51,18.89,18.89,57697500.0,28302.34841694258,1758492543271,Synapse54,1758492543271,Synapse54
11,47527 (Dubois),Dubois County,Indiana,86266e357ffffff,35,18.32,18.32,55895000.0,27863.598812598404,1758492543271,Synapse54,1758492543271,Synapse54
12,47970 (Otterbein),Warren County,Indiana,862660a5fffffff,57,20.73,20.73,61368750.0,29185.876826312848,1758492543271,Synapse54,1758492543271,Synapse54
13,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,1372,31.37,31.37,64185000.0,29844.258457732598,1758492543271,Synapse54,1758492543271,Synapse54
14,47960 (Monticello),White County,Indiana,862665577ffffff,70,19.94,19.94,62659999.99609375,29489.416697112498,1758492543271,Synapse54,1758492543271,Synapse54
