OBJECTID,admin4_name,admin3_name,admin2_name,id,MP19180A_B,MP19180A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53507 (Barneveld),Iowa County,Wisconsin,8627587b7ffffff,60,24.49,24.49,68902500.0,30914.91025200175,1758492559352,Synapse54,1758492559352,Synapse54
2,53105 (Burlington),Walworth County,Wisconsin,862759897ffffff,543,24.18,24.18,68227499.99609375,30765.371000856394,1758492559352,Synapse54,1758492559352,Synapse54
3,54427 (Eland),Marathon County,Wisconsin,862742697ffffff,66,17.65,17.65,75857499.99609375,32435.02015796872,1758492559352,Synapse54,1758492559352,Synapse54
4,53578 (Prairie du Sac),Sauk County,Wisconsin,862758cd7ffffff,73,21.04,21.04,70113750.00390625,31183.93680627284,1758492559352,Synapse54,1758492559352,Synapse54
5,53105 (Burlington),Kenosha County,Wisconsin,86275989fffffff,288,25.35,25.35,67758750.0,30660.226537567294,1758492559352,Synapse54,1758492559352,Synapse54
6,54499 (Wittenberg),Shawano County,Wisconsin,86274269fffffff,39,17.81,17.81,75485000.0078125,32352.5232590475,1758492559352,Synapse54,1758492559352,Synapse54
7,53105 (Burlington),Racine County,Wisconsin,8627598a7ffffff,268,24.23,24.23,68583749.99609375,30846.989133411662,1758492559352,Synapse54,1758492559352,Synapse54
8,53578 (Prairie du Sac),Sauk County,Wisconsin,862758cdfffffff,655,27.11,27.11,70115000.0,31189.25428208933,1758492559352,Synapse54,1758492559352,Synapse54
9,54499 (Wittenberg),Shawano County,Wisconsin,8627426a7ffffff,45,17.65,17.65,75753750.0,32413.47031545985,1758492559352,Synapse54,1758492559352,Synapse54
10,53168 (Salem),Kenosha County,Wisconsin,8627598afffffff,91,28.26,28.26,67931250.0,30701.73939943433,1758492559352,Synapse54,1758492559352,Synapse54
11,54486 (Tigerton),Shawano County,Wisconsin,8627426afffffff,29,17.58,17.58,75802500.0078125,32421.501252708982,1758492559352,Synapse54,1758492559352,Synapse54
12,53804 (Bloomington),Grant County,Wisconsin,86275a007ffffff,23,19.33,19.33,67930000.00390625,30701.653839832223,1758492559352,Synapse54,1758492559352,Synapse54
13,53813 (Lancaster),Grant County,Wisconsin,86275a00fffffff,29,17.9,17.9,68156249.99609375,30749.785278748863,1758492559352,Synapse54,1758492559352,Synapse54
14,54427 (Eland),Shawano County,Wisconsin,8627426b7ffffff,58,17.68,17.68,75857500.00390625,32435.02015796872,1758492559352,Synapse54,1758492559352,Synapse54
15,53105 (Burlington),Racine County,Wisconsin,8627598b7ffffff,2690,28.99,28.99,68227500.0,30765.371000856394,1758492559352,Synapse54,1758492559352,Synapse54
16,53804 (Bloomington),Grant County,Wisconsin,86275a017ffffff,140,21.67,21.67,67930000.00390625,30701.653839832223,1758492559352,Synapse54,1758492559352,Synapse54
17,54486 (Tigerton),Shawano County,Wisconsin,8627426c7ffffff,31,17.92,17.92,75489999.99609375,32354.91897086147,1758492559352,Synapse54,1758492559352,Synapse54
18,53810 (Glen Haven),Grant County,Wisconsin,86275a01fffffff,26,17.45,17.45,68156250.0,30749.785278748863,1758492559352,Synapse54,1758492559352,Synapse54
19,54950 (Marion),Waupaca County,Wisconsin,8627426cfffffff,45,18.52,18.52,75221250.00390625,32298.092361798652,1758492559352,Synapse54,1758492559352,Synapse54
20,53816 (Mount Hope),Grant County,Wisconsin,86275a027ffffff,21,18.1,18.1,68673749.99609375,30870.160837979627,1758492559352,Synapse54,1758492559352,Synapse54
21,54486 (Tigerton),Shawano County,Wisconsin,8627426d7ffffff,32,17.78,17.78,75012500.0,32252.809536213055,1758492559352,Synapse54,1758492559352,Synapse54
22,53813 (Lancaster),Grant County,Wisconsin,86275a02fffffff,15,18.29,18.29,68322500.0,30792.873169802253,1758492559352,Synapse54,1758492559352,Synapse54
23,54486 (Tigerton),Waupaca County,Wisconsin,8627426dfffffff,10,17.86,17.86,75382500.0,32331.185987784742,1758492559352,Synapse54,1758492559352,Synapse54
