OBJECTID,admin4_name,admin3_name,admin2_name,id,X9073_X,X9073_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53813 (Lancaster),Grant County,Wisconsin,86275aa97ffffff,6593,99.89,99.89,68392500.00390625,30804.70819017878,1758492577523,Synapse54,1758492577523,Synapse54
2,53818 (Platteville),Grant County,Wisconsin,86275aa9fffffff,14508,98.69,98.69,67865000.0,30686.7154466614,1758492577523,Synapse54,1758492577523,Synapse54
3,53818 (Platteville),Grant County,Wisconsin,86275aaa7ffffff,7193,94.64,94.64,68610000.0,30853.063671085874,1758492577523,Synapse54,1758492577523,Synapse54
4,53818 (Platteville),Grant County,Wisconsin,86275aaafffffff,6968,92.91,92.91,67958749.99609375,30708.79602797541,1758492577523,Synapse54,1758492577523,Synapse54
5,53813 (Lancaster),Grant County,Wisconsin,86275aab7ffffff,7251,95.41,95.41,68215000.0078125,30761.844341115844,1758492577523,Synapse54,1758492577523,Synapse54
6,53510 (Belmont),Lafayette County,Wisconsin,86275aac7ffffff,4665,86.39,86.39,67762499.99609375,30662.025664911213,1758492577523,Synapse54,1758492577523,Synapse54
7,53807 (Cuba City),Lafayette County,Wisconsin,86275aacfffffff,5522,93.59,93.59,67410000.00390625,30578.674662752463,1758492577523,Synapse54,1758492577523,Synapse54
8,53818 (Platteville),Grant County,Wisconsin,86275aad7ffffff,5987,88.04,88.04,67586250.0,30621.51086191102,1758492577523,Synapse54,1758492577523,Synapse54
9,53807 (Cuba City),Lafayette County,Wisconsin,86275aadfffffff,5715,90.71,90.71,67762500.00390625,30662.025664911213,1758492577523,Synapse54,1758492577523,Synapse54
10,53510 (Belmont),Lafayette County,Wisconsin,86275aae7ffffff,43303,84.25,84.25,67907500.0,30695.675377292657,1758492577523,Synapse54,1758492577523,Synapse54
11,53510 (Belmont),Lafayette County,Wisconsin,86275aaefffffff,4317,93.85,93.85,67907500.0,30695.675377292657,1758492577523,Synapse54,1758492577523,Synapse54
12,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,3149,104.97,104.97,75304999.99609375,32313.800822712084,1758492577523,Synapse54,1758492577523,Synapse54
13,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,3707,75.65,75.65,76308749.99609375,32529.43878406359,1758492577523,Synapse54,1758492577523,Synapse54
14,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,50526,108.19,108.19,75782499.99609375,32420.079018375076,1758492577523,Synapse54,1758492577523,Synapse54
15,53565 (Mineral Point),Iowa County,Wisconsin,86275ab4fffffff,8467,112.89,112.89,68228750.0,30770.128305730454,1758492577523,Synapse54,1758492577523,Synapse54
16,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,62819,95.47,95.47,71737500.0,31543.113704285806,1758492577523,Synapse54,1758492577523,Synapse54
17,53565 (Mineral Point),Iowa County,Wisconsin,86275ab57ffffff,122846,94.94,94.94,68632500.0,30860.550056061475,1758492577523,Synapse54,1758492577523,Synapse54
18,54140 (Little Chute),Outagamie County,Wisconsin,86275cb27ffffff,940819,100.54,100.54,74290000.0,32097.066326799035,1758492577523,Synapse54,1758492577523,Synapse54
19,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,9680,76.83,76.83,76627500.0078125,32600.888954781985,1758492577523,Synapse54,1758492577523,Synapse54
20,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,17084,106.78,106.78,76362500.0,32542.88954401976,1758492577523,Synapse54,1758492577523,Synapse54
21,53128 (Genoa City),Walworth County,Wisconsin,862759137ffffff,255735,104.77,104.77,67725000.0,30647.797766378,1758492577523,Synapse54,1758492577523,Synapse54
22,53565 (Mineral Point),Iowa County,Wisconsin,86275ab5fffffff,10112,95.4,95.4,68255000.00390625,30769.712668927124,1758492577523,Synapse54,1758492577523,Synapse54
23,54180 (Wrightstown),Brown County,Wisconsin,8627434f7ffffff,182189,108.58,108.58,74117500.0,32062.228929855257,1758492577523,Synapse54,1758492577523,Synapse54
24,53959 (Reedsburg),Sauk County,Wisconsin,86275e267ffffff,18593,84.9,84.9,70575000.0,31289.017309228664,1758492577523,Synapse54,1758492577523,Synapse54
25,53147 (Lake Geneva),Walworth County,Wisconsin,8627591a7ffffff,20130,106.51,106.51,68097500.00390625,30734.770362647352,1758492577523,Synapse54,1758492577523,Synapse54
26,54130 (Kaukauna),Calumet County,Wisconsin,86275cb2fffffff,822324,121.57,121.57,73900000.0,32012.599706801335,1758492577523,Synapse54,1758492577523,Synapse54
27,53936 (Grand Marsh),Adams County,Wisconsin,86275ea77ffffff,14627,57.81,57.81,72085000.0,31618.90342469078,1758492577523,Synapse54,1758492577523,Synapse54
28,53943 (Loganville),Sauk County,Wisconsin,86275e26fffffff,11824,86.94,86.94,70373749.99609375,31244.235149327957,1758492577523,Synapse54,1758492577523,Synapse54
29,53184 (Walworth),Walworth County,Wisconsin,8627591b7ffffff,18497,122.5,122.5,67474999.99609375,30594.86292034724,1758492577523,Synapse54,1758492577523,Synapse54
30,53959 (Reedsburg),Sauk County,Wisconsin,86275e277ffffff,14990,81.91,81.91,70247500.0,31214.74038936085,1758492577523,Synapse54,1758492577523,Synapse54
31,53525 (Clinton),Rock County,Wisconsin,862759507ffffff,74578,96.48,96.48,68145000.0,30747.6074004516,1758492577523,Synapse54,1758492577523,Synapse54
32,53581 (Richland Center),Richland County,Wisconsin,86275e287ffffff,5724,60.89,60.89,70260000.00390625,31219.903569755537,1758492577523,Synapse54,1758492577523,Synapse54
33,54313 (Green Bay),Brown County,Wisconsin,862743507ffffff,30027,119.63,119.63,75232500.0,32297.836704056674,1758492577523,Synapse54,1758492577523,Synapse54
34,54302 (Green Bay),Brown County,Wisconsin,86274350fffffff,1045168,66.2,66.2,75107499.99609375,32271.926106431136,1758492577523,Synapse54,1758492577523,Synapse54
35,54313 (Green Bay),Brown County,Wisconsin,862743517ffffff,907773,130.61,130.61,75216250.0,32296.975889975613,1758492577523,Synapse54,1758492577523,Synapse54
36,53581 (Richland Center),Richland County,Wisconsin,86275e28fffffff,9551,74.62,74.62,70510000.0,31275.612475898088,1758492577523,Synapse54,1758492577523,Synapse54
37,54913 (Appleton),Outagamie County,Wisconsin,86275cb37ffffff,1815410,126.88,126.88,74054999.99609375,32049.00196695482,1758492577523,Synapse54,1758492577523,Synapse54
38,54664 (Viola),Richland County,Wisconsin,86275e297ffffff,3771,75.42,75.42,70260000.0,31219.903569755537,1758492577523,Synapse54,1758492577523,Synapse54
39,53581 (Richland Center),Richland County,Wisconsin,86275e29fffffff,5439,81.18,81.18,70510000.0,31275.612475898088,1758492577523,Synapse54,1758492577523,Synapse54
40,54634 (Hillsboro),Richland County,Wisconsin,86275e2a7ffffff,6329,63.93,63.93,71102499.99609375,31406.984623429023,1758492577523,Synapse54,1758492577523,Synapse54
41,53581 (Richland Center),Richland County,Wisconsin,86275e2afffffff,5766,60.69,60.69,70280000.0,31223.66821605266,1758492577523,Synapse54,1758492577523,Synapse54
42,54634 (Hillsboro),Richland County,Wisconsin,86275e2b7ffffff,4961,66.15,66.15,70720000.0,31319.729303009866,1758492577523,Synapse54,1758492577523,Synapse54
43,53581 (Richland Center),Richland County,Wisconsin,86275e2c7ffffff,5677,81.1,81.1,70046249.99609375,31169.958229460142,1758492577523,Synapse54,1758492577523,Synapse54
44,53581 (Richland Center),Richland County,Wisconsin,86275e2d7ffffff,12403,81.6,81.6,70280000.0,31227.7310024892,1758492577523,Synapse54,1758492577523,Synapse54
