OBJECTID,admin4_name,admin3_name,admin2_name,id,X9073_X,X9073_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46106 (Bargersville),Johnson County,Indiana,86266cdb7ffffff,674989,178.24,178.24,59118749.99609375,28647.22966032144,1758492591597,Synapse54,1758492591597,Synapse54
2,62821 (Carmi),White County,Illinois,86264524fffffff,5975,84.15,84.15,56532500.0,28015.598433874227,1758492591597,Synapse54,1758492591597,Synapse54
3,46725 (Columbia City),Whitley County,Indiana,862a965a7ffffff,93245,109.44,109.44,63830000.0,29763.798736513392,1758492591597,Synapse54,1758492591597,Synapse54
4,46725 (Columbia City),Whitley County,Indiana,862a965afffffff,27738,85.61,85.61,64057500.00390625,29817.808863527633,1758492591597,Synapse54,1758492591597,Synapse54
5,46764 (Larwill),Whitley County,Indiana,862a965b7ffffff,29880,92.8,92.8,64305000.0,29872.405406145663,1758492591597,Synapse54,1758492591597,Synapse54
6,46781 (Poneto),Wells County,Indiana,862a96607ffffff,15019,82.52,82.52,62475000.0,29445.58526900966,1758492591597,Synapse54,1758492591597,Synapse54
7,46759 (Keystone),Wells County,Indiana,862a9660fffffff,4446,75.36,75.36,62475000.0,29445.585269009665,1758492591597,Synapse54,1758492591597,Synapse54
8,46781 (Poneto),Wells County,Indiana,862a96617ffffff,9452,88.34,88.34,62475000.0,29445.585269009665,1758492591597,Synapse54,1758492591597,Synapse54
9,46781 (Poneto),Wells County,Indiana,862a9661fffffff,13775,76.53,76.53,62474999.99609375,29445.58526900966,1758492591597,Synapse54,1758492591597,Synapse54
10,46714 (Bluffton),Wells County,Indiana,862a96627ffffff,21067,78.9,78.9,62475000.0,29445.585269009665,1758492591597,Synapse54,1758492591597,Synapse54
11,46714 (Bluffton),Wells County,Indiana,862a9662fffffff,10251,70.7,70.7,62558750.0,29466.280940144035,1758492591597,Synapse54,1758492591597,Synapse54
12,46766 (Liberty Center),Wells County,Indiana,862a96637ffffff,14491,70.69,70.69,62667500.0,29492.78237914684,1758492591597,Synapse54,1758492591597,Synapse54
13,47326 (Bryant),Jay County,Indiana,862a96647ffffff,5365,47.9,47.9,62016250.00390625,29339.340009506497,1758492591597,Synapse54,1758492591597,Synapse54
14,47562 (Odon),Daviess County,Indiana,86266e14fffffff,39331,137.52,137.52,56797500.0,28085.415791910324,1758492591597,Synapse54,1758492591597,Synapse54
15,47371 (Portland),Jay County,Indiana,862a9664fffffff,6826,73.4,73.4,62154999.99609375,29365.766718963085,1758492591597,Synapse54,1758492591597,Synapse54
16,46567 (Syracuse),Kosciusko County,Indiana,86274b207ffffff,91420,80.05,80.05,64823749.9921875,29992.00289257546,1758492591597,Synapse54,1758492591597,Synapse54
17,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1276,79.75,79.75,56135000.0,27915.620822769335,1758492591597,Synapse54,1758492591597,Synapse54
18,47369 (Pennville),Jay County,Indiana,862a96657ffffff,4210,50.72,50.72,62315000.00390625,29405.64849561915,1758492591597,Synapse54,1758492591597,Synapse54
19,47529 (Elnora),Daviess County,Indiana,86266e157ffffff,19827,61.19,61.19,56951249.99609375,28126.00795861039,1758492591597,Synapse54,1758492591597,Synapse54
20,46562 (Pierceton),Noble County,Indiana,86274b20fffffff,27858,76.11,76.11,64660000.0,29951.869056491672,1758492591597,Synapse54,1758492591597,Synapse54
21,62827 (Crossville),White County,Illinois,86264534fffffff,3017,70.16,70.16,56454999.99609375,27997.829653857236,1758492591597,Synapse54,1758492591597,Synapse54
22,47562 (Odon),Daviess County,Indiana,86266e15fffffff,21346,128.59,128.59,56643750.00390625,28044.59995993566,1758492591597,Synapse54,1758492591597,Synapse54
23,46567 (Syracuse),Kosciusko County,Indiana,86274b217ffffff,117247,78.64,78.64,64773750.00390625,29979.983070586673,1758492591597,Synapse54,1758492591597,Synapse54
24,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,2737,130.33,130.33,55800000.0,27833.232309338826,1758492591597,Synapse54,1758492591597,Synapse54
25,47369 (Pennville),Jay County,Indiana,862a9665fffffff,16698,49.26,49.26,62016250.00390625,29339.340009506497,1758492591597,Synapse54,1758492591597,Synapse54
26,47562 (Odon),Daviess County,Indiana,86266e167ffffff,13839,83.87,83.87,57103749.99609375,28163.990956009133,1758492591597,Synapse54,1758492591597,Synapse54
27,46555 (North Webster),Kosciusko County,Indiana,86274b21fffffff,54829,68.2,68.2,64578750.00390625,29932.75538639727,1758492591597,Synapse54,1758492591597,Synapse54
28,47512 (Bicknell),Knox County,Indiana,86266e0afffffff,85176,60.71,60.71,56770000.0,28079.44580149543,1758492591597,Synapse54,1758492591597,Synapse54
29,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,1502,136.55,136.55,56346250.00390625,27973.61481279471,1758492591597,Synapse54,1758492591597,Synapse54
30,47562 (Odon),Daviess County,Indiana,86266e16fffffff,14668,89.99,89.99,56977499.99609375,28129.145114449355,1758492591597,Synapse54,1758492591597,Synapse54
31,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,1748,134.46,134.46,55967499.99609375,27877.211257272123,1758492591597,Synapse54,1758492591597,Synapse54
32,46732 (Cromwell),Noble County,Indiana,86274b22fffffff,19259,62.33,62.33,64660000.0,29951.869056491672,1758492591597,Synapse54,1758492591597,Synapse54
33,47449 (Newberry),Greene County,Indiana,86266e177ffffff,10162,80.65,80.65,57006250.00390625,28137.914433436516,1758492591597,Synapse54,1758492591597,Synapse54
34,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758492591597,Synapse54,1758492591597,Synapse54
35,46725 (Columbia City),Noble County,Indiana,86274b247ffffff,62697,78.37,78.37,64220000.0,29852.782909799484,1758492591597,Synapse54,1758492591597,Synapse54
