OBJECTID,admin4_name,admin3_name,admin2_name,id,X9073_X,X9073_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62242 (Evansville),Randolph County,Illinois,86264070fffffff,22625,65.01,65.01,57958749.99609375,28362.518958235505,1758492607685,Synapse54,1758492607685,Synapse54
2,63834 (Charleston),Mississippi County,Missouri,86264ed0fffffff,1024,33.03,33.03,56190000.0,27925.44225178586,1758492607685,Synapse54,1758492607685,Synapse54
3,62977 (Raleigh),Saline County,Illinois,86264181fffffff,31877,97.78,97.78,56496250.00390625,28004.54334642554,1758492607685,Synapse54,1758492607685,Synapse54
4,61459 (Marietta),Fulton County,Illinois,86267199fffffff,5645,70.56,70.56,60921250.0,29084.572347643585,1758492607685,Synapse54,1758492607685,Synapse54
5,61274 (Osco),Henry County,Illinois,862675c77ffffff,7667,106.49,106.49,63509999.99609375,29689.36147821522,1758492607685,Synapse54,1758492607685,Synapse54
6,62939 (Goreville),Johnson County,Illinois,862641097ffffff,7360,58.41,58.41,56860000.0,28092.221235543926,1758492607685,Synapse54,1758492607685,Synapse54
7,62278 (Red Bud),Randolph County,Illinois,862640717ffffff,18911,78.8,78.8,57712500.0,28304.01982771138,1758492607685,Synapse54,1758492607685,Synapse54
8,61231 (Aledo),Mercer County,Illinois,8626755afffffff,5210,75.51,75.51,62843750.0,29534.08866677856,1758492607685,Synapse54,1758492607685,Synapse54
9,62817 (Broughton),Hamilton County,Illinois,862641827ffffff,7525,85.51,85.51,56598750.00390625,28031.94898338375,1758492607685,Synapse54,1758492607685,Synapse54
10,61415 (Avon),Fulton County,Illinois,8626719a7ffffff,1422,79.0,79.0,61156250.0,29135.948653317057,1758492607685,Synapse54,1758492607685,Synapse54
11,61264 (Milan),Rock Island County,Illinois,862675c87ffffff,103508,79.74,79.74,63490000.00390625,29685.456188152846,1758492607685,Synapse54,1758492607685,Synapse54
12,62242 (Evansville),Randolph County,Illinois,86264071fffffff,3702,69.85,69.85,58145000.00390625,28404.540646916972,1758492607685,Synapse54,1758492607685,Synapse54
13,62914 (Cairo),Alexander County,Illinois,86264ed17ffffff,0,0.0,0.0,56388750.0,27976.13981857251,1758492607685,Synapse54,1758492607685,Synapse54
14,61477 (Smithfield),Fulton County,Illinois,8626719afffffff,2815,74.08,74.08,60704999.9921875,29032.04110539585,1758492607685,Synapse54,1758492607685,Synapse54
15,62930 (Eldorado),Saline County,Illinois,86264182fffffff,3594,119.8,119.8,56400000.0,27981.560622027962,1758492607685,Synapse54,1758492607685,Synapse54
16,61264 (Milan),Rock Island County,Illinois,862675c8fffffff,64825,125.39,125.39,63370000.0,29656.072596047194,1758492607685,Synapse54,1758492607685,Synapse54
17,62278 (Red Bud),Randolph County,Illinois,862640727ffffff,10592,84.06,84.06,57740000.0,28304.546128922277,1758492607685,Synapse54,1758492607685,Synapse54
18,61415 (Avon),Fulton County,Illinois,8626719b7ffffff,2786,66.33,66.33,61302499.99609375,29174.783741217543,1758492607685,Synapse54,1758492607685,Synapse54
19,62817 (Broughton),Hamilton County,Illinois,862641837ffffff,2391,74.72,74.72,56598749.99609375,28031.94898338375,1758492607685,Synapse54,1758492607685,Synapse54
20,62673 (Oakford),Menard County,Illinois,862671a07ffffff,8237,76.98,76.98,59601249.99609375,28770.24065447932,1758492607685,Synapse54,1758492607685,Synapse54
21,61279 (Reynolds),Rock Island County,Illinois,862675c9fffffff,21130,112.99,112.99,63559999.99609375,29702.632070174528,1758492607685,Synapse54,1758492607685,Synapse54
22,62675 (Petersburg),Menard County,Illinois,862671a0fffffff,2365,78.83,78.83,59622499.99609375,28770.46221454571,1758492607685,Synapse54,1758492607685,Synapse54
23,62242 (Evansville),Randolph County,Illinois,86264072fffffff,3588,53.55,53.55,57555000.00390625,28262.52169923816,1758492607685,Synapse54,1758492607685,Synapse54
24,62934 (Equality),Gallatin County,Illinois,862641847ffffff,1507,65.52,65.52,56327500.00390625,27960.787159957814,1758492607685,Synapse54,1758492607685,Synapse54
25,61264 (Milan),Rock Island County,Illinois,862675cafffffff,262916,88.55,88.55,63659999.99609375,29723.549152071922,1758492607685,Synapse54,1758492607685,Synapse54
26,62278 (Red Bud),Randolph County,Illinois,862640737ffffff,52795,82.62,82.62,57911250.0,28348.728203105573,1758492607685,Synapse54,1758492607685,Synapse54
27,62954 (Junction),Gallatin County,Illinois,86264184fffffff,3840,54.86,54.86,56430000.0,27988.19279691602,1758492607685,Synapse54,1758492607685,Synapse54
28,61281 (Sherrard),Mercer County,Illinois,862675cc7ffffff,69039,100.93,100.93,63509999.99609375,29689.36147821522,1758492607685,Synapse54,1758492607685,Synapse54
29,62297 (Walsh),Randolph County,Illinois,862640747ffffff,6513,70.79,70.79,57554999.99609375,28262.52169923816,1758492607685,Synapse54,1758492607685,Synapse54
30,62930 (Eldorado),Saline County,Illinois,862641857ffffff,23085,113.72,113.72,56231249.99609375,27937.573278964068,1758492607685,Synapse54,1758492607685,Synapse54
31,61262 (Lynn Center),Henry County,Illinois,862675ccfffffff,9954,105.89,105.89,62902499.9921875,29546.686057004346,1758492607685,Synapse54,1758492607685,Synapse54
32,62233 (Chester),Randolph County,Illinois,86264074fffffff,13750,80.88,80.88,57555000.0078125,28262.52169923816,1758492607685,Synapse54,1758492607685,Synapse54
33,62934 (Equality),Saline County,Illinois,86264185fffffff,15813,60.82,60.82,56429999.99609375,27988.19279691602,1758492607685,Synapse54,1758492607685,Synapse54
34,61264 (Milan),Rock Island County,Illinois,862675cd7ffffff,19607,102.12,102.12,63390000.0,29659.97788610957,1758492607685,Synapse54,1758492607685,Synapse54
35,62241 (Ellis Grove),Randolph County,Illinois,862640757ffffff,16420,62.67,62.67,57555000.00390625,28262.52169923816,1758492607685,Synapse54,1758492607685,Synapse54
36,62979 (Ridgway),Gallatin County,Illinois,862641867ffffff,2714,84.81,84.81,56412499.9921875,27989.965362304232,1758492607685,Synapse54,1758492607685,Synapse54
37,61281 (Sherrard),Mercer County,Illinois,862675cdfffffff,14012,100.81,100.81,63171250.00390625,29612.12418200564,1758492607685,Synapse54,1758492607685,Synapse54
38,62233 (Chester),Randolph County,Illinois,86264075fffffff,11828,69.17,69.17,57555000.00390625,28262.52169923816,1758492607685,Synapse54,1758492607685,Synapse54
39,62954 (Junction),Gallatin County,Illinois,86264186fffffff,18332,75.44,75.44,56135000.0,27915.620822769335,1758492607685,Synapse54,1758492607685,Synapse54
