OBJECTID,admin4_name,admin3_name,admin2_name,id,X9001_X,X9001_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62092 (White Hall),Greene County,Illinois,8626468afffffff,16423,4105.75,4105.75,59418750.00390625,28721.998888358656,1758492626791,Synapse54,1758492626791,Synapse54
2,62361 (Pearl),Pike County,Illinois,8626469a7ffffff,427904,3396.06,3396.06,59967500.0,28849.746992381653,1758492626791,Synapse54,1758492626791,Synapse54
3,62355 (Nebo),Pike County,Illinois,8626468b7ffffff,90767,3241.68,3241.68,59676250.0,28780.971725452393,1758492626791,Synapse54,1758492626791,Synapse54
4,62050 (Hillview),Greene County,Illinois,8626469afffffff,36631,12210.33,12210.33,59606250.00390625,28763.57339327254,1758492626791,Synapse54,1758492626791,Synapse54
5,62027 (Eldred),Greene County,Illinois,8626468c7ffffff,489689,3022.77,3022.77,59039999.99609375,28627.07117554758,1758492626791,Synapse54,1758492626791,Synapse54
6,62363 (Pittsfield),Pike County,Illinois,8626469b7ffffff,141581,2949.6,2949.6,59503750.00390625,28740.688552132946,1758492626791,Synapse54,1758492626791,Synapse54
7,62031 (Fieldon),Greene County,Illinois,8626468cfffffff,103693,3049.79,3049.79,59400000.0,28713.476905830626,1758492626791,Synapse54,1758492626791,Synapse54
8,63353 (Louisiana),Pike County,Missouri,862646c07ffffff,2362032,2978.6,2978.6,59871250.0,28828.577236574296,1758492626791,Synapse54,1758492626791,Synapse54
9,62934 (Equality),Gallatin County,Illinois,862641ba7ffffff,76477,2637.14,2637.14,56142500.0,27918.795143747702,1758492626791,Synapse54,1758492626791,Synapse54
10,62370 (Rockport),Pike County,Illinois,862646c27ffffff,71956,3426.48,3426.48,59561250.0,28751.491124739936,1758492626791,Synapse54,1758492626791,Synapse54
11,62065 (Michael),Calhoun County,Illinois,8626468d7ffffff,235696,3273.56,3273.56,59399999.99609375,28713.464112074886,1758492626791,Synapse54,1758492626791,Synapse54
12,62366 (Pleasant Hill),Pike County,Illinois,862646c2fffffff,13410,6705.0,6705.0,59871250.0,28828.577236574296,1758492626791,Synapse54,1758492626791,Synapse54
13,62418 (Brownstown),Fayette County,Illinois,862645cb7ffffff,491007,4504.65,4504.65,57777500.0,28320.347818570954,1758492626791,Synapse54,1758492626791,Synapse54
14,62370 (Rockport),Pike County,Illinois,862646c37ffffff,452851,3329.79,3329.79,59871250.0,28828.577236574296,1758492626791,Synapse54,1758492626791,Synapse54
15,62031 (Fieldon),Greene County,Illinois,8626468dfffffff,26547,5309.4,5309.4,59212500.00390625,28671.889607161,1758492626791,Synapse54,1758492626791,Synapse54
16,62312 (Barry),Pike County,Illinois,862646d07ffffff,63542,3737.76,3737.76,60045000.0,28873.176330769522,1758492626791,Synapse54,1758492626791,Synapse54
17,62954 (Junction),Gallatin County,Illinois,862641bafffffff,120099,2793.0,2793.0,56142500.0,27918.795143747702,1758492626791,Synapse54,1758492626791,Synapse54
18,62370 (Rockport),Pike County,Illinois,862646d0fffffff,399410,3840.48,3840.48,60071250.0,28872.658196055614,1758492626791,Synapse54,1758492626791,Synapse54
19,62356 (New Canton),Pike County,Illinois,862646d17ffffff,55690,3977.86,3977.86,60045000.0,28873.176330769522,1758492626791,Synapse54,1758492626791,Synapse54
20,62027 (Eldred),Greene County,Illinois,8626468e7ffffff,252606,4281.46,4281.46,59418750.00390625,28721.998888358656,1758492626791,Synapse54,1758492626791,Synapse54
