OBJECTID,admin4_name,admin3_name,admin2_name,id,X9001_X,X9001_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47446 (Mitchell),Lawrence County,Indiana,86266eb4fffffff,453443,2361.68,2361.68,56685000.0,28061.90497597181,1758492642422,Synapse54,1758492642422,Synapse54
2,47421 (Bedford),Lawrence County,Indiana,86266eb57ffffff,1969093,3206.99,3206.99,57102500.0,28161.158121433204,1758492642422,Synapse54,1758492642422,Synapse54
3,47981 (Romney),Tippecanoe County,Indiana,862661d1fffffff,250800,5452.17,5452.17,60992499.99609375,29097.844046497055,1758492642422,Synapse54,1758492642422,Synapse54
4,47446 (Mitchell),Lawrence County,Indiana,86266eb5fffffff,3370022,2829.57,2829.57,56380000.0,27980.85122476038,1758492642422,Synapse54,1758492642422,Synapse54
5,47265 (North Vernon),Jennings County,Indiana,86266c06fffffff,418599,3011.5,3011.5,57366250.0,28226.381122484432,1758492642422,Synapse54,1758492642422,Synapse54
6,47421 (Bedford),Lawrence County,Indiana,86266eb67ffffff,2218824,3913.27,3913.27,56685000.0,28061.90497597181,1758492642422,Synapse54,1758492642422,Synapse54
7,47909 (Lafayette),Tippecanoe County,Indiana,862661d27ffffff,20243640,3953.06,3953.06,61207499.99609375,29144.958052155176,1758492642422,Synapse54,1758492642422,Synapse54
8,47421 (Bedford),Lawrence County,Indiana,86266eb6fffffff,496946,2975.72,2975.72,57077500.00390625,28153.607227913795,1758492642422,Synapse54,1758492642422,Synapse54
9,47265 (North Vernon),Jennings County,Indiana,86266c077ffffff,1211865,4866.93,4866.93,57626249.99609375,28286.28578214779,1758492642422,Synapse54,1758492642422,Synapse54
10,47421 (Bedford),Lawrence County,Indiana,86266eb77ffffff,15130540,2615.93,2615.93,56893750.00390625,28108.849644486923,1758492642422,Synapse54,1758492642422,Synapse54
11,47909 (Lafayette),Tippecanoe County,Indiana,862661d2fffffff,1364912,5209.59,5209.59,60933750.00390625,29083.26206076716,1758492642422,Synapse54,1758492642422,Synapse54
12,47522 (Crane),Martin County,Indiana,86266eb87ffffff,0,0.0,0.0,57188750.00390625,28184.69424997836,1758492642422,Synapse54,1758492642422,Synapse54
13,47274 (Seymour),Jackson County,Indiana,86266c087ffffff,378086,3150.72,3150.72,57780000.0,28326.320068317975,1758492642422,Synapse54,1758492642422,Synapse54
