OBJECTID,admin4_name,admin3_name,admin2_name,id,X9001_X,X9001_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53010 (Campbellsport),Fond du Lac County,Wisconsin,86275dc1fffffff,703539,3886.96,3886.96,71933749.99609375,31586.020430924254,1758492656624,Synapse54,1758492656624,Synapse54
2,54451 (Medford),Taylor County,Wisconsin,862751ce7ffffff,1092269,3986.38,3986.38,76672500.00390625,32607.985438790907,1758492656624,Synapse54,1758492656624,Synapse54
3,53023 (Glenbeulah),Sheboygan County,Wisconsin,86275dc27ffffff,653461,4188.85,4188.85,72217500.00390625,31644.09403874706,1758492656624,Synapse54,1758492656624,Synapse54
4,54660 (Tomah),Monroe County,Wisconsin,86275e107ffffff,873287,3535.57,3535.57,72618750.00390625,31737.245694730806,1758492656624,Synapse54,1758492656624,Synapse54
5,53073 (Plymouth),Sheboygan County,Wisconsin,86275dc2fffffff,574611,4256.38,4256.38,71933749.99609375,31586.020430924254,1758492656624,Synapse54,1758492656624,Synapse54
6,53057 (Mount Calvary),Fond du Lac County,Wisconsin,86275dc37ffffff,645064,4161.7,4161.7,72603750.00390625,31731.135203113627,1758492656624,Synapse54,1758492656624,Synapse54
7,54660 (Tomah),Monroe County,Wisconsin,86275e10fffffff,681398,3703.25,3703.25,72386250.0,31689.0351907852,1758492656624,Synapse54,1758492656624,Synapse54
8,53001 (Adell),Sheboygan County,Wisconsin,86275dc47ffffff,1327365,4174.1,4174.1,71559999.99609375,31506.037878986466,1758492656624,Synapse54,1758492656624,Synapse54
9,54660 (Tomah),Monroe County,Wisconsin,86275e117ffffff,1328348,4271.22,4271.22,72435000.0,31694.41778030815,1758492656624,Synapse54,1758492656624,Synapse54
10,53075 (Random Lake),Sheboygan County,Wisconsin,86275dc4fffffff,3564053,4405.5,4405.5,71587499.9921875,31511.499741198626,1758492656624,Synapse54,1758492656624,Synapse54
11,54660 (Tomah),Monroe County,Wisconsin,86275e11fffffff,13669855,3078.8,3078.8,72162499.99609375,31640.875129599037,1758492656624,Synapse54,1758492656624,Synapse54
12,53001 (Adell),Sheboygan County,Wisconsin,86275dc57ffffff,1138629,4186.14,4186.14,71755000.0,31544.566586414094,1758492656624,Synapse54,1758492656624,Synapse54
13,54666 (Warrens),Monroe County,Wisconsin,86275e127ffffff,128898,3222.45,3222.45,72822500.0,31781.58485491657,1758492656624,Synapse54,1758492656624,Synapse54
14,53075 (Random Lake),Sheboygan County,Wisconsin,86275dc5fffffff,858554,4011.93,4011.93,71523750.00390625,31496.66058897336,1758492656624,Synapse54,1758492656624,Synapse54
15,54666 (Warrens),Monroe County,Wisconsin,86275e12fffffff,669174,3126.98,3126.98,72618749.99609375,31737.245694730806,1758492656624,Synapse54,1758492656624,Synapse54
16,54666 (Warrens),Monroe County,Wisconsin,86275e137ffffff,1073099,3874.0,3874.0,72435000.0,31694.41778030815,1758492656624,Synapse54,1758492656624,Synapse54
17,53011 (Cascade),Sheboygan County,Wisconsin,86275dc77ffffff,1268759,4467.46,4467.46,71915000.00390625,31580.36005004066,1758492656624,Synapse54,1758492656624,Synapse54
18,53019 (Eden),Fond du Lac County,Wisconsin,86275dc87ffffff,2651784,4030.07,4030.07,71801250.0078125,31556.45982241994,1758492656624,Synapse54,1758492656624,Synapse54
19,54618 (Camp Douglas),Juneau County,Wisconsin,86275e147ffffff,1201767,3137.77,3137.77,71860000.0,31570.083430911924,1758492656624,Synapse54,1758492656624,Synapse54
20,53010 (Campbellsport),Fond du Lac County,Wisconsin,86275dc8fffffff,584107,4527.96,4527.96,71755000.0,31544.566586414094,1758492656624,Synapse54,1758492656624,Synapse54
21,54618 (Camp Douglas),Juneau County,Wisconsin,86275e14fffffff,517293,2939.16,2939.16,71969999.99609375,31597.996772416933,1758492656624,Synapse54,1758492656624,Synapse54
22,54618 (Camp Douglas),Monroe County,Wisconsin,86275e157ffffff,845428,4006.77,4006.77,72202500.0,31646.20727636254,1758492656624,Synapse54,1758492656624,Synapse54
23,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,291099,3465.46,3465.46,71274999.9921875,31443.232471987707,1758492656624,Synapse54,1758492656624,Synapse54
24,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275dc97ffffff,1081205,4431.17,4431.17,72211249.99609375,31648.64099216982,1758492656624,Synapse54,1758492656624,Synapse54
25,53930 (Endeavor),Marquette County,Wisconsin,86275c6c7ffffff,776601,3663.21,3663.21,71279999.99609375,31445.054203417454,1758492656624,Synapse54,1758492656624,Synapse54
26,53006 (Brownsville),Fond du Lac County,Wisconsin,86275dc9fffffff,1626583,4468.63,4468.63,71666250.0,31528.737143470404,1758492656624,Synapse54,1758492656624,Synapse54
27,54618 (Camp Douglas),Monroe County,Wisconsin,86275e15fffffff,449798,4052.23,4052.23,71836250.0,31562.931090798138,1758492656624,Synapse54,1758492656624,Synapse54
28,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275dca7ffffff,2696098,5115.94,5115.94,71933749.99609375,31586.020430924254,1758492656624,Synapse54,1758492656624,Synapse54
29,53019 (Eden),Fond du Lac County,Wisconsin,86275dcafffffff,712698,4426.7,4426.7,71702499.99609375,31535.293105684534,1758492656624,Synapse54,1758492656624,Synapse54
30,54935 (Fond du Lac),Fond du Lac County,Wisconsin,86275dcb7ffffff,36542874,3555.1,3555.1,71801250.0,31556.45982241994,1758492656624,Synapse54,1758492656624,Synapse54
31,53010 (Campbellsport),Fond du Lac County,Wisconsin,86275dcc7ffffff,4079259,4179.57,4179.57,71320000.0,31451.00741967214,1758492656624,Synapse54,1758492656624,Synapse54
32,53040 (Kewaskum),Washington County,Wisconsin,86275dccfffffff,8490281,4236.67,4236.67,71088750.0,31403.101422231404,1758492656624,Synapse54,1758492656624,Synapse54
33,53010 (Campbellsport),Fond du Lac County,Wisconsin,86275dcd7ffffff,3099237,4551.01,4551.01,71471250.0078125,31487.387108243798,1758492656624,Synapse54,1758492656624,Synapse54
34,53040 (Kewaskum),Washington County,Wisconsin,86275dcdfffffff,1749025,4778.76,4778.76,71319999.99609375,31451.007419672143,1758492656624,Synapse54,1758492656624,Synapse54
35,53010 (Campbellsport),Fond du Lac County,Wisconsin,86275dce7ffffff,1553600,4490.17,4490.17,71755000.0,31544.566586414094,1758492656624,Synapse54,1758492656624,Synapse54
36,54618 (Camp Douglas),Juneau County,Wisconsin,86275e167ffffff,250318,3168.58,3168.58,72351250.0,31679.627250023652,1758492656624,Synapse54,1758492656624,Synapse54
