OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20158A_B,MP20158A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62821 (Carmi),White County,Illinois,86264524fffffff,3,2.46,2.46,56532500.0,28015.598433874227,1758492693562,Synapse54,1758492693562,Synapse54
2,46001 (Alexandria),Madison County,Indiana,862a92cf7ffffff,170,3.13,3.13,61362500.0,29185.95130895956,1758492693562,Synapse54,1758492693562,Synapse54
3,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56135000.0,27915.620822769335,1758492693562,Synapse54,1758492693562,Synapse54
4,62827 (Crossville),White County,Illinois,86264534fffffff,2,2.25,2.25,56454999.99609375,27997.829653857236,1758492693562,Synapse54,1758492693562,Synapse54
5,47265 (North Vernon),Jennings County,Indiana,86266c14fffffff,53,2.58,2.58,57493750.0,28258.955636888186,1758492693562,Synapse54,1758492693562,Synapse54
6,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,1,3.23,3.23,55800000.0,27833.232309338826,1758492693562,Synapse54,1758492693562,Synapse54
7,46953 (Marion),Grant County,Indiana,862a92d07ffffff,72,2.94,2.94,61901249.99609375,29312.125207548776,1758492693562,Synapse54,1758492693562,Synapse54
8,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,0,0.0,0.0,56346250.00390625,27973.61481279471,1758492693562,Synapse54,1758492693562,Synapse54
9,47872 (Rockville),Parke County,Indiana,862661477ffffff,19,2.97,2.97,59474999.99609375,28733.72455133023,1758492693562,Synapse54,1758492693562,Synapse54
10,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,1,2.94,2.94,55967499.99609375,27877.211257272123,1758492693562,Synapse54,1758492693562,Synapse54
11,46989 (Upland),Grant County,Indiana,862a92d0fffffff,49,2.73,2.73,61773750.00390625,29279.323757739232,1758492693562,Synapse54,1758492693562,Synapse54
12,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758492693562,Synapse54,1758492693562,Synapse54
13,47847 (Dana),Vermillion County,Indiana,86266148fffffff,2,1.9,1.9,59296250.00390625,28696.674843888308,1758492693562,Synapse54,1758492693562,Synapse54
14,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,1,2.7,2.7,56152499.99609375,27919.203273482235,1758492693562,Synapse54,1758492693562,Synapse54
15,46933 (Gas City),Grant County,Indiana,862a92d17ffffff,166,3.05,3.05,61901249.99609375,29312.125207548772,1758492693562,Synapse54,1758492693562,Synapse54
16,62867 (New Haven),White County,Illinois,86266a58fffffff,1,4.35,4.35,55950000.00390625,27873.628806559227,1758492693562,Synapse54,1758492693562,Synapse54
17,47265 (North Vernon),Jennings County,Indiana,86266c157ffffff,93,2.61,2.61,57856250.0,28345.867655684888,1758492693562,Synapse54,1758492693562,Synapse54
