OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20158A_B,MP20158A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62330 (Dallas City),Hancock County,Illinois,862670347ffffff,1,1.59,1.59,60907500.00390625,29078.4267869232,1758492710282,Synapse54,1758492710282,Synapse54
2,62650 (Jacksonville),Morgan County,Illinois,86267120fffffff,112,3.01,3.01,59400000.0,28717.777348458985,1758492710282,Synapse54,1758492710282,Synapse54
3,62321 (Carthage),Hancock County,Illinois,86267034fffffff,1,1.64,1.64,60907500.00390625,29078.426786923203,1758492710282,Synapse54,1758492710282,Synapse54
4,62262 (Mulberry Grove),Fayette County,Illinois,86264420fffffff,7,3.33,3.33,57963750.0,28367.932674892996,1758492710282,Synapse54,1758492710282,Synapse54
5,62330 (Dallas City),Hancock County,Illinois,862670357ffffff,3,2.16,2.16,60907500.0,29078.426786923203,1758492710282,Synapse54,1758492710282,Synapse54
6,62262 (Mulberry Grove),Bond County,Illinois,862644217ffffff,3,2.78,2.78,58337500.0,28461.604744033782,1758492710282,Synapse54,1758492710282,Synapse54
7,62321 (Carthage),Hancock County,Illinois,86267035fffffff,2,1.96,1.96,60907499.99609375,29078.4267869232,1758492710282,Synapse54,1758492710282,Synapse54
8,62262 (Mulberry Grove),Bond County,Illinois,86264421fffffff,15,2.4,2.4,58133750.00390625,28412.335808605712,1758492710282,Synapse54,1758492710282,Synapse54
9,62330 (Dallas City),Hancock County,Illinois,862670367ffffff,1,1.75,1.75,60906249.99609375,29082.852499086846,1758492710282,Synapse54,1758492710282,Synapse54
10,62080 (Ramsey),Fayette County,Illinois,862644227ffffff,4,2.7,2.7,58117500.0,28403.393452712808,1758492710282,Synapse54,1758492710282,Synapse54
11,61450 (La Harpe),Hancock County,Illinois,86267036fffffff,1,2.33,2.33,60696250.0,29033.06580863965,1758492710282,Synapse54,1758492710282,Synapse54
12,62262 (Mulberry Grove),Fayette County,Illinois,86264422fffffff,38,2.57,2.57,58067500.0,28395.352165252498,1758492710282,Synapse54,1758492710282,Synapse54
13,62330 (Dallas City),Hancock County,Illinois,862670377ffffff,2,2.0,2.0,60907499.99609375,29078.426786923203,1758492710282,Synapse54,1758492710282,Synapse54
14,62032 (Fillmore),Montgomery County,Illinois,862644237ffffff,5,3.13,3.13,57963750.0,28367.932674892993,1758492710282,Synapse54,1758492710282,Synapse54
15,52627 (Fort Madison),Lee County,Iowa,86267038fffffff,34,2.85,2.85,61282500.0,29167.01854892821,1758492710282,Synapse54,1758492710282,Synapse54
16,62885 (Shobonier),Fayette County,Illinois,862644247ffffff,9,3.44,3.44,57761250.0,28317.20435132372,1758492710282,Synapse54,1758492710282,Synapse54
17,62231 (Carlyle),Clinton County,Illinois,86264094fffffff,3,3.61,3.61,57745000.00390625,28314.060884076473,1758492710282,Synapse54,1758492710282,Synapse54
18,62885 (Shobonier),Fayette County,Illinois,86264424fffffff,2,2.33,2.33,57967500.0,28373.266694098493,1758492710282,Synapse54,1758492710282,Synapse54
19,52627 (Fort Madison),Lee County,Iowa,8626703afffffff,30,2.73,2.73,61082500.00390625,29117.98022066574,1758492710282,Synapse54,1758492710282,Synapse54
20,62231 (Carlyle),Clinton County,Illinois,862640957ffffff,3,2.31,2.31,57761250.0,28317.20435132372,1758492710282,Synapse54,1758492710282,Synapse54
21,61272 (New Boston),Mercer County,Illinois,862670947ffffff,0,0.0,0.0,62606250.00390625,29482.637430284754,1758492710282,Synapse54,1758492710282,Synapse54
22,62471 (Vandalia),Fayette County,Illinois,862644257ffffff,4,3.36,3.36,57963750.0,28367.932674892993,1758492710282,Synapse54,1758492710282,Synapse54
23,62885 (Shobonier),Fayette County,Illinois,86264425fffffff,3,2.5,2.5,57963750.0,28367.932674892996,1758492710282,Synapse54,1758492710282,Synapse54
24,52653 (Wapello),Louisa County,Iowa,86267094fffffff,13,3.39,3.39,62737499.99609375,29508.88629330572,1758492710282,Synapse54,1758492710282,Synapse54
25,62471 (Vandalia),Fayette County,Illinois,862644267ffffff,5,3.31,3.31,58066249.99609375,28395.1133981644,1758492710282,Synapse54,1758492710282,Synapse54
26,61272 (New Boston),Mercer County,Illinois,862670967ffffff,1,4.0,4.0,62926249.99609375,29553.278224163063,1758492710282,Synapse54,1758492710282,Synapse54
27,62885 (Shobonier),Fayette County,Illinois,86264426fffffff,5,2.72,2.72,58066250.0,28395.1133981644,1758492710282,Synapse54,1758492710282,Synapse54
28,61272 (New Boston),Mercer County,Illinois,86267096fffffff,8,2.78,2.78,62737500.0,29508.88629330572,1758492710282,Synapse54,1758492710282,Synapse54
