OBJECTID,admin4_name,admin3_name,admin2_name,id,X9028_X,X9028_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62957 (Mc Clure),Alexander County,Illinois,862643a27ffffff,87,3.35,3.35,56827500.00390625,28081.909137839306,1758492727903,Synapse54,1758492727903,Synapse54
2,62618 (Beardstown),Cass County,Illinois,86267115fffffff,0,0.0,0.0,59621250.0,28770.96494939604,1758492727903,Synapse54,1758492727903,Synapse54
3,62231 (Carlyle),Clinton County,Illinois,86264095fffffff,903,4.49,4.49,57844999.99609375,28336.50193732946,1758492727903,Synapse54,1758492727903,Synapse54
4,62990 (Thebes),Alexander County,Illinois,862643a2fffffff,369,4.19,4.19,56827499.99609375,28081.909137839306,1758492727903,Synapse54,1758492727903,Synapse54
5,62868 (Noble),Richland County,Illinois,86264516fffffff,434,6.58,6.58,57056250.00390625,28145.723142203915,1758492727903,Synapse54,1758492727903,Synapse54
6,63703 (Cape Girardeau),Cape Girardeau County,Missouri,862643a37ffffff,22058,3.24,3.24,56827500.0,28081.909137839306,1758492727903,Synapse54,1758492727903,Synapse54
7,61501 (Astoria),Fulton County,Illinois,862671167ffffff,162,4.5,4.5,59913749.99609375,28840.039357259953,1758492727903,Synapse54,1758492727903,Synapse54
8,62231 (Carlyle),Clinton County,Illinois,862640967ffffff,1293,4.75,4.75,57575000.0,28275.418383647342,1758492727903,Synapse54,1758492727903,Synapse54
9,62617 (Bath),Mason County,Illinois,86267116fffffff,259,5.18,5.18,60071249.99609375,28881.61386217384,1758492727903,Synapse54,1758492727903,Synapse54
10,62962 (Miller City),Alexander County,Illinois,862643a47ffffff,15,1.67,1.67,56287500.0,27949.166293526254,1758492727903,Synapse54,1758492727903,Synapse54
11,62824 (Clay City),Clay County,Illinois,862645177ffffff,1285,4.98,4.98,57158749.99609375,28174.6377721873,1758492727903,Synapse54,1758492727903,Synapse54
12,62914 (Cairo),Alexander County,Illinois,862643a4fffffff,0,0.0,0.0,56627500.0,28032.370972412744,1758492727903,Synapse54,1758492727903,Synapse54
13,61501 (Astoria),Fulton County,Illinois,862671177ffffff,1585,3.7,3.7,60175000.00390625,28904.1702849863,1758492727903,Synapse54,1758492727903,Synapse54
14,62231 (Carlyle),Clinton County,Illinois,86264096fffffff,645,5.2,5.2,58047499.99609375,28386.856971241083,1758492727903,Synapse54,1758492727903,Synapse54
15,62899 (Xenia),Clay County,Illinois,862645187ffffff,485,6.22,6.22,57256250.0,28196.476022808307,1758492727903,Synapse54,1758492727903,Synapse54
16,62305 (Quincy),Adams County,Illinois,862673b2fffffff,330,5.41,5.41,60337499.99609375,28938.041241530176,1758492727903,Synapse54,1758492727903,Synapse54
17,63780 (Scott City),Scott County,Missouri,862643a57ffffff,85,3.27,3.27,56627500.0,28032.370972412744,1758492727903,Synapse54,1758492727903,Synapse54
18,62338 (Fowler),Adams County,Illinois,862673b37ffffff,959,4.42,4.42,60406250.00390625,28959.613305042094,1758492727903,Synapse54,1758492727903,Synapse54
19,61452 (Littleton),Schuyler County,Illinois,862671187ffffff,133,6.05,6.05,60175000.0,28904.1702849863,1758492727903,Synapse54,1758492727903,Synapse54
20,63780 (Scott City),Scott County,Missouri,862643a5fffffff,0,0.0,0.0,56287500.0,27949.166293526254,1758492727903,Synapse54,1758492727903,Synapse54
21,62347 (Liberty),Adams County,Illinois,862673b47ffffff,448,5.27,5.27,60543750.00390625,28991.989812650623,1758492727903,Synapse54,1758492727903,Synapse54
22,62253 (Keyesport),Bond County,Illinois,862640977ffffff,262,4.94,4.94,58047499.99609375,28392.399285997897,1758492727903,Synapse54,1758492727903,Synapse54
23,62312 (Barry),Adams County,Illinois,862673b4fffffff,191,5.16,5.16,60232500.0,28915.132722347902,1758492727903,Synapse54,1758492727903,Synapse54
24,62360 (Payson),Adams County,Illinois,862673b57ffffff,478,5.03,5.03,60150000.0,28896.084849951796,1758492727903,Synapse54,1758492727903,Synapse54
25,62681 (Rushville),Schuyler County,Illinois,86267118fffffff,247,6.02,6.02,60522500.0,28988.140475302018,1758492727903,Synapse54,1758492727903,Synapse54
26,62365 (Plainville),Adams County,Illinois,862673b5fffffff,317,5.11,5.11,60045000.0,28873.176330769522,1758492727903,Synapse54,1758492727903,Synapse54
27,62265 (New Baden),Clinton County,Illinois,862640127ffffff,1061,5.28,5.28,57945000.0,28358.942990582444,1758492727903,Synapse54,1758492727903,Synapse54
28,62347 (Liberty),Adams County,Illinois,862673b67ffffff,231,4.36,4.36,60127500.0,28891.99249714231,1758492727903,Synapse54,1758492727903,Synapse54
29,62271 (Okawville),Clinton County,Illinois,86264012fffffff,581,6.38,6.38,57742500.0,28309.303506499375,1758492727903,Synapse54,1758492727903,Synapse54
30,62347 (Liberty),Adams County,Illinois,862673b6fffffff,281,5.4,5.4,60232499.99609375,28915.132722347902,1758492727903,Synapse54,1758492727903,Synapse54
31,62347 (Liberty),Adams County,Illinois,862673b77ffffff,1778,5.05,5.05,60232500.0,28914.901016324584,1758492727903,Synapse54,1758492727903,Synapse54
32,63471 (Taylor),Marion County,Missouri,862673b87ffffff,2905,2.97,2.97,60500000.0,28980.513083330785,1758492727903,Synapse54,1758492727903,Synapse54
33,62305 (Quincy),Adams County,Illinois,862673b8fffffff,982,4.7,4.7,60337500.0,28938.041241530176,1758492727903,Synapse54,1758492727903,Synapse54
34,63471 (Taylor),Marion County,Missouri,862673b9fffffff,112,5.6,5.6,60708750.00390625,29030.582916918458,1758492727903,Synapse54,1758492727903,Synapse54
35,62301 (Quincy),Adams County,Illinois,862673ba7ffffff,33331,3.59,3.59,60525000.0,28979.997633108556,1758492727903,Synapse54,1758492727903,Synapse54
36,62301 (Quincy),Adams County,Illinois,862673bafffffff,35254,4.7,4.7,60500000.00390625,28980.513083330785,1758492727903,Synapse54,1758492727903,Synapse54
37,63454 (Maywood),Lewis County,Missouri,862673bb7ffffff,89,4.94,4.94,60525000.0,28979.997633108556,1758492727903,Synapse54,1758492727903,Synapse54
38,61259 (Illinois City),Rock Island County,Illinois,862674247ffffff,527,5.86,5.86,63281250.0,29633.95188653054,1758492727903,Synapse54,1758492727903,Synapse54
39,61284 (Taylor Ridge),Rock Island County,Illinois,86267424fffffff,318,5.78,5.78,63421250.0,29669.31318513002,1758492727903,Synapse54,1758492727903,Synapse54
40,61259 (Illinois City),Rock Island County,Illinois,862674257ffffff,744,4.4,4.4,63622500.0,29717.829441915284,1758492727903,Synapse54,1758492727903,Synapse54
41,61259 (Illinois City),Rock Island County,Illinois,86267425fffffff,376,5.78,5.78,63062500.0,29581.94237088249,1758492727903,Synapse54,1758492727903,Synapse54
42,62821 (Carmi),White County,Illinois,86264524fffffff,380,5.35,5.35,56363750.00390625,27977.19726350761,1758492727903,Synapse54,1758492727903,Synapse54
43,61284 (Taylor Ridge),Rock Island County,Illinois,86267426fffffff,1425,6.01,6.01,63541250.0,29698.91480038257,1758492727903,Synapse54,1758492727903,Synapse54
44,61259 (Illinois City),Rock Island County,Illinois,8626742c7ffffff,210,4.38,4.38,63162500.0,29604.538291548415,1758492727903,Synapse54,1758492727903,Synapse54
45,61272 (New Boston),Mercer County,Illinois,8626742cfffffff,588,5.82,5.82,63314999.99609375,29644.023916075814,1758492727903,Synapse54,1758492727903,Synapse54
46,62001 (Alhambra),Madison County,Illinois,8626446efffffff,934,5.46,5.46,58506250.0,28495.659389104243,1758492727903,Synapse54,1758492727903,Synapse54
47,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,353,4.41,4.41,58116249.99609375,28403.34886529782,1758492727903,Synapse54,1758492727903,Synapse54
48,47631 (New Harmony),Posey County,Indiana,86264526fffffff,87,5.44,5.44,56134999.99609375,27921.19020520542,1758492727903,Synapse54,1758492727903,Synapse54
49,52761 (Muscatine),Muscatine County,Iowa,8626742d7ffffff,4020,5.78,5.78,63213750.0,29625.80781788319,1758492727903,Synapse54,1758492727903,Synapse54
50,61272 (New Boston),Mercer County,Illinois,8626742dfffffff,162,6.0,6.0,63025000.0,29581.41588702585,1758492727903,Synapse54,1758492727903,Synapse54
51,61259 (Illinois City),Rock Island County,Illinois,8626742e7ffffff,343,4.23,4.23,63332500.0,29647.71659776498,1758492727903,Synapse54,1758492727903,Synapse54
52,62305 (Quincy),Adams County,Illinois,862673b07ffffff,1958,4.93,4.93,60718750.0,29036.69941687645,1758492727903,Synapse54,1758492727903,Synapse54
