OBJECTID,admin4_name,admin3_name,admin2_name,id,X9028_X,X9028_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47246 (Hope),Bartholomew County,Indiana,86266c89fffffff,1570,4.66,4.66,58122500.0,28412.92234060173,1758492746354,Synapse54,1758492746354,Synapse54
2,47006 (Batesville),Ripley County,Indiana,862a93497ffffff,1314,5.48,5.48,58290000.00390625,28445.976338176595,1758492746354,Synapse54,1758492746354,Synapse54
3,62821 (Carmi),White County,Illinois,86264524fffffff,380,5.35,5.35,56532500.0,28015.598433874227,1758492746354,Synapse54,1758492746354,Synapse54
4,47240 (Greensburg),Decatur County,Indiana,86266c8a7ffffff,972,5.75,5.75,58462500.0,28491.917414540392,1758492746354,Synapse54,1758492746354,Synapse54
5,47041 (Sunman),Ripley County,Indiana,862a9349fffffff,957,5.73,5.73,58313750.00390625,28453.80502912943,1758492746354,Synapse54,1758492746354,Synapse54
6,47240 (Greensburg),Decatur County,Indiana,86266c8afffffff,879,5.78,5.78,58251249.99609375,28439.50979956162,1758492746354,Synapse54,1758492746354,Synapse54
7,47041 (Sunman),Ripley County,Indiana,862a934a7ffffff,1566,4.22,4.22,58597500.00390625,28526.03789548925,1758492746354,Synapse54,1758492746354,Synapse54
8,47018 (Dillsboro),Ohio County,Indiana,86266cb4fffffff,553,5.03,5.03,57637500.00390625,28293.67307357544,1758492746354,Synapse54,1758492746354,Synapse54
9,47041 (Sunman),Dearborn County,Indiana,862a934afffffff,2843,3.68,3.68,58475000.0,28493.4240300035,1758492746354,Synapse54,1758492746354,Synapse54
10,47042 (Versailles),Ripley County,Indiana,86266cb57ffffff,744,4.96,4.96,58000000.00390625,28379.66774179838,1758492746354,Synapse54,1758492746354,Synapse54
11,47006 (Batesville),Ripley County,Indiana,862a934b7ffffff,6914,4.43,4.43,58420000.0,28478.651694176107,1758492746354,Synapse54,1758492746354,Synapse54
12,46787 (South Whitley),Whitley County,Indiana,862a964a7ffffff,700,5.3,5.3,63696250.0,29731.482877739665,1758492746354,Synapse54,1758492746354,Synapse54
13,47017 (Cross Plains),Ohio County,Indiana,86266cb5fffffff,434,5.11,5.11,57507500.0,28260.547667726358,1758492746354,Synapse54,1758492746354,Synapse54
14,47001 (Aurora),Dearborn County,Indiana,862a934c7ffffff,2508,5.04,5.04,58000000.0078125,28380.283482574494,1758492746354,Synapse54,1758492746354,Synapse54
15,47018 (Dillsboro),Dearborn County,Indiana,86266cb67ffffff,4074,4.6,4.6,57847499.99609375,28339.94483353011,1758492746354,Synapse54,1758492746354,Synapse54
16,47001 (Aurora),Dearborn County,Indiana,862a934cfffffff,1347,3.89,3.89,57847500.0,28339.94483353011,1758492746354,Synapse54,1758492746354,Synapse54
17,47018 (Dillsboro),Ohio County,Indiana,86266cb6fffffff,809,4.99,4.99,57507499.99609375,28260.547667726358,1758492746354,Synapse54,1758492746354,Synapse54
18,47032 (Moores Hill),Dearborn County,Indiana,862a934d7ffffff,6040,5.59,5.59,57999999.99609375,28380.283482574494,1758492746354,Synapse54,1758492746354,Synapse54
19,47018 (Dillsboro),Dearborn County,Indiana,86266cb77ffffff,1427,4.77,4.77,57814999.99609375,28332.835790747587,1758492746354,Synapse54,1758492746354,Synapse54
20,46750 (Huntington),Huntington County,Indiana,862a964afffffff,883,6.69,6.69,63477500.0,29679.554108811542,1758492746354,Synapse54,1758492746354,Synapse54
21,47032 (Moores Hill),Dearborn County,Indiana,862a934dfffffff,2126,5.04,5.04,58000000.0,28380.283482574494,1758492746354,Synapse54,1758492746354,Synapse54
22,47023 (Holton),Ripley County,Indiana,86266cb87ffffff,951,4.8,4.8,57918750.0,28359.706823547443,1758492746354,Synapse54,1758492746354,Synapse54
23,47022 (Guilford),Dearborn County,Indiana,862a934e7ffffff,1691,4.97,4.97,58032499.99609375,28387.39252535702,1758492746354,Synapse54,1758492746354,Synapse54
24,47023 (Holton),Ripley County,Indiana,86266cb8fffffff,213,5.2,5.2,57653750.0,28292.909691650577,1758492746354,Synapse54,1758492746354,Synapse54
25,46962 (North Manchester),Wabash County,Indiana,862a964b7ffffff,712,5.61,5.61,63696250.0,29731.48287773966,1758492746354,Synapse54,1758492746354,Synapse54
26,47001 (Aurora),Dearborn County,Indiana,862a934efffffff,2785,4.08,4.08,58032500.0,28387.39252535702,1758492746354,Synapse54,1758492746354,Synapse54
27,46069 (Sheridan),Hamilton County,Indiana,86266194fffffff,3903,6.4,6.4,60635000.00390625,29014.45533878384,1758492746354,Synapse54,1758492746354,Synapse54
28,47223 (Butlerville),Jennings County,Indiana,86266cb97ffffff,503,2.55,2.55,57887500.0,28352.763178672885,1758492746354,Synapse54,1758492746354,Synapse54
29,46750 (Huntington),Huntington County,Indiana,862a964c7ffffff,25646,3.68,3.68,63097500.0,29592.687472956586,1758492746354,Synapse54,1758492746354,Synapse54
30,47031 (Milan),Dearborn County,Indiana,862a934f7ffffff,1858,4.99,4.99,58032500.0,28387.39252535702,1758492746354,Synapse54,1758492746354,Synapse54
31,47631 (New Harmony),Posey County,Indiana,86264526fffffff,87,5.44,5.44,56135000.0,27915.620822769335,1758492746354,Synapse54,1758492746354,Synapse54
32,47223 (Butlerville),Jennings County,Indiana,86266cb9fffffff,154,2.66,2.66,57525000.0,28260.41097257797,1758492746354,Synapse54,1758492746354,Synapse54
33,62827 (Crossville),White County,Illinois,86264534fffffff,206,4.79,4.79,56454999.99609375,27997.829653857236,1758492746354,Synapse54,1758492746354,Synapse54
34,46069 (Sheridan),Hamilton County,Indiana,862661967ffffff,1518,5.48,5.48,60980000.00390625,29093.553051686857,1758492746354,Synapse54,1758492746354,Synapse54
35,47016 (Cedar Grove),Franklin County,Indiana,862a93507ffffff,643,2.74,2.74,58792500.0,28573.38760263977,1758492746354,Synapse54,1758492746354,Synapse54
36,46750 (Huntington),Huntington County,Indiana,862a964cfffffff,1038,5.16,5.16,62820000.00390625,29525.877452665016,1758492746354,Synapse54,1758492746354,Synapse54
37,47023 (Holton),Ripley County,Indiana,86266cba7ffffff,670,4.96,4.96,57887500.0,28352.763178672885,1758492746354,Synapse54,1758492746354,Synapse54
38,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,126,6.0,6.0,55800000.0,27833.232309338826,1758492746354,Synapse54,1758492746354,Synapse54
39,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,69,6.27,6.27,56346250.00390625,27973.61481279471,1758492746354,Synapse54,1758492746354,Synapse54
40,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,81,6.23,6.23,55967499.99609375,27877.211257272123,1758492746354,Synapse54,1758492746354,Synapse54
41,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758492746354,Synapse54,1758492746354,Synapse54
42,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,70,4.38,4.38,56152499.99609375,27919.203273482235,1758492746354,Synapse54,1758492746354,Synapse54
