OBJECTID,admin4_name,admin3_name,admin2_name,id,X9028_X,X9028_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,157,5.23,5.23,75304999.99609375,32313.800822712084,1758492772571,Synapse54,1758492772571,Synapse54
2,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,2450,5.25,5.25,75782499.99609375,32420.079018375076,1758492772571,Synapse54,1758492772571,Synapse54
3,54757 (New Auburn),Chippewa County,Wisconsin,862750647ffffff,1619,7.53,7.53,76627499.99609375,32600.888954781985,1758492772571,Synapse54,1758492772571,Synapse54
4,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,788,4.93,4.93,76362500.0,32542.88954401976,1758492772571,Synapse54,1758492772571,Synapse54
5,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,314,6.41,6.41,76308749.99609375,32529.43878406359,1758492772571,Synapse54,1758492772571,Synapse54
6,54408 (Aniwa),Marathon County,Wisconsin,862751b0fffffff,895,5.06,5.06,76198750.00390625,32504.99318836548,1758492772571,Synapse54,1758492772571,Synapse54
7,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,770,6.11,6.11,76627500.0078125,32600.888954781985,1758492772571,Synapse54,1758492772571,Synapse54
8,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,361,4.3,4.3,71274999.9921875,31443.232471987707,1758492772571,Synapse54,1758492772571,Synapse54
9,54757 (New Auburn),Chippewa County,Wisconsin,86275066fffffff,309,7.73,7.73,76866250.0,32649.58786487351,1758492772571,Synapse54,1758492772571,Synapse54
10,54403 (Wausau),Marathon County,Wisconsin,862751b17ffffff,799,4.46,4.46,76440000.0,32558.031993397293,1758492772571,Synapse54,1758492772571,Synapse54
11,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,11722,5.39,5.39,74100000.0,32057.410923822383,1758492772571,Synapse54,1758492772571,Synapse54
12,54403 (Wausau),Marathon County,Wisconsin,862751b1fffffff,1477,5.51,5.51,76573749.99609375,32587.778014279786,1758492772571,Synapse54,1758492772571,Synapse54
13,54403 (Wausau),Marathon County,Wisconsin,862751b27ffffff,320,5.08,5.08,76462500.00390625,32562.367902951348,1758492772571,Synapse54,1758492772571,Synapse54
14,54403 (Wausau),Marathon County,Wisconsin,862751b2fffffff,595,5.09,5.09,76624999.99609375,32595.6459772393,1758492772571,Synapse54,1758492772571,Synapse54
