OBJECTID,admin4_name,admin3_name,admin2_name,id,MP19165A_B,MP19165A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47231 (Dupont),Jefferson County,Indiana,86266ca9fffffff,109,21.41,21.41,57101250.00390625,28159.583990587562,1758492805482,Synapse54,1758492805482,Synapse54
2,47562 (Odon),Daviess County,Indiana,86266e14fffffff,129,20.87,20.87,56797500.0,28085.415791910324,1758492805482,Synapse54,1758492805482,Synapse54
3,62821 (Carmi),White County,Illinois,86264524fffffff,28,22.95,22.95,56532500.0,28015.598433874227,1758492805482,Synapse54,1758492805482,Synapse54
4,47023 (Holton),Ripley County,Indiana,86266caa7ffffff,8,24.24,24.24,57735000.0,28312.54979551783,1758492805482,Synapse54,1758492805482,Synapse54
5,47529 (Elnora),Daviess County,Indiana,86266e157ffffff,144,24.2,24.2,56951249.99609375,28126.00795861039,1758492805482,Synapse54,1758492805482,Synapse54
6,46567 (Syracuse),Kosciusko County,Indiana,86274b207ffffff,517,23.32,23.32,64823749.9921875,29992.00289257546,1758492805482,Synapse54,1758492805482,Synapse54
7,47631 (New Harmony),Posey County,Indiana,86264526fffffff,7,25.0,25.0,56135000.0,27915.620822769335,1758492805482,Synapse54,1758492805482,Synapse54
8,47562 (Odon),Daviess County,Indiana,86266e15fffffff,75,20.78,20.78,56643750.00390625,28044.59995993566,1758492805482,Synapse54,1758492805482,Synapse54
9,47992 (Westpoint),Tippecanoe County,Indiana,862661da7ffffff,103,23.84,23.84,60992500.00390625,29097.84404649705,1758492805482,Synapse54,1758492805482,Synapse54
10,47562 (Odon),Daviess County,Indiana,86266e167ffffff,71,21.32,21.32,57103749.99609375,28163.990956009133,1758492805482,Synapse54,1758492805482,Synapse54
11,46562 (Pierceton),Noble County,Indiana,86274b20fffffff,146,21.19,21.19,64660000.0,29951.869056491672,1758492805482,Synapse54,1758492805482,Synapse54
12,47562 (Odon),Daviess County,Indiana,86266e16fffffff,62,20.88,20.88,56977499.99609375,28129.145114449355,1758492805482,Synapse54,1758492805482,Synapse54
13,47992 (Westpoint),Tippecanoe County,Indiana,862661dafffffff,23,25.84,25.84,60992500.0,29097.84404649705,1758492805482,Synapse54,1758492805482,Synapse54
14,62827 (Crossville),White County,Illinois,86264534fffffff,24,26.97,26.97,56454999.99609375,27997.829653857236,1758492805482,Synapse54,1758492805482,Synapse54
15,47449 (Newberry),Greene County,Indiana,86266e177ffffff,59,20.85,20.85,57006250.00390625,28137.914433436516,1758492805482,Synapse54,1758492805482,Synapse54
16,46567 (Syracuse),Kosciusko County,Indiana,86274b217ffffff,647,23.01,23.01,64773750.00390625,29979.983070586673,1758492805482,Synapse54,1758492805482,Synapse54
17,47838 (Carlisle),Sullivan County,Indiana,86266e187ffffff,17,21.52,21.52,57401250.0,28234.586103763817,1758492805482,Synapse54,1758492805482,Synapse54
18,47918 (Attica),Fountain County,Indiana,862661db7ffffff,83,21.07,21.07,61241250.0,29154.39080578883,1758492805482,Synapse54,1758492805482,Synapse54
19,47528 (Edwardsport),Knox County,Indiana,86266e18fffffff,65,21.89,21.89,56855000.0,28100.149095464658,1758492805482,Synapse54,1758492805482,Synapse54
20,46555 (North Webster),Kosciusko County,Indiana,86274b21fffffff,317,20.92,20.92,64578750.00390625,29932.75538639727,1758492805482,Synapse54,1758492805482,Synapse54
21,47838 (Carlisle),Sullivan County,Indiana,86266e197ffffff,140,24.73,24.73,56828750.00390625,28094.42426108083,1758492805482,Synapse54,1758492805482,Synapse54
22,47885 (West Terre Haute),Vigo County,Indiana,862663a47ffffff,192,5.64,5.64,58285000.0,28453.21791552546,1758492805482,Synapse54,1758492805482,Synapse54
23,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,7,22.58,22.58,55800000.0,27833.232309338826,1758492805482,Synapse54,1758492805482,Synapse54
24,47561 (Oaktown),Knox County,Indiana,86266e19fffffff,19,21.84,21.84,56828750.0,28094.42426108083,1758492805482,Synapse54,1758492805482,Synapse54
25,46732 (Cromwell),Noble County,Indiana,86274b22fffffff,138,22.92,22.92,64660000.0,29951.869056491672,1758492805482,Synapse54,1758492805482,Synapse54
26,47885 (West Terre Haute),Vigo County,Indiana,862663a67ffffff,5291,33.99,33.99,58616249.99609375,28530.560439134013,1758492805482,Synapse54,1758492805482,Synapse54
27,46725 (Columbia City),Noble County,Indiana,86274b247ffffff,322,21.54,21.54,64220000.0,29852.782909799484,1758492805482,Synapse54,1758492805482,Synapse54
28,47842 (Clinton),Vermillion County,Indiana,862663b2fffffff,111,20.79,20.79,59137499.99609375,28655.176586979916,1758492805482,Synapse54,1758492805482,Synapse54
29,47885 (West Terre Haute),Vigo County,Indiana,862663b47ffffff,214,24.07,24.07,59049999.99609375,28634.316482451464,1758492805482,Synapse54,1758492805482,Synapse54
