OBJECTID,admin4_name,admin3_name,admin2_name,id,MP19165A_B,MP19165A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62868 (Noble),Richland County,Illinois,86264516fffffff,27,20.61,20.61,57056250.00390625,28145.723142203915,1758492821967,Synapse54,1758492821967,Synapse54
2,62824 (Clay City),Clay County,Illinois,862645177ffffff,125,26.54,26.54,57158749.99609375,28174.6377721873,1758492821967,Synapse54,1758492821967,Synapse54
3,62899 (Xenia),Clay County,Illinois,862645187ffffff,32,21.48,21.48,57256250.0,28196.476022808307,1758492821967,Synapse54,1758492821967,Synapse54
4,62839 (Flora),Clay County,Illinois,86264518fffffff,57,20.88,20.88,57256250.00390625,28196.476022808307,1758492821967,Synapse54,1758492821967,Synapse54
5,61458 (Maquon),Knox County,Illinois,862675287ffffff,27,22.69,22.69,61581250.0,29235.9798832077,1758492821967,Synapse54,1758492821967,Synapse54
6,62910 (Brookport),Pope County,Illinois,862641207ffffff,21,23.08,23.08,55923750.0,27859.47846816504,1758492821967,Synapse54,1758492821967,Synapse54
7,61437 (Gladstone),Henderson County,Illinois,862670a2fffffff,18,21.95,21.95,61728750.0,29273.72473394963,1758492821967,Synapse54,1758492821967,Synapse54
8,62899 (Xenia),Clay County,Illinois,86264519fffffff,95,20.83,20.83,57408750.0,28236.805397737397,1758492821967,Synapse54,1758492821967,Synapse54
9,62341 (Hamilton),Hancock County,Illinois,8626702f7ffffff,2193,26.5,26.5,61084999.99609375,29119.269075471067,1758492821967,Synapse54,1758492821967,Synapse54
10,52658 (Wever),Lee County,Iowa,862670307ffffff,108,24.6,24.6,61082500.0,29117.98022066574,1758492821967,Synapse54,1758492821967,Synapse54
11,62358 (Niota),Hancock County,Illinois,86267030fffffff,47,25.68,25.68,61082499.99609375,29117.98022066574,1758492821967,Synapse54,1758492821967,Synapse54
12,52627 (Fort Madison),Lee County,Iowa,862670317ffffff,1910,25.92,25.92,61082500.0,29117.98022066574,1758492821967,Synapse54,1758492821967,Synapse54
13,62358 (Niota),Hancock County,Illinois,86267031fffffff,52,21.67,21.67,61082500.00390625,29117.98022066574,1758492821967,Synapse54,1758492821967,Synapse54
14,52658 (Wever),Lee County,Iowa,86267032fffffff,192,26.45,26.45,61082500.0,29117.98022066574,1758492821967,Synapse54,1758492821967,Synapse54
15,62330 (Dallas City),Hancock County,Illinois,862670347ffffff,14,22.22,22.22,60907500.00390625,29078.4267869232,1758492821967,Synapse54,1758492821967,Synapse54
16,62321 (Carthage),Hancock County,Illinois,86267034fffffff,13,21.31,21.31,60907500.00390625,29078.426786923203,1758492821967,Synapse54,1758492821967,Synapse54
17,62330 (Dallas City),Hancock County,Illinois,862670357ffffff,31,22.3,22.3,60907500.0,29078.426786923203,1758492821967,Synapse54,1758492821967,Synapse54
18,62321 (Carthage),Hancock County,Illinois,86267035fffffff,21,20.59,20.59,60907499.99609375,29078.4267869232,1758492821967,Synapse54,1758492821967,Synapse54
19,62330 (Dallas City),Hancock County,Illinois,862670367ffffff,15,26.32,26.32,60906249.99609375,29082.852499086846,1758492821967,Synapse54,1758492821967,Synapse54
20,61450 (La Harpe),Hancock County,Illinois,86267036fffffff,10,23.26,23.26,60696250.0,29033.06580863965,1758492821967,Synapse54,1758492821967,Synapse54
