OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22088A_B,MP22088A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62677 (Pleasant Plains),Sangamon County,Illinois,862644db7ffffff,122,16.03,16.03,59518749.99609375,28748.140035843146,1758492844635,Synapse54,1758492844635,Synapse54
2,62050 (Hillview),Greene County,Illinois,862646827ffffff,13,8.18,8.18,59606250.00390625,28763.57339327254,1758492844635,Synapse54,1758492844635,Synapse54
3,62050 (Hillview),Greene County,Illinois,862646837ffffff,8,7.69,7.69,59386250.0,28710.973135754874,1758492844635,Synapse54,1758492844635,Synapse54
4,62694 (Winchester),Scott County,Illinois,862646907ffffff,29,9.97,9.97,59399999.99609375,28717.77734845899,1758492844635,Synapse54,1758492844635,Synapse54
5,62082 (Roodhouse),Greene County,Illinois,86264690fffffff,8,8.89,8.89,59400000.0,28717.777348458985,1758492844635,Synapse54,1758492844635,Synapse54
6,62694 (Winchester),Scott County,Illinois,862646917ffffff,4,13.33,13.33,59606250.0,28763.57339327254,1758492844635,Synapse54,1758492844635,Synapse54
7,62050 (Hillview),Greene County,Illinois,86264691fffffff,6,8.57,8.57,59606250.0,28763.57339327254,1758492844635,Synapse54,1758492844635,Synapse54
8,62694 (Winchester),Scott County,Illinois,862646927ffffff,77,12.52,12.52,59606250.0,28763.57339327254,1758492844635,Synapse54,1758492844635,Synapse54
9,62694 (Winchester),Scott County,Illinois,86264692fffffff,7,8.05,8.05,59606250.00390625,28763.57339327254,1758492844635,Synapse54,1758492844635,Synapse54
10,62694 (Winchester),Scott County,Illinois,862646937ffffff,19,12.67,12.67,59400000.00390625,28717.777348458985,1758492844635,Synapse54,1758492844635,Synapse54
11,62092 (White Hall),Greene County,Illinois,862646947ffffff,6,11.54,11.54,59329999.99609375,28696.158808551176,1758492844635,Synapse54,1758492844635,Synapse54
12,62092 (White Hall),Greene County,Illinois,862646957ffffff,250,12.87,12.87,59227500.0,28673.47973605115,1758492844635,Synapse54,1758492844635,Synapse54
13,62082 (Roodhouse),Greene County,Illinois,862646967ffffff,9,10.98,10.98,59502500.0,28740.45642095901,1758492844635,Synapse54,1758492844635,Synapse54
14,62082 (Roodhouse),Greene County,Illinois,86264696fffffff,10,11.9,11.9,59517500.0,28743.17952845296,1758492844635,Synapse54,1758492844635,Synapse54
15,62082 (Roodhouse),Greene County,Illinois,862646977ffffff,144,13.02,13.02,59708750.0,28790.565702156666,1758492844635,Synapse54,1758492844635,Synapse54
16,62361 (Pearl),Pike County,Illinois,862646987ffffff,6,11.11,11.11,59488749.99609375,28737.965444638998,1758492844635,Synapse54,1758492844635,Synapse54
17,62361 (Pearl),Pike County,Illinois,86264698fffffff,13,11.3,11.3,59488750.0,28737.965444638998,1758492844635,Synapse54,1758492844635,Synapse54
18,62363 (Pittsfield),Pike County,Illinois,862646997ffffff,5,10.42,10.42,59592500.0,28760.87664831296,1758492844635,Synapse54,1758492844635,Synapse54
19,62361 (Pearl),Pike County,Illinois,86264699fffffff,4,10.26,10.26,59592500.0,28760.87664831296,1758492844635,Synapse54,1758492844635,Synapse54
20,62305 (Quincy),Adams County,Illinois,862673b2fffffff,11,8.4,8.4,60337499.99609375,28938.041241530176,1758492844635,Synapse54,1758492844635,Synapse54
21,62338 (Fowler),Adams County,Illinois,862673b37ffffff,47,10.78,10.78,60406250.00390625,28959.613305042094,1758492844635,Synapse54,1758492844635,Synapse54
22,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,4,10.81,10.81,56135000.00390625,27915.620822769335,1758492844635,Synapse54,1758492844635,Synapse54
23,62347 (Liberty),Adams County,Illinois,862673b47ffffff,14,7.69,7.69,60543750.00390625,28991.989812650623,1758492844635,Synapse54,1758492844635,Synapse54
24,62370 (Rockport),Pike County,Illinois,862646d0fffffff,15,8.43,8.43,60071250.0,28872.658196055614,1758492844635,Synapse54,1758492844635,Synapse54
25,62263 (Nashville),Washington County,Illinois,86264014fffffff,11,12.5,12.5,57742500.0,28309.303506499375,1758492844635,Synapse54,1758492844635,Synapse54
26,62867 (New Haven),White County,Illinois,86266a58fffffff,3,13.04,13.04,56134999.99609375,27915.620822769335,1758492844635,Synapse54,1758492844635,Synapse54
27,62356 (New Canton),Pike County,Illinois,862646d17ffffff,4,12.9,12.9,60045000.0,28873.176330769522,1758492844635,Synapse54,1758492844635,Synapse54
28,62312 (Barry),Adams County,Illinois,862673b4fffffff,5,7.69,7.69,60232500.0,28915.132722347902,1758492844635,Synapse54,1758492844635,Synapse54
29,62821 (Carmi),White County,Illinois,86266a5afffffff,2,9.52,9.52,56532500.0,28015.598433874227,1758492844635,Synapse54,1758492844635,Synapse54
30,62370 (Rockport),Pike County,Illinois,862646d1fffffff,5,7.69,7.69,59870000.0,28828.579921065975,1758492844635,Synapse54,1758492844635,Synapse54
31,62214 (Addieville),Washington County,Illinois,862640157ffffff,17,11.81,11.81,57758750.0,28317.872572734625,1758492844635,Synapse54,1758492844635,Synapse54
32,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,150,12.46,12.46,56340000.00390625,27972.40576972079,1758492844635,Synapse54,1758492844635,Synapse54
33,62312 (Barry),Pike County,Illinois,862646d27ffffff,4,7.69,7.69,59953750.0,28847.393402947084,1758492844635,Synapse54,1758492844635,Synapse54
34,62360 (Payson),Adams County,Illinois,862673b57ffffff,13,8.18,8.18,60150000.0,28896.084849951796,1758492844635,Synapse54,1758492844635,Synapse54
35,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,291,13.7,13.7,56340000.0,27972.40576972079,1758492844635,Synapse54,1758492844635,Synapse54
36,62363 (Pittsfield),Pike County,Illinois,862646d2fffffff,11,8.03,8.03,59766250.0,28805.668717392015,1758492844635,Synapse54,1758492844635,Synapse54
37,62268 (Oakdale),Washington County,Illinois,86264015fffffff,14,12.73,12.73,57557500.00390625,28267.27907681526,1758492844635,Synapse54,1758492844635,Synapse54
38,47631 (New Harmony),Posey County,Indiana,86266a537ffffff,6,12.5,12.5,56455000.0,27997.829653857236,1758492844635,Synapse54,1758492844635,Synapse54
39,62365 (Plainville),Adams County,Illinois,862673b5fffffff,10,7.75,7.75,60045000.0,28873.176330769522,1758492844635,Synapse54,1758492844635,Synapse54
40,47631 (New Harmony),Posey County,Indiana,86266ac87ffffff,47,10.51,10.51,56070000.0,27905.06410782499,1758492844635,Synapse54,1758492844635,Synapse54
41,62214 (Addieville),Washington County,Illinois,862640167ffffff,23,8.65,8.65,57945000.0,28359.658540410997,1758492844635,Synapse54,1758492844635,Synapse54
42,62312 (Barry),Pike County,Illinois,862646d37ffffff,7,9.09,9.09,60071250.0,28872.658196055614,1758492844635,Synapse54,1758492844635,Synapse54
43,62827 (Crossville),White County,Illinois,86266ac97ffffff,0,0.0,0.0,56436249.99609375,27999.82498071102,1758492844635,Synapse54,1758492844635,Synapse54
44,62347 (Liberty),Adams County,Illinois,862673b67ffffff,17,12.14,12.14,60127500.0,28891.99249714231,1758492844635,Synapse54,1758492844635,Synapse54
45,62366 (Pleasant Hill),Pike County,Illinois,862646d47ffffff,9,11.11,11.11,59766250.0,28805.668717392015,1758492844635,Synapse54,1758492844635,Synapse54
46,47631 (New Harmony),Posey County,Indiana,86266ac9fffffff,72,11.43,11.43,56267500.00390625,27955.837637647124,1758492844635,Synapse54,1758492844635,Synapse54
47,62263 (Nashville),Washington County,Illinois,86264016fffffff,10,10.64,10.64,57944999.99609375,28359.658540410997,1758492844635,Synapse54,1758492844635,Synapse54
48,62366 (Pleasant Hill),Pike County,Illinois,862646d57ffffff,9,11.25,11.25,59766249.99609375,28805.668717392015,1758492844635,Synapse54,1758492844635,Synapse54
49,47616 (Griffin),Posey County,Indiana,86266acb7ffffff,24,11.32,11.32,56455000.00390625,27997.829653857236,1758492844635,Synapse54,1758492844635,Synapse54
50,62347 (Liberty),Adams County,Illinois,862673b6fffffff,9,8.11,8.11,60232499.99609375,28915.132722347902,1758492844635,Synapse54,1758492844635,Synapse54
51,62366 (Pleasant Hill),Pike County,Illinois,862646d5fffffff,94,13.11,13.11,59592500.00390625,28761.06962319679,1758492844635,Synapse54,1758492844635,Synapse54
52,62863 (Mount Carmel),Wabash County,Illinois,86266ad87ffffff,5,10.42,10.42,56455000.0,27997.829653857236,1758492844635,Synapse54,1758492844635,Synapse54
53,62271 (Okawville),Washington County,Illinois,862640177ffffff,13,9.03,9.03,57945000.0,28359.658540410997,1758492844635,Synapse54,1758492844635,Synapse54
54,62363 (Pittsfield),Pike County,Illinois,862646d67ffffff,10,11.24,11.24,60071250.0,28872.658196055614,1758492844635,Synapse54,1758492844635,Synapse54
55,62863 (Mount Carmel),Wabash County,Illinois,86266ad97ffffff,11,11.0,11.0,56453750.0,27997.58455251041,1758492844635,Synapse54,1758492844635,Synapse54
56,62347 (Liberty),Adams County,Illinois,862673b77ffffff,62,9.3,9.3,60232500.0,28914.901016324584,1758492844635,Synapse54,1758492844635,Synapse54
57,62355 (Nebo),Pike County,Illinois,862646d6fffffff,9,11.69,11.69,59677499.99609375,28780.974409944076,1758492844635,Synapse54,1758492844635,Synapse54
58,62916 (Campbell Hill),Jackson County,Illinois,862640207ffffff,11,8.27,8.27,57397500.0,28221.02357076494,1758492844635,Synapse54,1758492844635,Synapse54
59,47616 (Griffin),Gibson County,Indiana,86266ad9fffffff,5,15.63,15.63,56237500.00390625,27943.4736733222,1758492844635,Synapse54,1758492844635,Synapse54
60,62366 (Pleasant Hill),Pike County,Illinois,862646d77ffffff,11,10.78,10.78,59592500.0,28761.06962319679,1758492844635,Synapse54,1758492844635,Synapse54
61,63471 (Taylor),Marion County,Missouri,862673b87ffffff,282,15.8,15.8,60500000.0,28980.513083330785,1758492844635,Synapse54,1758492844635,Synapse54
62,62907 (Ava),Jackson County,Illinois,86264020fffffff,19,7.98,7.98,57198750.00390625,28176.431321666434,1758492844635,Synapse54,1758492844635,Synapse54
63,47665 (Owensville),Gibson County,Indiana,86266ada7ffffff,3,11.54,11.54,56358750.0,27976.233321780514,1758492844635,Synapse54,1758492844635,Synapse54
64,63353 (Louisiana),Pike County,Missouri,862646d87ffffff,6,10.71,10.71,60150000.0,28896.084849951796,1758492844635,Synapse54,1758492844635,Synapse54
65,62305 (Quincy),Adams County,Illinois,862673b8fffffff,30,8.04,8.04,60337500.0,28938.041241530176,1758492844635,Synapse54,1758492844635,Synapse54
66,62916 (Campbell Hill),Jackson County,Illinois,862640217ffffff,31,8.52,8.52,57401250.00390625,28226.01941034978,1758492844635,Synapse54,1758492844635,Synapse54
67,62863 (Mount Carmel),Wabash County,Illinois,862645a67ffffff,19,8.12,8.12,56557500.0,28025.65791476663,1758492844635,Synapse54,1758492844635,Synapse54
68,62356 (New Canton),Pike County,Illinois,862646da7ffffff,1,16.67,16.67,59942500.0,28846.389074054474,1758492844635,Synapse54,1758492844635,Synapse54
69,62863 (Mount Carmel),Wabash County,Illinois,862645a6fffffff,468,12.84,12.84,56816250.0,28090.03254683332,1758492844635,Synapse54,1758492844635,Synapse54
70,63471 (Taylor),Marion County,Missouri,862673b9fffffff,4,10.26,10.26,60708750.00390625,29030.582916918458,1758492844635,Synapse54,1758492844635,Synapse54
71,62907 (Ava),Jackson County,Illinois,86264021fffffff,53,7.98,7.98,57169999.99609375,28174.899613219517,1758492844635,Synapse54,1758492844635,Synapse54
72,47885 (West Terre Haute),Vigo County,Indiana,862663a5fffffff,49,13.65,13.65,58133749.99609375,28416.84109864638,1758492844635,Synapse54,1758492844635,Synapse54
73,62370 (Rockport),Pike County,Illinois,862646dafffffff,1,5.88,5.88,60045000.0,28873.176330769522,1758492844635,Synapse54,1758492844635,Synapse54
74,62439 (Lawrenceville),Lawrence County,Illinois,86266e44fffffff,337,15.97,15.97,56462500.0,28004.306684036736,1758492844635,Synapse54,1758492844635,Synapse54
75,62301 (Quincy),Adams County,Illinois,862673ba7ffffff,2405,14.51,14.51,60525000.0,28979.997633108556,1758492844635,Synapse54,1758492844635,Synapse54
76,63459 (New London),Ralls County,Missouri,862646db7ffffff,6,9.09,9.09,60045000.0,28873.176330769522,1758492844635,Synapse54,1758492844635,Synapse54
77,62274 (Pinckneyville),Perry County,Illinois,862640227ffffff,3,7.32,7.32,57371250.0,28225.493109138886,1758492844635,Synapse54,1758492844635,Synapse54
78,47561 (Oaktown),Knox County,Indiana,86266e467ffffff,9,8.41,8.41,56706250.0,28062.983138714026,1758492844635,Synapse54,1758492844635,Synapse54
79,62301 (Quincy),Adams County,Illinois,862673bafffffff,1833,13.46,13.46,60500000.00390625,28980.513083330785,1758492844635,Synapse54,1758492844635,Synapse54
80,47591 (Vincennes),Knox County,Indiana,86266e46fffffff,26,9.67,9.67,56636250.0,28048.0148154559,1758492844635,Synapse54,1758492844635,Synapse54
81,61546 (Manito),Mason County,Illinois,862662417ffffff,111,11.54,11.54,60722499.99609375,29035.64582934531,1758492844635,Synapse54,1758492844635,Synapse54
