OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22088A_B,MP22088A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,6,8.0,8.0,56462500.0,28004.306684036736,1758492862977,Synapse54,1758492862977,Synapse54
2,46041 (Frankfort),Clinton County,Indiana,862661937ffffff,41,7.96,7.96,61193749.9921875,29148.055305271442,1758492862977,Synapse54,1758492862977,Synapse54
3,47421 (Bedford),Lawrence County,Indiana,86266c797ffffff,49,12.44,12.44,57018750.00390625,28140.862651470772,1758492862977,Synapse54,1758492862977,Synapse54
4,46069 (Sheridan),Hamilton County,Indiana,862661947ffffff,511,14.27,14.27,60850000.0,29061.524543953234,1758492862977,Synapse54,1758492862977,Synapse54
5,46104 (Arlington),Rush County,Indiana,862a92757ffffff,112,13.84,13.84,59575000.00390625,28759.097500517706,1758492862977,Synapse54,1758492862977,Synapse54
6,46173 (Rushville),Rush County,Indiana,862a9275fffffff,34,12.32,12.32,59542500.0,28752.032281077303,1758492862977,Synapse54,1758492862977,Synapse54
7,46069 (Sheridan),Boone County,Indiana,862661957ffffff,35,12.37,12.37,60557500.0078125,28988.195772354964,1758492862977,Synapse54,1758492862977,Synapse54
8,47421 (Bedford),Lawrence County,Indiana,86266c79fffffff,15,8.06,8.06,56561249.99609375,28027.785408702417,1758492862977,Synapse54,1758492862977,Synapse54
9,47264 (Norman),Lawrence County,Indiana,86266c7b7ffffff,42,10.27,10.27,57230000.0,28194.112522144897,1758492862977,Synapse54,1758492862977,Synapse54
10,46160 (Morgantown),Morgan County,Indiana,86266cc97ffffff,127,13.53,13.53,58324999.99609375,28459.642537700533,1758492862977,Synapse54,1758492862977,Synapse54
11,46160 (Morgantown),Brown County,Indiana,86266cc9fffffff,156,11.62,11.62,58197500.0,28427.518180876683,1758492862977,Synapse54,1758492862977,Synapse54
12,46148 (Knightstown),Rush County,Indiana,862a92767ffffff,32,11.85,11.85,59575000.00390625,28759.097500517706,1758492862977,Synapse54,1758492862977,Synapse54
13,46160 (Morgantown),Johnson County,Indiana,86266ccb7ffffff,106,14.32,14.32,58721250.0,28553.23550284999,1758492862977,Synapse54,1758492862977,Synapse54
14,46075 (Whitestown),Boone County,Indiana,86266195fffffff,49,14.29,14.29,60472499.9921875,28968.124524199873,1758492862977,Synapse54,1758492862977,Synapse54
15,46173 (Rushville),Rush County,Indiana,862a9276fffffff,19,10.8,10.8,59761250.0,28806.32585880073,1758492862977,Synapse54,1758492862977,Synapse54
16,46069 (Sheridan),Boone County,Indiana,862661977ffffff,38,12.84,12.84,61065000.00390625,29113.624299841948,1758492862977,Synapse54,1758492862977,Synapse54
17,47568 (Plainville),Daviess County,Indiana,86266e007ffffff,20,12.99,12.99,56882500.0078125,28106.07636680948,1758492862977,Synapse54,1758492862977,Synapse54
18,46115 (Carthage),Rush County,Indiana,862a92777ffffff,52,12.53,12.53,59942500.0,28846.262933232756,1758492862977,Synapse54,1758492862977,Synapse54
19,46041 (Frankfort),Clinton County,Indiana,862661987ffffff,16,7.96,7.96,60962500.0078125,29089.395090165268,1758492862977,Synapse54,1758492862977,Synapse54
