OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22089A_B,MP22089A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46356 (Lowell),Lake County,Indiana,86266475fffffff,22,9.28,9.28,64184999.98828125,29844.258457732598,1758492898816,Synapse54,1758492898816,Synapse54
2,62314 (Baylis),Pike County,Illinois,8626716afffffff,19,9.84,9.84,60147500.0,28900.38529258016,1758492898816,Synapse54,1758492898816,Synapse54
3,62471 (Vandalia),Fayette County,Illinois,862644357ffffff,201,7.88,7.88,58067500.0,28395.352165252498,1758492898816,Synapse54,1758492898816,Synapse54
4,62881 (Salem),Marion County,Illinois,862645437ffffff,19,9.05,9.05,57896250.00390625,28351.46702499466,1758492898816,Synapse54,1758492898816,Synapse54
5,62661 (Loami),Sangamon County,Illinois,862644cafffffff,68,8.29,8.29,59243750.0,28681.518563180733,1758492898816,Synapse54,1758492898816,Synapse54
6,60411 (Chicago Heights),Cook County,Illinois,862664087ffffff,2036,9.46,9.46,64572499.99609375,29937.242508031522,1758492898816,Synapse54,1758492898816,Synapse54
7,62233 (Chester),Randolph County,Illinois,86264075fffffff,26,8.05,8.05,57555000.00390625,28262.52169923816,1758492898816,Synapse54,1758492898816,Synapse54
8,62972 (Ozark),Johnson County,Illinois,862641007ffffff,27,9.22,9.22,56392500.0,27981.15249229343,1758492898816,Synapse54,1758492898816,Synapse54
9,62471 (Vandalia),Fayette County,Illinois,86264435fffffff,231,8.36,8.36,57761250.0,28317.20435132372,1758492898816,Synapse54,1758492898816,Synapse54
10,62330 (Dallas City),Hancock County,Illinois,862670acfffffff,5,8.93,8.93,61058750.0,29115.81798608429,1758492898816,Synapse54,1758492898816,Synapse54
11,62312 (Barry),Adams County,Illinois,8626716b7ffffff,9,7.26,7.26,60175000.00390625,28899.869842357937,1758492898816,Synapse54,1758492898816,Synapse54
12,62985 (Simpson),Pope County,Illinois,86264100fffffff,3,8.11,8.11,56392500.0,27981.15249229343,1758492898816,Synapse54,1758492898816,Synapse54
13,62286 (Sparta),Randolph County,Illinois,862640767ffffff,9,7.56,7.56,57555000.00390625,28262.52169923816,1758492898816,Synapse54,1758492898816,Synapse54
14,62849 (Iuka),Marion County,Illinois,862645447ffffff,15,8.72,8.72,57405000.0,28231.015249934626,1758492898816,Synapse54,1758492898816,Synapse54
15,62670 (New Berlin),Sangamon County,Illinois,862644cb7ffffff,55,9.39,9.39,59346250.0,28703.84242343531,1758492898816,Synapse54,1758492898816,Synapse54
16,62418 (Brownstown),Fayette County,Illinois,862644367ffffff,10,7.58,7.58,57967500.0,28373.266694098496,1758492898816,Synapse54,1758492898816,Synapse54
17,62972 (Ozark),Johnson County,Illinois,862641017ffffff,22,9.09,9.09,56392500.00390625,27981.152492293433,1758492898816,Synapse54,1758492898816,Synapse54
18,62615 (Auburn),Sangamon County,Illinois,862644cc7ffffff,219,9.64,9.64,59069999.99609375,28631.905231137265,1758492898816,Synapse54,1758492898816,Synapse54
19,46311 (Dyer),Lake County,Indiana,86266408fffffff,1682,9.21,9.21,65015000.0,30036.70985285467,1758492898816,Synapse54,1758492898816,Synapse54
20,62363 (Pittsfield),Pike County,Illinois,8626716c7ffffff,303,9.35,9.35,59986250.0,28858.29265295237,1758492898816,Synapse54,1758492898816,Synapse54
21,62889 (Texico),Jefferson County,Illinois,86264544fffffff,14,8.43,8.43,57306250.0,28209.168604183025,1758492898816,Synapse54,1758492898816,Synapse54
22,62418 (Brownstown),Fayette County,Illinois,86264436fffffff,50,9.71,9.71,58067500.00390625,28395.352165252498,1758492898816,Synapse54,1758492898816,Synapse54
23,62985 (Simpson),Johnson County,Illinois,86264101fffffff,13,8.97,8.97,56593750.00390625,28026.50419775087,1758492898816,Synapse54,1758492898816,Synapse54
24,62233 (Chester),Randolph County,Illinois,86264076fffffff,15,7.54,7.54,57555000.00390625,28262.52169923816,1758492898816,Synapse54,1758492898816,Synapse54
25,62692 (Waverly),Sangamon County,Illinois,862644cd7ffffff,6,9.38,9.38,59072500.0,28637.00360224485,1758492898816,Synapse54,1758492898816,Synapse54
26,62080 (Ramsey),Fayette County,Illinois,862644377ffffff,9,7.69,7.69,57761250.0,28317.20435132372,1758492898816,Synapse54,1758492898816,Synapse54
27,62690 (Virden),Macoupin County,Illinois,862644cdfffffff,152,9.61,9.61,58851250.0,28589.323383617633,1758492898816,Synapse54,1758492898816,Synapse54
28,62363 (Pittsfield),Pike County,Illinois,8626716cfffffff,8,9.76,9.76,59663750.0,28778.48343362406,1758492898816,Synapse54,1758492898816,Synapse54
29,62242 (Evansville),Randolph County,Illinois,862640777ffffff,13,7.74,7.74,58016249.99609375,28381.57603345574,1758492898816,Synapse54,1758492898816,Synapse54
30,62017 (Coffeen),Montgomery County,Illinois,862644387ffffff,59,9.2,9.2,58321249.99609375,28453.88300919399,1758492898816,Synapse54,1758492898816,Synapse54
31,62629 (Chatham),Sangamon County,Illinois,862644cf7ffffff,5,8.93,8.93,59056250.00390625,28639.57729200089,1758492898816,Synapse54,1758492898816,Synapse54
32,62017 (Coffeen),Montgomery County,Illinois,86264438fffffff,10,9.71,9.71,58135000.00390625,28412.097041517613,1758492898816,Synapse54,1758492898816,Synapse54
33,62677 (Pleasant Plains),Sangamon County,Illinois,862644d17ffffff,58,9.35,9.35,59245000.0,28681.301214652685,1758492898816,Synapse54,1758492898816,Synapse54
