OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22089A_B,MP22089A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47842 (Clinton),Vermillion County,Indiana,862663b77ffffff,84,8.35,8.35,59137500.0,28655.176586979916,1758492914906,Synapse54,1758492914906,Synapse54
2,47331 (Connersville),Fayette County,Indiana,862a9220fffffff,73,9.24,9.24,59370000.00390625,28712.17494825072,1758492914906,Synapse54,1758492914906,Synapse54
3,47802 (Terre Haute),Vigo County,Indiana,86266ed87ffffff,53,9.35,9.35,58133750.0,28415.727789902652,1758492914906,Synapse54,1758492914906,Synapse54
4,46385 (Valparaiso),Porter County,Indiana,86266404fffffff,169,9.29,9.29,64239999.9921875,29855.13097286012,1758492914906,Synapse54,1758492914906,Synapse54
5,47513 (Birdseye),Dubois County,Indiana,862668c9fffffff,33,9.65,9.65,55481250.0,27764.296808458963,1758492914906,Synapse54,1758492914906,Synapse54
6,47980 (Reynolds),White County,Indiana,8626654f7ffffff,11,8.8,8.8,62501250.0,29451.488511796277,1758492914906,Synapse54,1758492914906,Synapse54
7,46307 (Crown Point),Lake County,Indiana,86266405fffffff,1075,9.66,9.66,64666250.00390625,29954.44895502577,1758492914906,Synapse54,1758492914906,Synapse54
8,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,18,7.69,7.69,56005000.00390625,27890.50745898393,1758492914906,Synapse54,1758492914906,Synapse54
9,47331 (Connersville),Fayette County,Indiana,862a92217ffffff,49,7.61,7.61,59337499.99609375,28699.652404866538,1758492914906,Synapse54,1758492914906,Synapse54
10,47850 (Farmersburg),Sullivan County,Indiana,86266ed8fffffff,21,7.78,7.78,57697500.0,28302.34841694258,1758492914906,Synapse54,1758492914906,Synapse54
11,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,24,7.41,7.41,56461250.0,28004.086172333384,1758492914906,Synapse54,1758492914906,Synapse54
12,47946 (Francesville),Pulaski County,Indiana,862665507ffffff,9,7.5,7.5,63070000.0,29583.357569893105,1758492914906,Synapse54,1758492914906,Synapse54
13,62477 (West Union),Clark County,Illinois,86266ed97ffffff,6,7.59,7.59,58037499.99609375,28390.856836846102,1758492914906,Synapse54,1758492914906,Synapse54
14,47631 (New Harmony),Posey County,Indiana,86264526fffffff,3,10.71,10.71,56135000.0,27915.620822769335,1758492914906,Synapse54,1758492914906,Synapse54
15,46996 (Winamac),Pulaski County,Indiana,86266550fffffff,12,7.55,7.55,63203750.0,29617.613917913353,1758492914906,Synapse54,1758492914906,Synapse54
16,47175 (Taswell),Crawford County,Indiana,862668cafffffff,21,9.13,9.13,55605000.0,27787.916999092504,1758492914906,Synapse54,1758492914906,Synapse54
17,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,396,9.05,9.05,64185000.0,29844.258457732598,1758492914906,Synapse54,1758492914906,Synapse54
18,62477 (West Union),Clark County,Illinois,86266ed9fffffff,1,7.14,7.14,57827500.0,28337.976570671264,1758492914906,Synapse54,1758492914906,Synapse54
19,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,17,7.59,7.59,56096250.00390625,27910.096352341992,1758492914906,Synapse54,1758492914906,Synapse54
20,47331 (Connersville),Fayette County,Indiana,862a9221fffffff,40,8.77,8.77,59206250.0,28672.583846575206,1758492914906,Synapse54,1758492914906,Synapse54
21,46725 (Columbia City),Whitley County,Indiana,86274b24fffffff,105,8.83,8.83,64440000.0,29904.881372756154,1758492914906,Synapse54,1758492914906,Synapse54
22,47946 (Francesville),Pulaski County,Indiana,862665517ffffff,63,7.54,7.54,63128750.0,29597.327517822327,1758492914906,Synapse54,1758492914906,Synapse54
23,46373 (Saint John),Lake County,Indiana,8626640d7ffffff,1124,9.27,9.27,64184999.99609375,29844.258457732598,1758492914906,Synapse54,1758492914906,Synapse54
24,47666 (Patoka),Gibson County,Indiana,86266e6f7ffffff,14,7.45,7.45,56295000.00390625,27960.624780817296,1758492914906,Synapse54,1758492914906,Synapse54
25,47591 (Vincennes),Knox County,Indiana,86266e707ffffff,25,7.49,7.49,56481250.0,28008.134236096463,1758492914906,Synapse54,1758492914906,Synapse54
26,62827 (Crossville),White County,Illinois,86264534fffffff,9,10.11,10.11,56454999.99609375,27997.829653857236,1758492914906,Synapse54,1758492914906,Synapse54
27,46764 (Larwill),Whitley County,Indiana,86274b257ffffff,30,7.39,7.39,64273750.0,29865.783071157584,1758492914906,Synapse54,1758492914906,Synapse54
28,46303 (Cedar Lake),Lake County,Indiana,8626640dfffffff,1196,9.43,9.43,64212500.0,29850.08063761158,1758492914906,Synapse54,1758492914906,Synapse54
29,47557 (Monroe City),Knox County,Indiana,86266e70fffffff,41,7.52,7.52,56386250.0,27987.132919132015,1758492914906,Synapse54,1758492914906,Synapse54
