OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22089A_B,MP22089A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,18,9.23,9.23,71274999.9921875,31443.232471987707,1758492931093,Synapse54,1758492931093,Synapse54
2,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,113,9.35,9.35,71737500.0,31543.113704285806,1758492931093,Synapse54,1758492931093,Synapse54
3,54603 (La Crosse),La Crosse County,Wisconsin,86275e487ffffff,63,8.19,8.19,71683749.99609375,31532.709061725178,1758492931093,Synapse54,1758492931093,Synapse54
4,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,1072,7.75,7.75,71452499.99609375,31484.250567701674,1758492931093,Synapse54,1758492931093,Synapse54
5,54650 (Onalaska),La Crosse County,Wisconsin,86275e4a7ffffff,926,9.33,9.33,71902500.0,31582.816344798804,1758492931093,Synapse54,1758492931093,Synapse54
6,54650 (Onalaska),La Crosse County,Wisconsin,86275e4afffffff,1223,8.33,8.33,71653750.0,31528.529459856218,1758492931093,Synapse54,1758492931093,Synapse54
7,54650 (Onalaska),La Crosse County,Wisconsin,86275e4b7ffffff,73,9.23,9.23,71761250.0,31548.045087550454,1758492931093,Synapse54,1758492931093,Synapse54
8,54601 (La Crosse),La Crosse County,Wisconsin,86275e4c7ffffff,152,8.85,8.85,71381249.99609375,31465.92387842132,1758492931093,Synapse54,1758492931093,Synapse54
9,54623 (Coon Valley),La Crosse County,Wisconsin,86275e4cfffffff,58,9.05,9.05,71161250.0,31418.39273807416,1758492931093,Synapse54,1758492931093,Synapse54
10,54601 (La Crosse),La Crosse County,Wisconsin,86275e4d7ffffff,2124,6.47,6.47,71362500.0,31462.481449543506,1758492931093,Synapse54,1758492931093,Synapse54
11,54658 (Stoddard),La Crosse County,Wisconsin,86275e4dfffffff,222,7.96,7.96,70807500.0078125,31341.202912209672,1758492931093,Synapse54,1758492931093,Synapse54
12,54601 (La Crosse),La Crosse County,Wisconsin,86275e4e7ffffff,77,9.24,9.24,71902500.0,31582.816344798804,1758492931093,Synapse54,1758492931093,Synapse54
13,54601 (La Crosse),La Crosse County,Wisconsin,86275e4efffffff,93,9.28,9.28,71149999.99609375,31417.85860909827,1758492931093,Synapse54,1758492931093,Synapse54
14,54601 (La Crosse),La Crosse County,Wisconsin,86275e4f7ffffff,215,7.75,7.75,71452499.9921875,31484.250567701674,1758492931093,Synapse54,1758492931093,Synapse54
15,54642 (Melrose),Jackson County,Wisconsin,86275e507ffffff,29,8.61,8.61,72123749.99609375,31630.41049025398,1758492931093,Synapse54,1758492931093,Synapse54
16,54644 (Mindoro),La Crosse County,Wisconsin,86275e50fffffff,18,9.52,9.52,72212500.0,31649.787783389325,1758492931093,Synapse54,1758492931093,Synapse54
17,54642 (Melrose),Jackson County,Wisconsin,86275e517ffffff,19,8.26,8.26,72320000.0,31669.3022710812,1758492931093,Synapse54,1758492931093,Synapse54
18,54644 (Mindoro),La Crosse County,Wisconsin,86275e51fffffff,45,9.26,9.26,72445000.0,31698.034742924545,1758492931093,Synapse54,1758492931093,Synapse54
