OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22094A_B,MP22094A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53510 (Belmont),Lafayette County,Wisconsin,86275aa1fffffff,17,14.91,14.91,67907500.0,30695.675377292657,1758492949138,Synapse54,1758492949138,Synapse54
2,54466 (Pittsville),Jackson County,Wisconsin,8627516cfffffff,1,16.67,16.67,73523750.0078125,31930.160119865748,1758492949138,Synapse54,1758492949138,Synapse54
3,53570 (Monticello),Green County,Wisconsin,862758647ffffff,54,19.71,19.71,67895000.0,30691.857203187894,1758492949138,Synapse54,1758492949138,Synapse54
4,53565 (Mineral Point),Iowa County,Wisconsin,86275aa27ffffff,15,15.63,15.63,68254999.9921875,30769.712668927124,1758492949138,Synapse54,1758492949138,Synapse54
5,54971 (Ripon),Winnebago County,Wisconsin,86275c317ffffff,30,15.79,15.79,72492499.99609375,31709.722121362654,1758492949138,Synapse54,1758492949138,Synapse54
6,53565 (Mineral Point),Iowa County,Wisconsin,86275aa2fffffff,16,17.98,17.98,68632500.0,30860.550056061475,1758492949138,Synapse54,1758492949138,Synapse54
7,54456 (Neillsville),Clark County,Wisconsin,8627516d7ffffff,24,17.39,17.39,74110000.0,32063.1890223784,1758492949138,Synapse54,1758492949138,Synapse54
8,53553 (Linden),Iowa County,Wisconsin,86275aa37ffffff,17,15.32,15.32,68610000.0,30853.063671085874,1758492949138,Synapse54,1758492949138,Synapse54
9,53530 (Darlington),Lafayette County,Wisconsin,86275aa47ffffff,20,14.71,14.71,68331250.00390625,30788.500576475497,1758492949138,Synapse54,1758492949138,Synapse54
10,53566 (Monroe),Green County,Wisconsin,86275864fffffff,69,19.44,19.44,67742499.9921875,30654.328045707276,1758492949138,Synapse54,1758492949138,Synapse54
11,53530 (Darlington),Lafayette County,Wisconsin,86275aa4fffffff,388,16.5,16.5,67731250.00390625,30653.12759119026,1758492949138,Synapse54,1758492949138,Synapse54
12,54971 (Ripon),Fond du Lac County,Wisconsin,86275c31fffffff,26,16.15,16.15,72492500.0078125,31709.722121362658,1758492949138,Synapse54,1758492949138,Synapse54
13,53530 (Darlington),Lafayette County,Wisconsin,86275aa57ffffff,20,14.93,14.93,67906250.0,30695.49414031945,1758492949138,Synapse54,1758492949138,Synapse54
14,54615 (Black River Falls),Jackson County,Wisconsin,8627516dfffffff,1,12.5,12.5,73679999.9921875,31968.584316048415,1758492949138,Synapse54,1758492949138,Synapse54
15,53530 (Darlington),Lafayette County,Wisconsin,86275aa5fffffff,22,14.77,14.77,67679999.99609375,30647.731748278067,1758492949138,Synapse54,1758492949138,Synapse54
16,53566 (Monroe),Green County,Wisconsin,862758657ffffff,57,19.66,19.66,67994999.9921875,30713.834262286822,1758492949138,Synapse54,1758492949138,Synapse54
17,53565 (Mineral Point),Lafayette County,Wisconsin,86275aa67ffffff,28,15.05,15.05,68330000.0,30788.46795845648,1758492949138,Synapse54,1758492949138,Synapse54
18,54904 (Oshkosh),Winnebago County,Wisconsin,86275c327ffffff,110,19.33,19.33,72492500.00390625,31708.0539298511,1758492949138,Synapse54,1758492949138,Synapse54
19,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,38,19.49,19.49,71274999.9921875,31443.232471987707,1758492949138,Synapse54,1758492949138,Synapse54
20,53530 (Darlington),Lafayette County,Wisconsin,86275aa6fffffff,38,15.45,15.45,67927500.0,30698.078826144472,1758492949138,Synapse54,1758492949138,Synapse54
21,54436 (Granton),Clark County,Wisconsin,8627516e7ffffff,22,15.07,15.07,74150000.00390625,32068.419887338947,1758492949138,Synapse54,1758492949138,Synapse54
22,53818 (Platteville),Lafayette County,Wisconsin,86275aaf7ffffff,58,15.18,15.18,68037500.00390625,30721.35718802003,1758492949138,Synapse54,1758492949138,Synapse54
23,53565 (Mineral Point),Lafayette County,Wisconsin,86275aa77ffffff,16,15.09,15.09,67927500.0,30699.609541198297,1758492949138,Synapse54,1758492949138,Synapse54
24,53566 (Monroe),Green County,Wisconsin,86275865fffffff,219,17.48,17.48,67995000.0078125,30713.834262286822,1758492949138,Synapse54,1758492949138,Synapse54
25,54904 (Oshkosh),Winnebago County,Wisconsin,86275c32fffffff,98,18.46,18.46,72517500.0,31712.9765235207,1758492949138,Synapse54,1758492949138,Synapse54
26,54466 (Pittsville),Clark County,Wisconsin,8627516efffffff,5,14.71,14.71,73708750.0,31973.01359717811,1758492949138,Synapse54,1758492949138,Synapse54
27,53570 (Monticello),Green County,Wisconsin,862758667ffffff,34,19.1,19.1,68347499.99609375,30791.6106433545,1758492949138,Synapse54,1758492949138,Synapse54
28,54964 (Pickett),Winnebago County,Wisconsin,86275c337ffffff,74,16.55,16.55,72931249.9921875,31802.923673920188,1758492949138,Synapse54,1758492949138,Synapse54
