OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22094A_B,MP22094A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47240 (Greensburg),Decatur County,Indiana,86266c88fffffff,27,14.92,14.92,58333749.99609375,28459.407456448844,1758492970247,Synapse54,1758492970247,Synapse54
2,47909 (Lafayette),Tippecanoe County,Indiana,862661d2fffffff,113,20.43,20.43,60933750.00390625,29083.26206076716,1758492970247,Synapse54,1758492970247,Synapse54
3,47246 (Hope),Bartholomew County,Indiana,86266c897ffffff,393,18.88,18.88,58512499.99609375,28499.75726760836,1758492970247,Synapse54,1758492970247,Synapse54
4,46173 (Rushville),Rush County,Indiana,862a922d7ffffff,59,15.69,15.69,58889999.99609375,28592.346491867465,1758492970247,Synapse54,1758492970247,Synapse54
5,47909 (Lafayette),Tippecanoe County,Indiana,862661d37ffffff,355,19.84,19.84,61282500.00390625,29170.529051122405,1758492970247,Synapse54,1758492970247,Synapse54
6,47246 (Hope),Bartholomew County,Indiana,86266c89fffffff,113,17.04,17.04,58122500.0,28412.92234060173,1758492970247,Synapse54,1758492970247,Synapse54
7,47955 (Linden),Montgomery County,Indiana,862661d47ffffff,23,19.49,19.49,60560000.0,28995.79170828917,1758492970247,Synapse54,1758492970247,Synapse54
8,47118 (English),Perry County,Indiana,86266852fffffff,42,15.56,15.56,55130000.00390625,27677.539064870278,1758492970247,Synapse54,1758492970247,Synapse54
9,47240 (Greensburg),Decatur County,Indiana,86266c8a7ffffff,54,15.13,15.13,58462500.0,28491.917414540392,1758492970247,Synapse54,1758492970247,Synapse54
10,46996 (Winamac),Pulaski County,Indiana,862665c17ffffff,34,15.11,15.11,63776250.00390625,29749.312349360196,1758492970247,Synapse54,1758492970247,Synapse54
11,47940 (Darlington),Montgomery County,Indiana,862661d4fffffff,55,16.42,16.42,60631249.9921875,29015.887144308756,1758492970247,Synapse54,1758492970247,Synapse54
12,47240 (Greensburg),Decatur County,Indiana,86266c8afffffff,48,15.14,15.14,58251249.99609375,28439.50979956162,1758492970247,Synapse54,1758492970247,Synapse54
13,46996 (Winamac),Pulaski County,Indiana,862665c1fffffff,73,16.29,16.29,63481250.00390625,29682.24037223205,1758492970247,Synapse54,1758492970247,Synapse54
14,47955 (Linden),Montgomery County,Indiana,862661d57ffffff,35,17.77,17.77,60933750.00390625,29083.26206076716,1758492970247,Synapse54,1758492970247,Synapse54
15,47246 (Hope),Bartholomew County,Indiana,86266c8b7ffffff,25,17.48,17.48,58518750.0078125,28506.670491241584,1758492970247,Synapse54,1758492970247,Synapse54
16,47024 (Laurel),Franklin County,Indiana,862a922dfffffff,55,17.86,17.86,58890000.0,28592.346491867465,1758492970247,Synapse54,1758492970247,Synapse54
17,47933 (Crawfordsville),Montgomery County,Indiana,862661d5fffffff,45,19.74,19.74,60590000.0,29004.43035273946,1758492970247,Synapse54,1758492970247,Synapse54
18,47283 (Westport),Decatur County,Indiana,86266c8c7ffffff,241,16.17,16.17,58097500.00390625,28399.41369242796,1758492970247,Synapse54,1758492970247,Synapse54
19,47513 (Birdseye),Dubois County,Indiana,862668537ffffff,102,16.09,16.09,55430000.0,27746.60530853269,1758492970247,Synapse54,1758492970247,Synapse54
20,42351 (Lewisport),Hancock County,Kentucky,86266ab07ffffff,111,16.35,16.35,55482500.0,27764.68521258142,1758492970247,Synapse54,1758492970247,Synapse54
21,47930 (Clarks Hill),Tippecanoe County,Indiana,862661d67ffffff,87,16.7,16.7,60933750.0,29083.26206076716,1758492970247,Synapse54,1758492970247,Synapse54
22,47265 (North Vernon),Jennings County,Indiana,86266c8cfffffff,24,15.89,15.89,57887499.99609375,28352.763178672885,1758492970247,Synapse54,1758492970247,Synapse54
23,46960 (Monterey),Starke County,Indiana,862665c27ffffff,74,15.58,15.58,63996250.00390625,29801.39858945099,1758492970247,Synapse54,1758492970247,Synapse54
24,46035 (Colfax),Montgomery County,Indiana,862661d6fffffff,29,17.26,17.26,60773750.0,29042.69802593955,1758492970247,Synapse54,1758492970247,Synapse54
25,47283 (Westport),Decatur County,Indiana,86266c8d7ffffff,33,15.42,15.42,58097500.0,28399.41369242796,1758492970247,Synapse54,1758492970247,Synapse54
26,47283 (Westport),Decatur County,Indiana,86266c8dfffffff,51,15.18,15.18,57887500.00390625,28352.763178672885,1758492970247,Synapse54,1758492970247,Synapse54
27,47240 (Greensburg),Decatur County,Indiana,86266c8e7ffffff,60,15.04,15.04,58282499.99609375,28446.45344443618,1758492970247,Synapse54,1758492970247,Synapse54
28,47223 (Butlerville),Jennings County,Indiana,86266c8efffffff,30,15.63,15.63,58128750.0,28406.357337302525,1758492970247,Synapse54,1758492970247,Synapse54
29,47240 (Greensburg),Decatur County,Indiana,86266c8f7ffffff,51,14.96,14.96,58097500.00390625,28399.41369242796,1758492970247,Synapse54,1758492970247,Synapse54
30,47240 (Greensburg),Decatur County,Indiana,86266c90fffffff,25,18.94,18.94,58890000.0078125,28592.346491867465,1758492970247,Synapse54,1758492970247,Synapse54
31,47240 (Greensburg),Decatur County,Indiana,86266c91fffffff,49,17.75,17.75,59013749.9921875,28625.756295137857,1758492970247,Synapse54,1758492970247,Synapse54
32,47240 (Greensburg),Franklin County,Indiana,86266c947ffffff,54,17.14,17.14,58597499.9921875,28526.03789548925,1758492970247,Synapse54,1758492970247,Synapse54
33,47006 (Batesville),Franklin County,Indiana,86266c94fffffff,593,18.95,18.95,58597499.99609375,28526.037895489248,1758492970247,Synapse54,1758492970247,Synapse54
34,47240 (Greensburg),Decatur County,Indiana,86266c957ffffff,73,19.62,19.62,58548750.0,28505.341289680247,1758492970247,Synapse54,1758492970247,Synapse54
35,47240 (Greensburg),Decatur County,Indiana,86266c95fffffff,84,15.47,15.47,58128749.99609375,28406.357337302525,1758492970247,Synapse54,1758492970247,Synapse54
36,47036 (Oldenburg),Franklin County,Indiana,86266c967ffffff,68,18.48,18.48,58872500.0,28587.608351960007,1758492970247,Synapse54,1758492970247,Synapse54
37,47006 (Batesville),Franklin County,Indiana,86266c96fffffff,373,17.82,17.82,58597500.00390625,28526.037895489248,1758492970247,Synapse54,1758492970247,Synapse54
38,47240 (Greensburg),Decatur County,Indiana,86266c977ffffff,210,19.53,19.53,58606250.0,28526.019648407942,1758492970247,Synapse54,1758492970247,Synapse54
39,47240 (Greensburg),Decatur County,Indiana,86266c98fffffff,46,15.59,15.59,58548750.00390625,28513.18602002084,1758492970247,Synapse54,1758492970247,Synapse54
40,47272 (Saint Paul),Shelby County,Indiana,86266c99fffffff,26,15.12,15.12,58647500.0,28539.180449333136,1758492970247,Synapse54,1758492970247,Synapse54
41,47240 (Greensburg),Decatur County,Indiana,86266c9afffffff,56,17.28,17.28,58827500.00390625,28578.738211785254,1758492970247,Synapse54,1758492970247,Synapse54
42,47250 (Madison),Ripley County,Indiana,86266ca07ffffff,42,15.27,15.27,57708750.0,28312.97377472427,1758492970247,Synapse54,1758492970247,Synapse54
43,47224 (Canaan),Jefferson County,Indiana,86266ca0fffffff,17,15.18,15.18,57372500.0,28225.555241653026,1758492970247,Synapse54,1758492970247,Synapse54
44,47250 (Madison),Ripley County,Indiana,86266ca17ffffff,26,14.94,14.94,57372500.0,28225.555241653026,1758492970247,Synapse54,1758492970247,Synapse54
45,46131 (Franklin),Shelby County,Indiana,86266cd0fffffff,37,15.16,15.16,58724999.9921875,28560.14872648322,1758492970247,Synapse54,1758492970247,Synapse54
46,47250 (Madison),Jefferson County,Indiana,86266ca1fffffff,29,15.1,15.1,57412499.99609375,28239.31553302094,1758492970247,Synapse54,1758492970247,Synapse54
47,47042 (Versailles),Ripley County,Indiana,86266ca27ffffff,56,16.57,16.57,57372500.0,28225.555241653026,1758492970247,Synapse54,1758492970247,Synapse54
48,47017 (Cross Plains),Ripley County,Indiana,86266ca2fffffff,83,19.53,19.53,57292500.0,28205.990933116926,1758492970247,Synapse54,1758492970247,Synapse54
49,47042 (Versailles),Ripley County,Indiana,86266ca37ffffff,56,14.97,14.97,57918749.99609375,28359.624288479343,1758492970247,Synapse54,1758492970247,Synapse54
50,47043 (Vevay),Switzerland County,Indiana,86266ca47ffffff,41,14.96,14.96,57292500.0,28205.990933116926,1758492970247,Synapse54,1758492970247,Synapse54
51,47023 (Holton),Ripley County,Indiana,86266caafffffff,0,0.0,0.0,57316250.0,28213.51252584683,1758492970247,Synapse54,1758492970247,Synapse54
52,47043 (Vevay),Switzerland County,Indiana,86266ca4fffffff,28,15.38,15.38,57093750.0,28154.081994990775,1758492970247,Synapse54,1758492970247,Synapse54
53,47224 (Canaan),Jefferson County,Indiana,86266ca57ffffff,42,14.89,14.89,57292500.00390625,28205.99093311693,1758492970247,Synapse54,1758492970247,Synapse54
54,47250 (Madison),Switzerland County,Indiana,86266ca5fffffff,50,15.06,15.06,56834999.99609375,28093.9982052701,1758492970247,Synapse54,1758492970247,Synapse54
55,47043 (Vevay),Switzerland County,Indiana,86266ca67ffffff,45,15.1,15.1,57292500.0,28205.99093311693,1758492970247,Synapse54,1758492970247,Synapse54
56,47011 (Bennington),Switzerland County,Indiana,86266ca6fffffff,38,15.64,15.64,57172500.0,28173.56483394154,1758492970247,Synapse54,1758492970247,Synapse54
57,47224 (Canaan),Switzerland County,Indiana,86266ca77ffffff,53,14.97,14.97,57292499.99609375,28205.990933116926,1758492970247,Synapse54,1758492970247,Synapse54
58,47231 (Dupont),Jennings County,Indiana,86266ca87ffffff,23,15.75,15.75,57243750.0,28193.056522580417,1758492970247,Synapse54,1758492970247,Synapse54
59,47250 (Madison),Jefferson County,Indiana,86266ca8fffffff,21,15.56,15.56,57101249.99609375,28159.58399058756,1758492970247,Synapse54,1758492970247,Synapse54
60,47265 (North Vernon),Jennings County,Indiana,86266ca97ffffff,104,17.81,17.81,57493750.0,28258.955636888186,1758492970247,Synapse54,1758492970247,Synapse54
61,47231 (Dupont),Jefferson County,Indiana,86266ca9fffffff,80,15.72,15.72,57101250.00390625,28159.583990587562,1758492970247,Synapse54,1758492970247,Synapse54
62,47023 (Holton),Ripley County,Indiana,86266caa7ffffff,5,15.15,15.15,57735000.0,28312.54979551783,1758492970247,Synapse54,1758492970247,Synapse54
63,46106 (Bargersville),Johnson County,Indiana,86266cdb7ffffff,1600,20.92,20.92,59118749.99609375,28647.22966032144,1758492970247,Synapse54,1758492970247,Synapse54
64,46567 (Syracuse),Kosciusko County,Indiana,86274b207ffffff,353,15.92,15.92,64823749.9921875,29992.00289257546,1758492970247,Synapse54,1758492970247,Synapse54
65,47861 (Merom),Sullivan County,Indiana,86266e52fffffff,88,16.45,16.45,57192500.00390625,28182.841704016144,1758492970247,Synapse54,1758492970247,Synapse54
66,46562 (Pierceton),Noble County,Indiana,86274b20fffffff,103,14.95,14.95,64660000.0,29951.869056491672,1758492970247,Synapse54,1758492970247,Synapse54
67,47838 (Carlisle),Sullivan County,Indiana,86266e547ffffff,6,15.0,15.0,56914999.9921875,28116.325300720167,1758492970247,Synapse54,1758492970247,Synapse54
68,46567 (Syracuse),Kosciusko County,Indiana,86274b217ffffff,439,15.61,15.61,64773750.00390625,29979.983070586673,1758492970247,Synapse54,1758492970247,Synapse54
69,62427 (Flat Rock),Crawford County,Illinois,86266e55fffffff,9,14.29,14.29,56497500.0078125,28016.827115830885,1758492970247,Synapse54,1758492970247,Synapse54
70,46555 (North Webster),Kosciusko County,Indiana,86274b21fffffff,229,15.12,15.12,64578750.00390625,29932.75538639727,1758492970247,Synapse54,1758492970247,Synapse54
71,62451 (Palestine),Crawford County,Illinois,86266e577ffffff,14,15.91,15.91,57096250.0,28162.522995652904,1758492970247,Synapse54,1758492970247,Synapse54
72,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,937,21.42,21.42,64185000.0,29844.258457732598,1758492970247,Synapse54,1758492970247,Synapse54
73,46373 (Saint John),Lake County,Indiana,8626640d7ffffff,2407,19.86,19.86,64184999.99609375,29844.258457732598,1758492970247,Synapse54,1758492970247,Synapse54
74,46303 (Cedar Lake),Lake County,Indiana,8626640dfffffff,2422,19.1,19.1,64212500.0,29850.08063761158,1758492970247,Synapse54,1758492970247,Synapse54
75,46307 (Crown Point),Lake County,Indiana,8626640efffffff,1631,19.98,19.98,64406249.99609375,29896.186740445817,1758492970247,Synapse54,1758492970247,Synapse54
76,46392 (Wheatfield),Jasper County,Indiana,862664207ffffff,359,18.83,18.83,63894999.9921875,29778.481925557542,1758492970247,Synapse54,1758492970247,Synapse54
77,46392 (Wheatfield),Jasper County,Indiana,86266420fffffff,145,17.26,17.26,63456250.0,29679.08223842066,1758492970247,Synapse54,1758492970247,Synapse54
78,46310 (Demotte),Jasper County,Indiana,862664217ffffff,790,18.67,18.67,63736250.0078125,29741.086358816698,1758492970247,Synapse54,1758492970247,Synapse54
79,46732 (Cromwell),Noble County,Indiana,86274b22fffffff,93,15.45,15.45,64660000.0,29951.869056491672,1758492970247,Synapse54,1758492970247,Synapse54
80,47978 (Rensselaer),Jasper County,Indiana,86266421fffffff,256,19.39,19.39,63600000.0,29705.852771109985,1758492970247,Synapse54,1758492970247,Synapse54
81,47524 (Decker),Knox County,Indiana,86266e687ffffff,3,16.67,16.67,56461249.9921875,28004.08617233338,1758492970247,Synapse54,1758492970247,Synapse54
82,46392 (Wheatfield),Jasper County,Indiana,862664227ffffff,29,15.51,15.51,63895000.00390625,29778.481925557542,1758492970247,Synapse54,1758492970247,Synapse54
83,46725 (Columbia City),Noble County,Indiana,86274b247ffffff,230,15.38,15.38,64220000.0,29852.782909799484,1758492970247,Synapse54,1758492970247,Synapse54
84,46392 (Wheatfield),Jasper County,Indiana,86266422fffffff,245,15.84,15.84,63957500.0,29793.014641529917,1758492970247,Synapse54,1758492970247,Synapse54
85,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,10,15.63,15.63,56726250.0,28069.64525783052,1758492970247,Synapse54,1758492970247,Synapse54
86,46725 (Columbia City),Whitley County,Indiana,86274b24fffffff,220,18.5,18.5,64440000.0,29904.881372756154,1758492970247,Synapse54,1758492970247,Synapse54
87,46392 (Wheatfield),Jasper County,Indiana,862664237ffffff,93,15.92,15.92,63764999.99609375,29747.077284832478,1758492970247,Synapse54,1758492970247,Synapse54
88,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,49,15.12,15.12,56461250.0,28004.086172333384,1758492970247,Synapse54,1758492970247,Synapse54
89,46392 (Wheatfield),Jasper County,Indiana,862664247ffffff,39,15.12,15.12,63292500.00390625,29637.914259900805,1758492970247,Synapse54,1758492970247,Synapse54
90,46764 (Larwill),Whitley County,Indiana,86274b257ffffff,61,15.02,15.02,64273750.0,29865.783071157584,1758492970247,Synapse54,1758492970247,Synapse54
