OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22094A_B,MP22094A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62367 (Plymouth),Hancock County,Illinois,862671c9fffffff,11,15.07,15.07,60732500.0,29033.71718269738,1758492990665,Synapse54,1758492990665,Synapse54
2,62075 (Nokomis),Montgomery County,Illinois,86264414fffffff,20,16.26,16.26,58220000.00390625,28436.37306462988,1758492990665,Synapse54,1758492990665,Synapse54
3,62440 (Lerna),Cumberland County,Illinois,862663777ffffff,43,16.41,16.41,57927499.9921875,28364.967404600062,1758492990665,Synapse54,1758492990665,Synapse54
4,61420 (Blandinsville),Hancock County,Illinois,862671ca7ffffff,7,14.58,14.58,60732499.99609375,29033.71718269738,1758492990665,Synapse54,1758492990665,Synapse54
5,62546 (Morrisonville),Christian County,Illinois,862644157ffffff,5,13.89,13.89,58525000.0,28503.3879707075,1758492990665,Synapse54,1758492990665,Synapse54
6,62326 (Colchester),McDonough County,Illinois,862671cafffffff,13,15.12,15.12,60732500.0,29033.71718269738,1758492990665,Synapse54,1758492990665,Synapse54
7,61957 (Windsor),Shelby County,Illinois,862663787ffffff,19,16.67,16.67,57938750.0078125,28370.31998115247,1758492990665,Synapse54,1758492990665,Synapse54
8,61450 (La Harpe),Hancock County,Illinois,862671cb7ffffff,11,14.67,14.67,60696249.99609375,29033.06580863965,1758492990665,Synapse54,1758492990665,Synapse54
9,62367 (Plymouth),McDonough County,Illinois,862671cc7ffffff,16,15.84,15.84,60732500.0,29033.71718269738,1758492990665,Synapse54,1758492990665,Synapse54
10,62075 (Nokomis),Montgomery County,Illinois,86264415fffffff,11,15.49,15.49,58391250.0,28480.778939345248,1758492990665,Synapse54,1758492990665,Synapse54
11,62447 (Neoga),Shelby County,Illinois,86266378fffffff,25,17.99,17.99,58125000.00390625,28409.96065157448,1758492990665,Synapse54,1758492990665,Synapse54
12,62557 (Pana),Christian County,Illinois,86264416fffffff,13,14.94,14.94,58525000.0,28503.3879707075,1758492990665,Synapse54,1758492990665,Synapse54
13,62367 (Plymouth),Schuyler County,Illinois,862671ccfffffff,6,14.29,14.29,60382500.0,28949.746992381653,1758492990665,Synapse54,1758492990665,Synapse54
14,62465 (Strasburg),Shelby County,Illinois,862663797ffffff,15,20.0,20.0,58327499.99609375,28460.252669197667,1758492990665,Synapse54,1758492990665,Synapse54
15,62367 (Plymouth),McDonough County,Illinois,862671cd7ffffff,20,15.5,15.5,60522500.00390625,28988.140475302018,1758492990665,Synapse54,1758492990665,Synapse54
16,62533 (Farmersville),Montgomery County,Illinois,86264418fffffff,11,20.0,20.0,58680000.0,28544.80842268175,1758492990665,Synapse54,1758492990665,Synapse54
17,62367 (Plymouth),Schuyler County,Illinois,862671cdfffffff,12,15.38,15.38,60522500.0,28988.140475302018,1758492990665,Synapse54,1758492990665,Synapse54
18,62463 (Stewardson),Shelby County,Illinois,86266379fffffff,81,15.88,15.88,58088750.0,28404.504724739425,1758492990665,Synapse54,1758492990665,Synapse54
19,62326 (Colchester),McDonough County,Illinois,862671ce7ffffff,27,16.17,16.17,60522500.0,28988.140475302018,1758492990665,Synapse54,1758492990665,Synapse54
20,62572 (Waggoner),Montgomery County,Illinois,86264419fffffff,72,16.51,16.51,58679999.99609375,28544.80842268175,1758492990665,Synapse54,1758492990665,Synapse54
