OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22090A_B,MP22090A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,61501 (Astoria),Fulton County,Illinois,862671167ffffff,14,20.59,20.59,59913749.99609375,28840.039357259953,1758493007798,Synapse54,1758493007798,Synapse54
2,62305 (Quincy),Adams County,Illinois,862673b1fffffff,164,23.13,23.13,60440000.0,28965.199871443892,1758493007798,Synapse54,1758493007798,Synapse54
3,62558 (Pawnee),Christian County,Illinois,862644137ffffff,8,22.22,22.22,58971250.0,28614.682482992925,1758493007798,Synapse54,1758493007798,Synapse54
4,62881 (Salem),Marion County,Illinois,86264541fffffff,166,22.19,22.19,57405000.0,28231.015249934626,1758493007798,Synapse54,1758493007798,Synapse54
5,62867 (New Haven),White County,Illinois,86266a59fffffff,81,21.32,21.32,55967500.0,27877.211257272123,1758493007798,Synapse54,1758493007798,Synapse54
6,61544 (London Mills),Knox County,Illinois,862675297ffffff,19,21.35,21.35,61342500.0078125,29180.624733079865,1758493007798,Synapse54,1758493007798,Synapse54
7,62338 (Fowler),Adams County,Illinois,862673b27ffffff,45,20.64,20.64,60441250.0,28965.202555935575,1758493007798,Synapse54,1758493007798,Synapse54
8,62617 (Bath),Mason County,Illinois,86267116fffffff,17,21.79,21.79,60071249.99609375,28881.61386217384,1758493007798,Synapse54,1758493007798,Synapse54
9,62821 (Carmi),White County,Illinois,86266a5a7ffffff,8,20.51,20.51,56152500.0,27919.203273482235,1758493007798,Synapse54,1758493007798,Synapse54
10,62910 (Brookport),Massac County,Illinois,86264121fffffff,62,21.83,21.83,55938750.00390625,27862.47750898574,1758493007798,Synapse54,1758493007798,Synapse54
11,62821 (Carmi),White County,Illinois,86266a5b7ffffff,6,21.43,21.43,56134999.99609375,27915.620822769335,1758493007798,Synapse54,1758493007798,Synapse54
12,62881 (Salem),Marion County,Illinois,862645427ffffff,352,23.78,23.78,57694999.99609375,28300.956062934554,1758493007798,Synapse54,1758493007798,Synapse54
13,62062 (Maryville),Madison County,Illinois,862640c27ffffff,2662,21.5,21.5,58388750.0,28465.696595062454,1758493007798,Synapse54,1758493007798,Synapse54
14,61432 (Fairview),Fulton County,Illinois,86267529fffffff,12,20.34,20.34,61531250.00390625,29231.439050338835,1758493007798,Synapse54,1758493007798,Synapse54
15,62555 (Owaneco),Christian County,Illinois,862644167ffffff,16,20.25,20.25,58424999.99609375,28481.30249955349,1758493007798,Synapse54,1758493007798,Synapse54
