OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22090A_B,MP22090A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47639 (Haubstadt),Vanderburgh County,Indiana,86266ac0fffffff,143,22.14,22.14,56358750.00390625,27975.129486291324,1758493026946,Synapse54,1758493026946,Synapse54
2,47325 (Brownsville),Union County,Indiana,862a92377ffffff,48,20.43,20.43,59802499.99609375,28813.284893698816,1758493026946,Synapse54,1758493026946,Synapse54
3,47633 (Poseyville),Posey County,Indiana,86266ac17ffffff,215,21.44,21.44,56358749.99609375,27976.233321780517,1758493026946,Synapse54,1758493026946,Synapse54
4,47462 (Springville),Lawrence County,Indiana,86266eb27ffffff,460,21.57,21.57,57102500.00390625,28161.158121433204,1758493026946,Synapse54,1758493026946,Synapse54
5,47633 (Poseyville),Posey County,Indiana,86266ac1fffffff,57,20.58,20.58,56100000.0,27911.858689713823,1758493026946,Synapse54,1758493026946,Synapse54
6,46127 (Falmouth),Fayette County,Indiana,862a92387ffffff,29,21.32,21.32,59573750.0,28758.852799559143,1758493026946,Synapse54,1758493026946,Synapse54
7,47665 (Owensville),Gibson County,Indiana,86266ac27ffffff,32,22.54,22.54,56358750.0,27976.233321780517,1758493026946,Synapse54,1758493026946,Synapse54
8,47421 (Bedford),Lawrence County,Indiana,86266eb2fffffff,591,21.98,21.98,56893750.00390625,28108.849644486923,1758493026946,Synapse54,1758493026946,Synapse54
9,47639 (Haubstadt),Gibson County,Indiana,86266ac2fffffff,39,23.49,23.49,55902500.0,27861.085159891692,1758493026946,Synapse54,1758493026946,Synapse54
10,47665 (Owensville),Gibson County,Indiana,86266ac37ffffff,93,22.63,22.63,56172500.00390625,27934.48640691723,1758493026946,Synapse54,1758493026946,Synapse54
11,47331 (Connersville),Fayette County,Indiana,862a9238fffffff,44,20.56,20.56,59525000.0078125,28746.95882279498,1758493026946,Synapse54,1758493026946,Synapse54
12,47720 (Evansville),Vanderburgh County,Indiana,86266ac47ffffff,1365,22.78,22.78,56005000.0,27890.50745898393,1758493026946,Synapse54,1758493026946,Synapse54
13,47462 (Springville),Lawrence County,Indiana,86266eb37ffffff,130,22.61,22.61,57102500.0078125,28161.158121433204,1758493026946,Synapse54,1758493026946,Synapse54
14,47711 (Evansville),Vanderburgh County,Indiana,86266ac4fffffff,3875,21.53,21.53,55807499.99609375,27839.733929161797,1758493026946,Synapse54,1758493026946,Synapse54
15,46173 (Rushville),Rush County,Indiana,862a92397ffffff,27,22.13,22.13,59575000.0,28759.097500517706,1758493026946,Synapse54,1758493026946,Synapse54
16,47446 (Mitchell),Lawrence County,Indiana,86266eb47ffffff,170,20.88,20.88,56977500.0,28126.96851393419,1758493026946,Synapse54,1758493026946,Synapse54
17,47720 (Evansville),Vanderburgh County,Indiana,86266ac57ffffff,439,23.17,23.17,55807500.00390625,27839.733929161797,1758493026946,Synapse54,1758493026946,Synapse54
18,46127 (Falmouth),Rush County,Indiana,862a9239fffffff,35,21.74,21.74,59606250.0,28766.6285725829,1758493026946,Synapse54,1758493026946,Synapse54
19,47720 (Evansville),Vanderburgh County,Indiana,86266ac5fffffff,1250,20.15,20.15,56005000.0,27890.50745898393,1758493026946,Synapse54,1758493026946,Synapse54
