OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22090A_B,MP22090A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54657 (Steuben),Crawford County,Wisconsin,86275a897ffffff,24,20.51,20.51,69135000.0078125,30972.40762678758,1758493044114,Synapse54,1758493044114,Synapse54
2,53826 (Wauzeka),Crawford County,Wisconsin,86275a89fffffff,30,20.41,20.41,69232499.99609375,30988.645731436693,1758493044114,Synapse54,1758493044114,Synapse54
3,53805 (Boscobel),Crawford County,Wisconsin,86275a8a7ffffff,39,20.21,20.21,69431249.99609375,31033.183623637695,1758493044114,Synapse54,1758493044114,Synapse54
4,53805 (Boscobel),Grant County,Wisconsin,86275a8afffffff,541,21.58,21.58,69412500.0078125,31029.57653134283,1758493044114,Synapse54,1758493044114,Synapse54
5,54631 (Gays Mills),Crawford County,Wisconsin,86275a8b7ffffff,23,20.54,20.54,69592500.0,31072.284093702867,1758493044114,Synapse54,1758493044114,Synapse54
6,53809 (Fennimore),Grant County,Wisconsin,86275a8c7ffffff,41,21.35,21.35,68901249.99609375,30916.175836182407,1758493044114,Synapse54,1758493044114,Synapse54
7,53809 (Fennimore),Grant County,Wisconsin,86275a8cfffffff,28,21.54,21.54,68921250.0,30919.966320034335,1758493044114,Synapse54,1758493044114,Synapse54
8,53805 (Boscobel),Grant County,Wisconsin,86275a8d7ffffff,31,22.46,22.46,69099999.9921875,30962.646777540205,1758493044114,Synapse54,1758493044114,Synapse54
9,53809 (Fennimore),Grant County,Wisconsin,86275a8dfffffff,430,22.06,22.06,68871250.00390625,30914.725835034795,1758493044114,Synapse54,1758493044114,Synapse54
10,53805 (Boscobel),Grant County,Wisconsin,86275a8e7ffffff,16,20.25,20.25,69100000.0078125,30962.64677754021,1758493044114,Synapse54,1758493044114,Synapse54
11,53569 (Montfort),Grant County,Wisconsin,86275a8efffffff,19,20.65,20.65,68817500.0,30897.551974475904,1758493044114,Synapse54,1758493044114,Synapse54
12,53919 (Brandon),Fond du Lac County,Wisconsin,86275c21fffffff,191,20.69,20.69,71822500.0,31563.33440464347,1758493044114,Synapse54,1758493044114,Synapse54
13,53805 (Boscobel),Grant County,Wisconsin,86275a8f7ffffff,26,21.31,21.31,68901250.0,30916.175836182407,1758493044114,Synapse54,1758493044114,Synapse54
14,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758ad7ffffff,90,21.23,21.23,68948750.0,30929.678856878054,1758493044114,Synapse54,1758493044114,Synapse54
15,53581 (Richland Center),Richland County,Wisconsin,86275a907ffffff,67,20.49,20.49,69955000.0,31153.698350321087,1758493044114,Synapse54,1758493044114,Synapse54
16,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758adfffffff,35,21.08,21.08,68820000.0,30899.444609658494,1758493044114,Synapse54,1758493044114,Synapse54
17,53581 (Richland Center),Richland County,Wisconsin,86275a90fffffff,30,20.69,20.69,69953749.99609375,31153.72492606073,1758493044114,Synapse54,1758493044114,Synapse54
18,54655 (Soldiers Grove),Richland County,Wisconsin,86275a917ffffff,37,20.67,20.67,70060000.0,31175.4395216266,1758493044114,Synapse54,1758493044114,Synapse54
19,54425 (Dorchester),Clark County,Wisconsin,86275156fffffff,53,21.63,21.63,75885000.0078125,32439.320422262143,1758493044114,Synapse54,1758493044114,Synapse54
20,53518 (Blue River),Richland County,Wisconsin,86275a91fffffff,24,20.51,20.51,69755000.0,31109.18703385973,1758493044114,Synapse54,1758493044114,Synapse54
21,53549 (Jefferson),Jefferson County,Wisconsin,862758ae7ffffff,205,21.47,21.47,69047500.0,30947.278171270955,1758493044114,Synapse54,1758493044114,Synapse54
