OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22091A_B,MP22091A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54745 (Holcombe),Chippewa County,Wisconsin,8627502efffffff,21,22.34,22.34,76718750.0,32616.433838023484,1758493063690,Synapse54,1758493063690,Synapse54
2,54745 (Holcombe),Chippewa County,Wisconsin,8627502f7ffffff,140,22.8,22.8,77092500.0,32699.395950725535,1758493063690,Synapse54,1758493063690,Synapse54
3,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,245,31.01,31.01,74100000.0,32057.410923822383,1758493063690,Synapse54,1758493063690,Synapse54
4,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,108,30.86,30.86,74107500.0,32061.344355937115,1758493063690,Synapse54,1758493063690,Synapse54
5,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,18,21.69,21.69,76308749.99609375,32529.43878406359,1758493063690,Synapse54,1758493063690,Synapse54
6,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,91,25.14,25.14,73583750.0,31948.21241793928,1758493063690,Synapse54,1758493063690,Synapse54
7,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,58,21.17,21.17,76627500.0078125,32600.888954781985,1758493063690,Synapse54,1758493063690,Synapse54
8,55089 (Welch),Goodhue County,Minnesota,86262c877ffffff,101,28.69,28.69,74107500.0,32061.344355937115,1758493063690,Synapse54,1758493063690,Synapse54
9,54757 (New Auburn),Chippewa County,Wisconsin,86275066fffffff,16,21.62,21.62,76866250.0,32649.58786487351,1758493063690,Synapse54,1758493063690,Synapse54
10,55001 (Afton),Washington County,Minnesota,86262c907ffffff,263,30.9,30.9,74501249.99609375,32148.694562754463,1758493063690,Synapse54,1758493063690,Synapse54
11,54426 (Edgar),Marathon County,Wisconsin,862751007ffffff,43,20.98,20.98,75900000.0,32446.687947220435,1758493063690,Synapse54,1758493063690,Synapse54
12,54022 (River Falls),Pierce County,Wisconsin,86262c90fffffff,195,30.95,30.95,74628749.9921875,32174.764061378875,1758493063690,Synapse54,1758493063690,Synapse54
13,54426 (Edgar),Marathon County,Wisconsin,86275100fffffff,56,20.82,20.82,75712500.0,32404.09601267134,1758493063690,Synapse54,1758493063690,Synapse54
14,54615 (Black River Falls),Jackson County,Wisconsin,86275ec07ffffff,17,22.37,22.37,73248750.0078125,31871.26167611839,1758493063690,Synapse54,1758493063690,Synapse54
15,54016 (Hudson),St. Croix County,Wisconsin,86262c927ffffff,1048,33.31,33.31,74852500.0,32221.046062015346,1758493063690,Synapse54,1758493063690,Synapse54
16,54405 (Abbotsford),Marathon County,Wisconsin,862751017ffffff,57,21.03,21.03,75928750.01171875,32450.484695054773,1758493063690,Synapse54,1758493063690,Synapse54
17,54615 (Black River Falls),Jackson County,Wisconsin,86275ec0fffffff,39,22.16,22.16,72888750.0,31798.620286553603,1758493063690,Synapse54,1758493063690,Synapse54
18,54022 (River Falls),Pierce County,Wisconsin,86262c92fffffff,288,31.96,31.96,74661250.0,32177.363665644694,1758493063690,Synapse54,1758493063690,Synapse54
19,54421 (Colby),Marathon County,Wisconsin,86275101fffffff,31,21.09,21.09,75581250.0,32374.87817390246,1758493063690,Synapse54,1758493063690,Synapse54
20,53825 (Stitzer),Grant County,Wisconsin,86275a16fffffff,20,21.28,21.28,68392499.99609375,30804.70819017878,1758493063690,Synapse54,1758493063690,Synapse54
21,54615 (Black River Falls),Jackson County,Wisconsin,86275ec17ffffff,676,26.54,26.54,73435000.0,31913.936229935975,1758493063690,Synapse54,1758493063690,Synapse54
22,54411 (Athens),Marathon County,Wisconsin,862751027ffffff,62,21.02,21.02,76113750.0,32487.859304785983,1758493063690,Synapse54,1758493063690,Synapse54
23,53581 (Richland Center),Richland County,Wisconsin,86275a927ffffff,35,20.71,20.71,70060000.0,31179.348377823004,1758493063690,Synapse54,1758493063690,Synapse54
24,54615 (Black River Falls),Jackson County,Wisconsin,86275ec1fffffff,16,21.62,21.62,72977499.99609375,31817.590788524973,1758493063690,Synapse54,1758493063690,Synapse54
25,54615 (Black River Falls),Jackson County,Wisconsin,86275ec27ffffff,62,27.43,27.43,73454999.99609375,31920.44981775196,1758493063690,Synapse54,1758493063690,Synapse54
