OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22091A_B,MP22091A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46168 (Plainfield),Hendricks County,Indiana,862661aafffffff,3267,33.19,33.19,59669999.99609375,28780.45996666789,1758493082320,Synapse54,1758493082320,Synapse54
2,46123 (Avon),Hendricks County,Indiana,862661ab7ffffff,2481,29.76,29.76,59542500.0,28748.54218296143,1758493082320,Synapse54,1758493082320,Synapse54
3,47394 (Winchester),Randolph County,Indiana,862a9280fffffff,57,20.88,20.88,61402500.0078125,29193.097987633722,1758493082320,Synapse54,1758493082320,Synapse54
4,46113 (Camby),Morgan County,Indiana,862661ac7ffffff,1362,26.47,26.47,58961250.00390625,28613.924438050755,1758493082320,Synapse54,1758493082320,Synapse54
5,46039 (Forest),Clinton County,Indiana,86266528fffffff,35,24.48,24.48,61223750.00390625,29154.418388667294,1758493082320,Synapse54,1758493082320,Synapse54
6,46151 (Martinsville),Morgan County,Indiana,862661acfffffff,435,25.1,25.1,58961250.00390625,28613.92443805075,1758493082320,Synapse54,1758493082320,Synapse54
7,47380 (Ridgeville),Randolph County,Indiana,862a92817ffffff,43,23.37,23.37,61526250.0,29225.824580263812,1758493082320,Synapse54,1758493082320,Synapse54
8,46158 (Mooresville),Morgan County,Indiana,862661ad7ffffff,2318,26.88,26.88,59088750.0,28640.637857981317,1758493082320,Synapse54,1758493082320,Synapse54
9,47586 (Tell City),Perry County,Indiana,8626684c7ffffff,1660,26.17,26.17,55027500.0,27649.46886234566,1758493082320,Synapse54,1758493082320,Synapse54
10,46158 (Mooresville),Morgan County,Indiana,862661adfffffff,862,24.66,24.66,58961250.0,28613.924438050755,1758493082320,Synapse54,1758493082320,Synapse54
11,47340 (Farmland),Randolph County,Indiana,862a9281fffffff,49,22.48,22.48,61135000.00390625,29132.936821635092,1758493082320,Synapse54,1758493082320,Synapse54
12,46221 (Indianapolis),Marion County,Indiana,862661ae7ffffff,1560,30.53,30.53,59517499.99609375,28746.166600484154,1758493082320,Synapse54,1758493082320,Synapse54
13,47371 (Portland),Jay County,Indiana,862a92827ffffff,45,20.83,20.83,61526250.0,29225.824580263812,1758493082320,Synapse54,1758493082320,Synapse54
14,46113 (Camby),Marion County,Indiana,862661af7ffffff,3120,31.23,31.23,59388750.00390625,28713.8642541002,1758493082320,Synapse54,1758493082320,Synapse54
15,46041 (Frankfort),Clinton County,Indiana,862665297ffffff,50,24.75,24.75,61409999.99609375,29194.88556486596,1758493082320,Synapse54,1758493082320,Synapse54
16,46268 (Indianapolis),Marion County,Indiana,862661b17ffffff,7423,29.85,29.85,59887500.00390625,28833.530414727564,1758493082320,Synapse54,1758493082320,Synapse54
17,47520 (Cannelton),Perry County,Indiana,8626684cfffffff,581,23.05,23.05,55316249.99609375,27721.125179288098,1758493082320,Synapse54,1758493082320,Synapse54
18,46112 (Brownsburg),Hendricks County,Indiana,862661b87ffffff,6009,32.08,32.08,60045000.0,28873.648533370855,1758493082320,Synapse54,1758493082320,Synapse54
19,47380 (Ridgeville),Randolph County,Indiana,862a9282fffffff,45,20.83,20.83,61402500.0,29193.097987633722,1758493082320,Synapse54,1758493082320,Synapse54
20,46234 (Indianapolis),Hendricks County,Indiana,862661b8fffffff,7318,31.06,31.06,59857500.0,28827.054250019373,1758493082320,Synapse54,1758493082320,Synapse54
21,46057 (Michigantown),Clinton County,Indiana,86266529fffffff,111,21.26,21.26,61280000.0,29160.693505011342,1758493082320,Synapse54,1758493082320,Synapse54
22,46167 (Pittsboro),Hendricks County,Indiana,862661b97ffffff,3039,32.93,32.93,59813749.99609375,28815.59745845008,1758493082320,Synapse54,1758493082320,Synapse54
23,47371 (Portland),Jay County,Indiana,862a92837ffffff,37,21.26,21.26,61691250.0,29259.71405416492,1758493082320,Synapse54,1758493082320,Synapse54
24,42351 (Lewisport),Hancock County,Kentucky,8626684d7ffffff,54,23.18,23.18,55121250.0,27670.335210720517,1758493082320,Synapse54,1758493082320,Synapse54
