OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22091A_B,MP22091A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62330 (Dallas City),Hancock County,Illinois,862670347ffffff,14,22.22,22.22,60907500.00390625,29078.4267869232,1758493102106,Synapse54,1758493102106,Synapse54
2,62691 (Virginia),Cass County,Illinois,862671af7ffffff,1,50.0,50.0,59898750.0,28837.316249766,1758493102106,Synapse54,1758493102106,Synapse54
3,62049 (Hillsboro),Montgomery County,Illinois,862644777ffffff,33,21.29,21.29,58406250.0,28473.20411713629,1758493102106,Synapse54,1758493102106,Synapse54
4,62321 (Carthage),Hancock County,Illinois,86267034fffffff,13,21.31,21.31,60907500.00390625,29078.426786923203,1758493102106,Synapse54,1758493102106,Synapse54
5,60936 (Gibson City),Ford County,Illinois,8626604c7ffffff,781,27.35,27.35,61228749.99609375,29154.97504886842,1758493102106,Synapse54,1758493102106,Synapse54
6,62330 (Dallas City),Hancock County,Illinois,862670357ffffff,32,23.02,23.02,60907500.0,29078.426786923203,1758493102106,Synapse54,1758493102106,Synapse54
7,62571 (Tower Hill),Shelby County,Illinois,862644a07ffffff,21,20.79,20.79,58424999.99609375,28481.30249955349,1758493102106,Synapse54,1758493102106,Synapse54
8,62633 (Easton),Mason County,Illinois,862671b07ffffff,14,25.93,25.93,60203749.99609375,28911.077251376308,1758493102106,Synapse54,1758493102106,Synapse54
9,62321 (Carthage),Hancock County,Illinois,86267035fffffff,21,20.59,20.59,60907499.99609375,29078.4267869232,1758493102106,Synapse54,1758493102106,Synapse54
10,60936 (Gibson City),Ford County,Illinois,8626604cfffffff,17,21.52,21.52,61225000.0078125,29153.379128810033,1758493102106,Synapse54,1758493102106,Synapse54
11,62571 (Tower Hill),Shelby County,Illinois,862644a0fffffff,22,23.66,23.66,58187500.00390625,28426.351428805334,1758493102106,Synapse54,1758493102106,Synapse54
12,62330 (Dallas City),Hancock County,Illinois,862670367ffffff,16,28.07,28.07,60906249.99609375,29082.852499086846,1758493102106,Synapse54,1758493102106,Synapse54
13,62557 (Pana),Shelby County,Illinois,862644a17ffffff,59,21.15,21.15,58170000.0,28422.989017121174,1758493102106,Synapse54,1758493102106,Synapse54
14,62633 (Easton),Mason County,Illinois,862671b0fffffff,19,28.79,28.79,59612499.9921875,28770.539913618526,1758493102106,Synapse54,1758493102106,Synapse54
15,60936 (Gibson City),Ford County,Illinois,8626604d7ffffff,11,21.57,21.57,61292499.99609375,29169.86841379856,1758493102106,Synapse54,1758493102106,Synapse54
16,61450 (La Harpe),Hancock County,Illinois,86267036fffffff,10,23.26,23.26,60696250.0,29033.06580863965,1758493102106,Synapse54,1758493102106,Synapse54
17,62571 (Tower Hill),Shelby County,Illinois,862644a1fffffff,20,21.05,21.05,58170000.0,28422.989017121177,1758493102106,Synapse54,1758493102106,Synapse54
18,62644 (Havana),Mason County,Illinois,862671b17ffffff,17,21.52,21.52,60203749.9921875,28911.07725137631,1758493102106,Synapse54,1758493102106,Synapse54
19,62330 (Dallas City),Hancock County,Illinois,862670377ffffff,28,28.0,28.0,60907499.99609375,29078.426786923203,1758493102106,Synapse54,1758493102106,Synapse54
20,62571 (Tower Hill),Shelby County,Illinois,862644a27ffffff,55,25.46,25.46,58325000.00390625,28459.217028399486,1758493102106,Synapse54,1758493102106,Synapse54
21,60936 (Gibson City),Ford County,Illinois,8626604dfffffff,62,25.62,25.62,61012500.0,29102.54693657464,1758493102106,Synapse54,1758493102106,Synapse54
22,52627 (Fort Madison),Lee County,Iowa,86267038fffffff,264,22.09,22.09,61282500.0,29167.01854892821,1758493102106,Synapse54,1758493102106,Synapse54
23,62438 (Lakewood),Shelby County,Illinois,862644a2fffffff,32,20.78,20.78,57984999.99609375,28376.64892843383,1758493102106,Synapse54,1758493102106,Synapse54
24,62655 (Kilbourne),Mason County,Illinois,862671b1fffffff,16,21.92,21.92,59686250.00390625,28788.41754885292,1758493102106,Synapse54,1758493102106,Synapse54
25,62571 (Tower Hill),Shelby County,Illinois,862644a37ffffff,100,23.2,23.2,57967500.0,28373.266694098493,1758493102106,Synapse54,1758493102106,Synapse54
26,60936 (Gibson City),Ford County,Illinois,8626604e7ffffff,18,22.22,22.22,61441249.99609375,29205.93696137527,1758493102106,Synapse54,1758493102106,Synapse54
27,52627 (Fort Madison),Lee County,Iowa,8626703afffffff,279,25.39,25.39,61082500.00390625,29117.98022066574,1758493102106,Synapse54,1758493102106,Synapse54
28,62414 (Beecher City),Fayette County,Illinois,862644a47ffffff,73,26.35,26.35,57985000.00390625,28370.896875934483,1758493102106,Synapse54,1758493102106,Synapse54
29,62633 (Easton),Mason County,Illinois,862671b27ffffff,12,27.27,27.27,60225000.00390625,28915.41861785277,1758493102106,Synapse54,1758493102106,Synapse54
30,62414 (Beecher City),Effingham County,Illinois,862644a4fffffff,109,27.11,27.11,57797499.99609375,28328.592914803234,1758493102106,Synapse54,1758493102106,Synapse54
31,61272 (New Boston),Mercer County,Illinois,862670947ffffff,3,21.43,21.43,62606250.00390625,29482.637430284754,1758493102106,Synapse54,1758493102106,Synapse54
32,52653 (Wapello),Louisa County,Iowa,86267094fffffff,86,22.45,22.45,62737499.99609375,29508.88629330572,1758493102106,Synapse54,1758493102106,Synapse54
33,62422 (Cowden),Fayette County,Illinois,862644a57ffffff,21,24.42,24.42,58155000.0,28415.00096062924,1758493102106,Synapse54,1758493102106,Synapse54
34,60936 (Gibson City),Ford County,Illinois,8626604efffffff,53,21.03,21.03,61227500.0,29155.15278645337,1758493102106,Synapse54,1758493102106,Synapse54
35,61272 (New Boston),Mercer County,Illinois,862670967ffffff,5,20.0,20.0,62926249.99609375,29553.278224163063,1758493102106,Synapse54,1758493102106,Synapse54
36,62414 (Beecher City),Fayette County,Illinois,862644a5fffffff,47,22.17,22.17,57967500.0,28372.696999497988,1758493102106,Synapse54,1758493102106,Synapse54
37,62633 (Easton),Mason County,Illinois,862671b2fffffff,80,27.97,27.97,60225000.00390625,28915.41861785277,1758493102106,Synapse54,1758493102106,Synapse54
38,62414 (Beecher City),Shelby County,Illinois,862644a67ffffff,32,22.38,22.38,57967500.0,28372.696999497988,1758493102106,Synapse54,1758493102106,Synapse54
39,61272 (New Boston),Mercer County,Illinois,86267096fffffff,62,21.53,21.53,62737500.0,29508.88629330572,1758493102106,Synapse54,1758493102106,Synapse54
40,60936 (Gibson City),Ford County,Illinois,8626604f7ffffff,12,20.69,20.69,61416249.99609375,29200.84735435346,1758493102106,Synapse54,1758493102106,Synapse54
41,62461 (Shumway),Effingham County,Illinois,862644a6fffffff,49,26.63,26.63,57886250.0,28348.81962508441,1758493102106,Synapse54,1758493102106,Synapse54
42,52761 (Muscatine),Louisa County,Iowa,862670977ffffff,19,22.35,22.35,62925000.0,29553.08705505461,1758493102106,Synapse54,1758493102106,Synapse54
43,61437 (Gladstone),Henderson County,Illinois,862670a07ffffff,64,22.22,22.22,61530000.0,29229.74458949782,1758493102106,Synapse54,1758493102106,Synapse54
44,62422 (Cowden),Shelby County,Illinois,862644a77ffffff,162,27.65,27.65,58169999.99609375,28422.989017121174,1758493102106,Synapse54,1758493102106,Synapse54
45,62633 (Easton),Mason County,Illinois,862671b37ffffff,33,23.74,23.74,60203750.0078125,28911.07725137631,1758493102106,Synapse54,1758493102106,Synapse54
46,60959 (Piper City),Ford County,Illinois,862660507ffffff,20,23.53,23.53,62353750.0,29418.890083116028,1758493102106,Synapse54,1758493102106,Synapse54
47,61480 (Stronghurst),Henderson County,Illinois,862670a0fffffff,35,27.56,27.56,61511250.0,29226.252902391836,1758493102106,Synapse54,1758493102106,Synapse54
48,62553 (Oconee),Montgomery County,Illinois,862644a87ffffff,34,24.29,24.29,58425000.0,28481.30249955349,1758493102106,Synapse54,1758493102106,Synapse54
49,62642 (Greenview),Menard County,Illinois,862671b47ffffff,14,24.56,24.56,59826249.98828125,28821.574955500924,1758493102106,Synapse54,1758493102106,Synapse54
50,52601 (Burlington),Des Moines County,Iowa,862670a17ffffff,1940,27.95,27.95,61442500.0,29206.486277752294,1758493102106,Synapse54,1758493102106,Synapse54
51,62553 (Oconee),Shelby County,Illinois,862644a8fffffff,18,21.95,21.95,58424999.99609375,28481.30249955349,1758493102106,Synapse54,1758493102106,Synapse54
52,60959 (Piper City),Ford County,Illinois,86266050fffffff,8,21.62,21.62,62010000.0,29340.408941485595,1758493102106,Synapse54,1758493102106,Synapse54
53,61425 (Carman),Henderson County,Illinois,862670a1fffffff,102,25.89,25.89,61326250.0,29181.7305381478,1758493102106,Synapse54,1758493102106,Synapse54
54,62075 (Nokomis),Montgomery County,Illinois,862644a97ffffff,13,27.66,27.66,58050000.0,28391.969930917163,1758493102106,Synapse54,1758493102106,Synapse54
55,62080 (Ramsey),Montgomery County,Illinois,862644a9fffffff,27,26.47,26.47,58050000.0,28391.969930917163,1758493102106,Synapse54,1758493102106,Synapse54
