OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22103A_B,MP22103A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62001 (Alhambra),Madison County,Illinois,8626446efffffff,17,4.52,4.52,58506250.0,28495.659389104243,1758493124071,Synapse54,1758493124071,Synapse54
2,62343 (Hull),Pike County,Illinois,862673a57ffffff,16,5.28,5.28,60218750.00390625,28912.779132913332,1758493124071,Synapse54,1758493124071,Synapse54
3,62361 (Pearl),Pike County,Illinois,8626469a7ffffff,7,3.35,3.35,59967500.0,28849.746992381653,1758493124071,Synapse54,1758493124071,Synapse54
4,62345 (Kinderhook),Pike County,Illinois,862673a5fffffff,1,5.88,5.88,59955000.0,28843.743686945945,1758493124071,Synapse54,1758493124071,Synapse54
5,62056 (Litchfield),Montgomery County,Illinois,862644707ffffff,27,4.09,4.09,58404999.99609375,28472.98305760687,1758493124071,Synapse54,1758493124071,Synapse54
6,62312 (Barry),Pike County,Illinois,862673a67ffffff,4,5.71,5.71,60045000.0,28873.176330769522,1758493124071,Synapse54,1758493124071,Synapse54
7,62050 (Hillview),Greene County,Illinois,8626469afffffff,0,0.0,0.0,59606250.00390625,28763.57339327254,1758493124071,Synapse54,1758493124071,Synapse54
8,62312 (Barry),Pike County,Illinois,862673a6fffffff,57,5.29,5.29,60232500.0,28915.132722347902,1758493124071,Synapse54,1758493124071,Synapse54
9,62056 (Litchfield),Montgomery County,Illinois,86264470fffffff,4,4.3,4.3,58781250.0,28567.642840705506,1758493124071,Synapse54,1758493124071,Synapse54
10,62343 (Hull),Pike County,Illinois,862673a77ffffff,5,5.43,5.43,60337500.0,28938.041241530176,1758493124071,Synapse54,1758493124071,Synapse54
11,62363 (Pittsfield),Pike County,Illinois,8626469b7ffffff,4,3.39,3.39,59503750.00390625,28740.688552132946,1758493124071,Synapse54,1758493124071,Synapse54
12,63401 (Hannibal),Marion County,Missouri,862673aafffffff,105,5.36,5.36,60499999.99609375,28980.6581194895,1758493124071,Synapse54,1758493124071,Synapse54
13,62069 (Mount Olive),Macoupin County,Illinois,86264471fffffff,12,4.0,4.0,58390000.0,28475.444920139747,1758493124071,Synapse54,1758493124071,Synapse54
14,62343 (Hull),Pike County,Illinois,862673ae7ffffff,1,4.76,4.76,59942499.99609375,28846.389074054474,1758493124071,Synapse54,1758493124071,Synapse54
15,62056 (Litchfield),Montgomery County,Illinois,862644727ffffff,76,5.16,5.16,58781250.0,28567.87574780077,1758493124071,Synapse54,1758493124071,Synapse54
16,62345 (Kinderhook),Pike County,Illinois,862673aefffffff,14,4.75,4.75,60232500.00390625,28914.901016324584,1758493124071,Synapse54,1758493124071,Synapse54
17,63353 (Louisiana),Pike County,Missouri,862646c07ffffff,68,4.55,4.55,59871250.0,28828.577236574296,1758493124071,Synapse54,1758493124071,Synapse54
18,63401 (Hannibal),Marion County,Missouri,862673af7ffffff,485,5.21,5.21,60128750.0,28888.342781141168,1758493124071,Synapse54,1758493124071,Synapse54
19,62056 (Litchfield),Montgomery County,Illinois,86264472fffffff,150,4.36,4.36,58608750.00390625,28523.45802551955,1758493124071,Synapse54,1758493124071,Synapse54
20,62305 (Quincy),Adams County,Illinois,862673b07ffffff,34,4.61,4.61,60718750.0,29036.69941687645,1758493124071,Synapse54,1758493124071,Synapse54
21,62370 (Rockport),Pike County,Illinois,862646c27ffffff,2,4.88,4.88,59561250.0,28751.491124739936,1758493124071,Synapse54,1758493124071,Synapse54
22,62305 (Quincy),Adams County,Illinois,862673b0fffffff,14,4.53,4.53,60232499.99609375,28914.901016324584,1758493124071,Synapse54,1758493124071,Synapse54
23,62056 (Litchfield),Macoupin County,Illinois,862644737ffffff,2,4.26,4.26,58405000.0,28472.98305760687,1758493124071,Synapse54,1758493124071,Synapse54
24,62305 (Quincy),Adams County,Illinois,862673b17ffffff,176,4.81,4.81,60337500.0,28938.041241530176,1758493124071,Synapse54,1758493124071,Synapse54
25,62305 (Quincy),Adams County,Illinois,862673b1fffffff,32,4.51,4.51,60440000.0,28965.199871443892,1758493124071,Synapse54,1758493124071,Synapse54
26,62338 (Fowler),Adams County,Illinois,862673b27ffffff,10,4.59,4.59,60441250.0,28965.202555935575,1758493124071,Synapse54,1758493124071,Synapse54
27,63386 (West Alton),St. Charles County,Missouri,862646ac7ffffff,3,4.92,4.92,58662499.99609375,28532.557741745775,1758493124071,Synapse54,1758493124071,Synapse54
28,62305 (Quincy),Adams County,Illinois,862673b2fffffff,6,4.58,4.58,60337499.99609375,28938.041241530176,1758493124071,Synapse54,1758493124071,Synapse54
29,62049 (Hillsboro),Montgomery County,Illinois,86264476fffffff,11,4.51,4.51,58421250.00390625,28475.96848034799,1758493124071,Synapse54,1758493124071,Synapse54
30,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56134999.99609375,27921.19020520542,1758493124071,Synapse54,1758493124071,Synapse54
31,62271 (Okawville),Clinton County,Illinois,86264012fffffff,10,4.88,4.88,57742500.0,28309.303506499375,1758493124071,Synapse54,1758493124071,Synapse54
32,62049 (Hillsboro),Montgomery County,Illinois,862644777ffffff,7,4.52,4.52,58406250.0,28473.20411713629,1758493124071,Synapse54,1758493124071,Synapse54
33,62827 (Crossville),White County,Illinois,86264534fffffff,5,5.62,5.62,56351249.99609375,27970.178915552202,1758493124071,Synapse54,1758493124071,Synapse54
34,62571 (Tower Hill),Shelby County,Illinois,862644a07ffffff,5,4.95,4.95,58424999.99609375,28481.30249955349,1758493124071,Synapse54,1758493124071,Synapse54
35,62571 (Tower Hill),Shelby County,Illinois,862644a0fffffff,4,4.3,4.3,58187500.00390625,28426.351428805334,1758493124071,Synapse54,1758493124071,Synapse54
36,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,10,6.49,6.49,58116249.99609375,28403.34886529782,1758493124071,Synapse54,1758493124071,Synapse54
37,62557 (Pana),Shelby County,Illinois,862644a17ffffff,13,4.66,4.66,58170000.0,28422.989017121174,1758493124071,Synapse54,1758493124071,Synapse54
38,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,1,3.23,3.23,56429999.99609375,27988.19279691602,1758493124071,Synapse54,1758493124071,Synapse54
39,62214 (Addieville),Washington County,Illinois,862640147ffffff,7,4.35,4.35,57945000.0,28359.658540410997,1758493124071,Synapse54,1758493124071,Synapse54
