OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22103A_B,MP22103A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62821 (Carmi),White County,Illinois,86264524fffffff,6,4.92,4.92,56532500.0,28015.598433874227,1758493153448,Synapse54,1758493153448,Synapse54
2,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56135000.0,27915.620822769335,1758493153448,Synapse54,1758493153448,Synapse54
3,62827 (Crossville),White County,Illinois,86264534fffffff,5,5.62,5.62,56454999.99609375,27997.829653857236,1758493153448,Synapse54,1758493153448,Synapse54
4,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,3,4.69,4.69,56726250.0,28069.64525783052,1758493153448,Synapse54,1758493153448,Synapse54
5,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,1,3.23,3.23,55800000.0,27833.232309338826,1758493153448,Synapse54,1758493153448,Synapse54
6,47666 (Patoka),Gibson County,Indiana,86266e69fffffff,2,5.13,5.13,56462500.0,28004.306684036736,1758493153448,Synapse54,1758493153448,Synapse54
7,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,1,8.33,8.33,56346250.00390625,27973.61481279471,1758493153448,Synapse54,1758493153448,Synapse54
8,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,11,4.7,4.7,56005000.00390625,27890.50745898393,1758493153448,Synapse54,1758493153448,Synapse54
9,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,2,5.88,5.88,55967499.99609375,27877.211257272123,1758493153448,Synapse54,1758493153448,Synapse54
10,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758493153448,Synapse54,1758493153448,Synapse54
11,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,15,4.63,4.63,56461250.0,28004.086172333384,1758493153448,Synapse54,1758493153448,Synapse54
12,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,2,5.41,5.41,56152499.99609375,27919.203273482235,1758493153448,Synapse54,1758493153448,Synapse54
13,46764 (Larwill),Whitley County,Indiana,86274b257ffffff,19,4.68,4.68,64273750.0,29865.783071157584,1758493153448,Synapse54,1758493153448,Synapse54
