OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22103A_B,MP22103A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,255,6.25,6.25,74100000.0,32057.410923822383,1758493170203,Synapse54,1758493170203,Synapse54
2,54963 (Omro),Winnebago County,Wisconsin,86275ca9fffffff,69,4.52,4.52,72857499.99609375,31786.290186944632,1758493170203,Synapse54,1758493170203,Synapse54
3,54455 (Mosinee),Marathon County,Wisconsin,862751327ffffff,21,4.66,4.66,75336250.0,32322.059164707025,1758493170203,Synapse54,1758493170203,Synapse54
4,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,9,4.62,4.62,71274999.9921875,31443.232471987707,1758493170203,Synapse54,1758493170203,Synapse54
5,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,55,6.96,6.96,74100000.0,32057.410923822383,1758493170203,Synapse54,1758493170203,Synapse54
6,54456 (Neillsville),Clark County,Wisconsin,8627516f7ffffff,7,3.61,3.61,74150000.0,32068.419887338947,1758493170203,Synapse54,1758493170203,Synapse54
7,54114 (Crivitz),Oconto County,Wisconsin,862742147ffffff,3,2.44,2.44,77827500.0,32849.073205452456,1758493170203,Synapse54,1758493170203,Synapse54
8,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,71,5.87,5.87,71737500.0,31543.113704285806,1758493170203,Synapse54,1758493170203,Synapse54
9,53711 (Madison),Dane County,Wisconsin,862758057ffffff,511,7.13,7.13,69146250.00390625,30968.89502863217,1758493170203,Synapse54,1758493170203,Synapse54
10,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,24,6.86,6.86,74107500.0,32061.344355937115,1758493170203,Synapse54,1758493170203,Synapse54
11,53536 (Evansville),Rock County,Wisconsin,86275838fffffff,46,5.77,5.77,68597500.00390625,30849.660242094593,1758493170203,Synapse54,1758493170203,Synapse54
12,54149 (Mountain),Oconto County,Wisconsin,86274214fffffff,1,2.33,2.33,77108750.00390625,32699.078958492748,1758493170203,Synapse54,1758493170203,Synapse54
13,54603 (La Crosse),La Crosse County,Wisconsin,86275e487ffffff,40,5.2,5.2,71683749.99609375,31532.709061725178,1758493170203,Synapse54,1758493170203,Synapse54
14,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275c347ffffff,65,5.54,5.54,72418750.00390625,31691.809806785295,1758493170203,Synapse54,1758493170203,Synapse54
15,54923 (Berlin),Waushara County,Wisconsin,86275c00fffffff,12,4.35,4.35,73188750.0,31859.950442493093,1758493170203,Synapse54,1758493170203,Synapse54
16,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,17,4.7,4.7,73583750.0,31948.21241793928,1758493170203,Synapse54,1758493170203,Synapse54
17,54446 (Loyal),Clark County,Wisconsin,862751707ffffff,12,4.65,4.65,75015000.00390625,32252.481490842143,1758493170203,Synapse54,1758493170203,Synapse54
18,54149 (Mountain),Oconto County,Wisconsin,862742157ffffff,4,2.56,2.56,77587500.00390625,32798.682396500524,1758493170203,Synapse54,1758493170203,Synapse54
19,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,804,5.81,5.81,71452499.99609375,31484.250567701674,1758493170203,Synapse54,1758493170203,Synapse54
20,53521 (Brooklyn),Dane County,Wisconsin,862758397ffffff,101,5.9,5.9,68568750.0,30841.218931577325,1758493170203,Synapse54,1758493170203,Synapse54
