OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22106A_B,MP22106A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46106 (Bargersville),Johnson County,Indiana,86266cdb7ffffff,234,3.06,3.06,59118749.99609375,28647.22966032144,1758493205083,Synapse54,1758493205083,Synapse54
2,46567 (Syracuse),Kosciusko County,Indiana,86274b207ffffff,50,2.26,2.26,64823749.9921875,29992.00289257546,1758493205083,Synapse54,1758493205083,Synapse54
3,46562 (Pierceton),Noble County,Indiana,86274b20fffffff,14,2.03,2.03,64660000.0,29951.869056491672,1758493205083,Synapse54,1758493205083,Synapse54
4,46952 (Marion),Wells County,Indiana,862a9668fffffff,4,1.98,1.98,62475000.0,29445.58526900966,1758493205083,Synapse54,1758493205083,Synapse54
5,46567 (Syracuse),Kosciusko County,Indiana,86274b217ffffff,70,2.49,2.49,64773750.00390625,29979.983070586673,1758493205083,Synapse54,1758493205083,Synapse54
6,46173 (Rushville),Rush County,Indiana,86266c927ffffff,2,1.67,1.67,59280000.0,28692.778024318264,1758493205083,Synapse54,1758493205083,Synapse54
7,46555 (North Webster),Kosciusko County,Indiana,86274b21fffffff,30,1.98,1.98,64578750.00390625,29932.75538639727,1758493205083,Synapse54,1758493205083,Synapse54
8,46732 (Cromwell),Noble County,Indiana,86274b22fffffff,14,2.33,2.33,64660000.0,29951.869056491672,1758493205083,Synapse54,1758493205083,Synapse54
9,46991 (Van Buren),Grant County,Indiana,862a96697ffffff,19,2.1,2.1,62393750.0,29426.236062197255,1758493205083,Synapse54,1758493205083,Synapse54
10,47240 (Greensburg),Decatur County,Indiana,86266c92fffffff,5,2.22,2.22,58727500.00390625,28558.713251488756,1758493205083,Synapse54,1758493205083,Synapse54
11,46725 (Columbia City),Noble County,Indiana,86274b247ffffff,32,2.14,2.14,64220000.0,29852.782909799484,1758493205083,Synapse54,1758493205083,Synapse54
12,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56135000.0,27915.620822769335,1758493205083,Synapse54,1758493205083,Synapse54
13,46156 (Milroy),Rush County,Indiana,86266c937ffffff,11,1.92,1.92,58890000.0078125,28592.346491867465,1758493205083,Synapse54,1758493205083,Synapse54
14,46725 (Columbia City),Whitley County,Indiana,86274b24fffffff,26,2.19,2.19,64440000.0,29904.881372756154,1758493205083,Synapse54,1758493205083,Synapse54
15,47992 (Westpoint),Tippecanoe County,Indiana,862661da7ffffff,10,2.31,2.31,60992500.00390625,29097.84404649705,1758493205083,Synapse54,1758493205083,Synapse54
16,62827 (Crossville),White County,Illinois,86264534fffffff,2,2.25,2.25,56454999.99609375,27997.829653857236,1758493205083,Synapse54,1758493205083,Synapse54
17,47272 (Saint Paul),Decatur County,Indiana,86266c987ffffff,22,1.95,1.95,58827500.0,28578.738211785254,1758493205083,Synapse54,1758493205083,Synapse54
18,47992 (Westpoint),Tippecanoe County,Indiana,862661dafffffff,3,3.37,3.37,60992500.0,29097.84404649705,1758493205083,Synapse54,1758493205083,Synapse54
19,46182 (Waldron),Shelby County,Indiana,86266c997ffffff,12,2.12,2.12,58827499.99609375,28578.738211785254,1758493205083,Synapse54,1758493205083,Synapse54
