OBJECTID,DESCRIPTION,ID,P5YTENOWN,P5YTENOWN_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,32001,78.84,78.84,72760823790.5,3028971.212854449,1753799756033,Synapse54,1753799756033,Synapse54
2,"G0C (New Richmond, QC)",G0C,15492,68.08,68.08,22075337398.492188,967680.4043130332,1753799756033,Synapse54,1753799756033,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,1871,78.38,78.38,17330251329.5,625766.1683453334,1753799756033,Synapse54,1753799756033,Synapse54
4,"G0G (Fermont, QC)",G0G,4588,66.46,66.46,488246740388.7383,13452850.295035336,1753799756033,Synapse54,1753799756033,Synapse54
5,"G0H (Pessamit, QC)",G0H,3451,73.22,73.22,123893631441.5,3217405.6747955983,1753799756033,Synapse54,1753799756033,Synapse54
6,"G0J (Causapscal, QC)",G0J,10815,78.59,78.59,30795263589.0,1187342.219615261,1753799756033,Synapse54,1753799756033,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,4621,79.49,79.49,8964482448.5,530269.0600895187,1753799756033,Synapse54,1753799756033,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,21386,76.7,76.7,23226305480.5,1017338.6635460304,1753799756033,Synapse54,1753799756033,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,12361,78.85,78.85,6354665678.5,678703.1375911924,1753799756033,Synapse54,1753799756033,Synapse54
10,"G0N (Disraeli, QC)",G0N,7417,78.28,78.28,3579667597.5,610336.508657239,1753799756033,Synapse54,1753799756033,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,2469,80.34,80.34,1964344449.0,415202.1877963802,1753799756033,Synapse54,1753799756033,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,29843,76.52,76.52,17275130739.5,769075.2097201231,1753799756033,Synapse54,1753799756033,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,25974,77.79,77.79,7546000235.5,718279.0049398947,1753799756033,Synapse54,1753799756033,Synapse54
14,"G0T (Forestville, QC)",G0T,4644,73.06,73.06,20313438075.0,1270528.890385615,1753799756033,Synapse54,1753799756033,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,7172,82.3,82.3,24624561090.5,1237538.7672922572,1753799756033,Synapse54,1753799756033,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,11482,73.32,73.32,380327320475.0,4323366.579971259,1753799756033,Synapse54,1753799756033,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,22497,79.69,79.69,39978887685.5,2171889.905015521,1753799756033,Synapse54,1753799756033,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,4021,83.77,83.77,3810924397.5,557635.8571484805,1753799756033,Synapse54,1753799756033,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,3278,78.8,78.8,1313913827.0,254093.22841298912,1753799756033,Synapse54,1753799756033,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753799756033,Synapse54,1753799756033,Synapse54
21,"G1B (Quebec, QC)",G1B,6243,85.35,85.35,87273797.0,41431.67400838665,1753799756033,Synapse54,1753799756033,Synapse54
