OBJECTID,DESCRIPTION,ID,ECYTENRENT,ECYTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,7308,18.84,18.84,72760823790.5,3028971.212854449,1753799876791,Synapse54,1753799876791,Synapse54
2,"G0C (New Richmond, QC)",G0C,6357,27.71,27.71,22075337398.492188,967680.4043130332,1753799876791,Synapse54,1753799876791,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,464,19.1,19.1,17330251329.5,625766.1683453334,1753799876791,Synapse54,1753799876791,Synapse54
4,"G0G (Fermont, QC)",G0G,1503,21.44,21.44,488246740388.7383,13452850.295035336,1753799876791,Synapse54,1753799876791,Synapse54
5,"G0H (Pessamit, QC)",G0H,673,13.93,13.93,123893631441.5,3217405.6747955983,1753799876791,Synapse54,1753799876791,Synapse54
6,"G0J (Causapscal, QC)",G0J,2775,19.93,19.93,30795263589.0,1187342.219615261,1753799876791,Synapse54,1753799876791,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,1093,18.82,18.82,8964482448.5,530269.0600895187,1753799876791,Synapse54,1753799876791,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,6092,21.81,21.81,23226305480.5,1017338.6635460304,1753799876791,Synapse54,1753799876791,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,3111,19.99,19.99,6354665678.5,678703.1375911924,1753799876791,Synapse54,1753799876791,Synapse54
10,"G0N (Disraeli, QC)",G0N,1900,20.13,20.13,3579667597.5,610336.508657239,1753799876791,Synapse54,1753799876791,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,519,17.02,17.02,1964344449.0,415202.1877963802,1753799876791,Synapse54,1753799876791,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,8722,22.38,22.38,17275130739.5,769075.2097201231,1753799876791,Synapse54,1753799876791,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,6722,21.11,21.11,7546000235.5,718279.0049398947,1753799876791,Synapse54,1753799876791,Synapse54
14,"G0T (Forestville, QC)",G0T,1570,24.18,24.18,20313438075.0,1270528.890385615,1753799876791,Synapse54,1753799876791,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,1424,16.71,16.71,24624561090.5,1237538.7672922572,1753799876791,Synapse54,1753799876791,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,3111,19.93,19.93,380327320475.0,4323366.579971259,1753799876791,Synapse54,1753799876791,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,5345,19.22,19.22,39978887685.5,2171889.905015521,1753799876791,Synapse54,1753799876791,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,714,14.95,14.95,3810924397.5,557635.8571484805,1753799876791,Synapse54,1753799876791,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,782,19.35,19.35,1313913827.0,254093.22841298912,1753799876791,Synapse54,1753799876791,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753799876791,Synapse54,1753799876791,Synapse54
21,"G1B (Quebec, QC)",G1B,985,13.81,13.81,87273797.0,41431.67400838665,1753799876791,Synapse54,1753799876791,Synapse54
22,"G1C (Quebec, QC)",G1C,5503,32.99,32.99,42832173.5,38990.399766328665,1753799876791,Synapse54,1753799876791,Synapse54
23,"G1E (Quebec, QC)",G1E,8695,59.7,59.7,21963715.5,24460.60804483201,1753799876791,Synapse54,1753799876791,Synapse54
24,"G1G (Quebec, QC)",G1G,3815,32.54,32.54,23261499.5,21244.010790424363,1753799876791,Synapse54,1753799876791,Synapse54
25,"G1H (Quebec, QC)",G1H,9393,61.04,61.04,17070653.5,16728.070206687444,1753799876791,Synapse54,1753799876791,Synapse54
26,"G1J (Quebec, QC)",G1J,10743,78.77,78.77,15486417.5,18318.282612942763,1753799876791,Synapse54,1753799876791,Synapse54
27,"G1K (Quebec, QC)",G1K,8659,73.88,73.88,9532326.5,27604.32226056824,1753799876791,Synapse54,1753799876791,Synapse54
28,"G1L (Quebec, QC)",G1L,10738,80.1,80.1,8545974.0,13500.51656374446,1753799876791,Synapse54,1753799876791,Synapse54
29,"G1M (Quebec, QC)",G1M,7361,68.03,68.03,17720734.5,19033.029965482125,1753799876791,Synapse54,1753799876791,Synapse54
30,"G1N (Quebec, QC)",G1N,4564,79.17,79.17,13120575.0,20830.816804197915,1753799876791,Synapse54,1753799876791,Synapse54
31,"G1P (Quebec, QC)",G1P,4592,56.62,56.62,23560383.5,22665.24353657779,1753799876791,Synapse54,1753799876791,Synapse54
32,"G1R (Quebec, QC)",G1R,7708,73.27,73.27,6291861.0,12661.880571938687,1753799876791,Synapse54,1753799876791,Synapse54
33,"G1S (Quebec, QC)",G1S,8217,56.9,56.9,11216915.28125,15661.567182113036,1753799876791,Synapse54,1753799876791,Synapse54
34,"G1T (Quebec, QC)",G1T,624,21.47,21.47,7077771.5,17602.81541790566,1753799876791,Synapse54,1753799876791,Synapse54
35,"G1V (Quebec, QC)",G1V,9778,74.61,74.61,15730102.0,17979.112647239195,1753799876791,Synapse54,1753799876791,Synapse54
36,"G1W (Quebec, QC)",G1W,5094,45.74,45.74,17198639.5,21801.94208985731,1753799876791,Synapse54,1753799876791,Synapse54
37,"G1X (Quebec, QC)",G1X,7119,52.27,52.27,27103326.0,27337.079999136095,1753799876791,Synapse54,1753799876791,Synapse54
38,"G1Y (Quebec, QC)",G1Y,1077,18.66,18.66,14262450.5,17939.63034370007,1753799876791,Synapse54,1753799876791,Synapse54
39,"G2A (Quebec, QC)",G2A,2547,30.21,30.21,47271562.5,46123.605864486206,1753799876791,Synapse54,1753799876791,Synapse54
