OBJECTID,DESCRIPTION,ID,ECYCDOCO,ECYCDOCO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,2227,5.74,5.74,72760823790.5,3028971.212854449,1753800183770,Synapse54,1753800183770,Synapse54
2,"G0C (New Richmond, QC)",G0C,939,4.09,4.09,22075337398.492188,967680.4043130332,1753800183770,Synapse54,1753800183770,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,94,3.87,3.87,17330251329.5,625766.1683453334,1753800183770,Synapse54,1753800183770,Synapse54
4,"G0G (Fermont, QC)",G0G,314,4.48,4.48,488246740388.7383,13452850.295035336,1753800183770,Synapse54,1753800183770,Synapse54
5,"G0H (Pessamit, QC)",G0H,102,2.11,2.11,123893631441.5,3217405.6747955983,1753800183770,Synapse54,1753800183770,Synapse54
6,"G0J (Causapscal, QC)",G0J,464,3.33,3.33,30795263589.0,1187342.219615261,1753800183770,Synapse54,1753800183770,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,193,3.32,3.32,8964482448.5,530269.0600895187,1753800183770,Synapse54,1753800183770,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,917,3.28,3.28,23226305480.5,1017338.6635460304,1753800183770,Synapse54,1753800183770,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,684,4.4,4.4,6354665678.5,678703.1375911924,1753800183770,Synapse54,1753800183770,Synapse54
10,"G0N (Disraeli, QC)",G0N,425,4.5,4.5,3579667597.5,610336.508657239,1753800183770,Synapse54,1753800183770,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,24,0.79,0.79,1964344449.0,415202.1877963802,1753800183770,Synapse54,1753800183770,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,1693,4.34,4.34,17275130739.5,769075.2097201231,1753800183770,Synapse54,1753800183770,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,1486,4.67,4.67,7546000235.5,718279.0049398947,1753800183770,Synapse54,1753800183770,Synapse54
14,"G0T (Forestville, QC)",G0T,300,4.62,4.62,20313438075.0,1270528.890385615,1753800183770,Synapse54,1753800183770,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,284,3.33,3.33,24624561090.5,1237538.7672922572,1753800183770,Synapse54,1753800183770,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,580,3.72,3.72,380327320475.0,4323366.579971259,1753800183770,Synapse54,1753800183770,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,765,2.75,2.75,39978887685.5,2171889.905015521,1753800183770,Synapse54,1753800183770,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,100,2.09,2.09,3810924397.5,557635.8571484805,1753800183770,Synapse54,1753800183770,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,81,2.0,2.0,1313913827.0,254093.22841298912,1753800183770,Synapse54,1753800183770,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753800183770,Synapse54,1753800183770,Synapse54
21,"G1B (Quebec, QC)",G1B,321,4.5,4.5,87273797.0,41431.67400838665,1753800183770,Synapse54,1753800183770,Synapse54
22,"G1C (Quebec, QC)",G1C,2788,16.72,16.72,42832173.5,38990.399766328665,1753800183770,Synapse54,1753800183770,Synapse54
23,"G1E (Quebec, QC)",G1E,2449,16.81,16.81,21963715.5,24460.60804483201,1753800183770,Synapse54,1753800183770,Synapse54
24,"G1G (Quebec, QC)",G1G,1693,14.44,14.44,23261499.5,21244.010790424363,1753800183770,Synapse54,1753800183770,Synapse54
25,"G1H (Quebec, QC)",G1H,2266,14.72,14.72,17070653.5,16728.070206687444,1753800183770,Synapse54,1753800183770,Synapse54
26,"G1J (Quebec, QC)",G1J,1829,13.41,13.41,15486417.5,18318.282612942763,1753800183770,Synapse54,1753800183770,Synapse54
27,"G1K (Quebec, QC)",G1K,2757,23.52,23.52,9532326.5,27604.32226056824,1753800183770,Synapse54,1753800183770,Synapse54
28,"G1L (Quebec, QC)",G1L,1573,11.73,11.73,8545974.0,13500.51656374446,1753800183770,Synapse54,1753800183770,Synapse54
