OBJECTID,DESCRIPTION,ID,ECYCDORECO,ECYCDORECO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,933,2.41,2.41,72760823790.5,3028971.212854449,1753800734237,Synapse54,1753800734237,Synapse54
2,"G0C (New Richmond, QC)",G0C,689,3.0,3.0,22075337398.492188,967680.4043130332,1753800734237,Synapse54,1753800734237,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,51,2.1,2.1,17330251329.5,625766.1683453334,1753800734237,Synapse54,1753800734237,Synapse54
4,"G0G (Fermont, QC)",G0G,162,2.31,2.31,488246740388.7383,13452850.295035336,1753800734237,Synapse54,1753800734237,Synapse54
5,"G0H (Pessamit, QC)",G0H,66,1.37,1.37,123893631441.5,3217405.6747955983,1753800734237,Synapse54,1753800734237,Synapse54
6,"G0J (Causapscal, QC)",G0J,311,2.23,2.23,30795263589.0,1187342.219615261,1753800734237,Synapse54,1753800734237,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,118,2.03,2.03,8964482448.5,530269.0600895187,1753800734237,Synapse54,1753800734237,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,592,2.12,2.12,23226305480.5,1017338.6635460304,1753800734237,Synapse54,1753800734237,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,466,2.99,2.99,6354665678.5,678703.1375911924,1753800734237,Synapse54,1753800734237,Synapse54
10,"G0N (Disraeli, QC)",G0N,281,2.98,2.98,3579667597.5,610336.508657239,1753800734237,Synapse54,1753800734237,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,15,0.49,0.49,1964344449.0,415202.1877963802,1753800734237,Synapse54,1753800734237,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,1042,2.67,2.67,17275130739.5,769075.2097201231,1753800734237,Synapse54,1753800734237,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,764,2.4,2.4,7546000235.5,718279.0049398947,1753800734237,Synapse54,1753800734237,Synapse54
14,"G0T (Forestville, QC)",G0T,200,3.08,3.08,20313438075.0,1270528.890385615,1753800734237,Synapse54,1753800734237,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,147,1.72,1.72,24624561090.5,1237538.7672922572,1753800734237,Synapse54,1753800734237,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,366,2.35,2.35,380327320475.0,4323366.579971259,1753800734237,Synapse54,1753800734237,Synapse54
