OBJECTID,DESCRIPTION,ID,ECYMTN1524,ECYMTN1524_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,619,1.6,1.6,72760823790.5,3028971.212854449,1753800849569,Synapse54,1753800849569,Synapse54
2,"G0C (New Richmond, QC)",G0C,490,2.14,2.14,22075337398.492188,967680.4043130332,1753800849569,Synapse54,1753800849569,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,23,0.95,0.95,17330251329.5,625766.1683453334,1753800849569,Synapse54,1753800849569,Synapse54
4,"G0G (Fermont, QC)",G0G,197,2.81,2.81,488246740388.7383,13452850.295035336,1753800849569,Synapse54,1753800849569,Synapse54
5,"G0H (Pessamit, QC)",G0H,88,1.82,1.82,123893631441.5,3217405.6747955983,1753800849569,Synapse54,1753800849569,Synapse54
6,"G0J (Causapscal, QC)",G0J,222,1.59,1.59,30795263589.0,1187342.219615261,1753800849569,Synapse54,1753800849569,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,118,2.03,2.03,8964482448.5,530269.0600895187,1753800849569,Synapse54,1753800849569,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,611,2.19,2.19,23226305480.5,1017338.6635460304,1753800849569,Synapse54,1753800849569,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,354,2.27,2.27,6354665678.5,678703.1375911924,1753800849569,Synapse54,1753800849569,Synapse54
10,"G0N (Disraeli, QC)",G0N,143,1.52,1.52,3579667597.5,610336.508657239,1753800849569,Synapse54,1753800849569,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,25,0.82,0.82,1964344449.0,415202.1877963802,1753800849569,Synapse54,1753800849569,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,849,2.18,2.18,17275130739.5,769075.2097201231,1753800849569,Synapse54,1753800849569,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,783,2.46,2.46,7546000235.5,718279.0049398947,1753800849569,Synapse54,1753800849569,Synapse54
14,"G0T (Forestville, QC)",G0T,115,1.77,1.77,20313438075.0,1270528.890385615,1753800849569,Synapse54,1753800849569,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,160,1.88,1.88,24624561090.5,1237538.7672922572,1753800849569,Synapse54,1753800849569,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,436,2.79,2.79,380327320475.0,4323366.579971259,1753800849569,Synapse54,1753800849569,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,493,1.77,1.77,39978887685.5,2171889.905015521,1753800849569,Synapse54,1753800849569,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,57,1.19,1.19,3810924397.5,557635.8571484805,1753800849569,Synapse54,1753800849569,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,129,3.19,3.19,1313913827.0,254093.22841298912,1753800849569,Synapse54,1753800849569,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753800849569,Synapse54,1753800849569,Synapse54
21,"G1B (Quebec, QC)",G1B,68,0.95,0.95,87273797.0,41431.67400838665,1753800849569,Synapse54,1753800849569,Synapse54
22,"G1C (Quebec, QC)",G1C,250,1.5,1.5,42832173.5,38990.399766328665,1753800849569,Synapse54,1753800849569,Synapse54
23,"G1E (Quebec, QC)",G1E,601,4.13,4.13,21963715.5,24460.60804483201,1753800849569,Synapse54,1753800849569,Synapse54
24,"G1G (Quebec, QC)",G1G,253,2.16,2.16,23261499.5,21244.010790424363,1753800849569,Synapse54,1753800849569,Synapse54
25,"G1H (Quebec, QC)",G1H,610,3.96,3.96,17070653.5,16728.070206687444,1753800849569,Synapse54,1753800849569,Synapse54
26,"G1J (Quebec, QC)",G1J,820,6.01,6.01,15486417.5,18318.282612942763,1753800849569,Synapse54,1753800849569,Synapse54
27,"G1K (Quebec, QC)",G1K,655,5.59,5.59,9532326.5,27604.32226056824,1753800849569,Synapse54,1753800849569,Synapse54
28,"G1L (Quebec, QC)",G1L,822,6.13,6.13,8545974.0,13500.51656374446,1753800849569,Synapse54,1753800849569,Synapse54
29,"G1M (Quebec, QC)",G1M,432,3.99,3.99,17720734.5,19033.029965482125,1753800849569,Synapse54,1753800849569,Synapse54
30,"G1N (Quebec, QC)",G1N,480,8.33,8.33,13120575.0,20830.816804197915,1753800849569,Synapse54,1753800849569,Synapse54
31,"G1P (Quebec, QC)",G1P,383,4.72,4.72,23560383.5,22665.24353657779,1753800849569,Synapse54,1753800849569,Synapse54
32,"G1R (Quebec, QC)",G1R,660,6.27,6.27,6291861.0,12661.880571938687,1753800849569,Synapse54,1753800849569,Synapse54
33,"G1S (Quebec, QC)",G1S,750,5.19,5.19,11216915.28125,15661.567182113036,1753800849569,Synapse54,1753800849569,Synapse54
34,"G1T (Quebec, QC)",G1T,55,1.89,1.89,7077771.5,17602.81541790566,1753800849569,Synapse54,1753800849569,Synapse54
35,"G1V (Quebec, QC)",G1V,2100,16.02,16.02,15730102.0,17979.112647239195,1753800849569,Synapse54,1753800849569,Synapse54
36,"G1W (Quebec, QC)",G1W,496,4.45,4.45,17198639.5,21801.94208985731,1753800849569,Synapse54,1753800849569,Synapse54
37,"G1X (Quebec, QC)",G1X,758,5.57,5.57,27103326.0,27337.079999136095,1753800849569,Synapse54,1753800849569,Synapse54
38,"G1Y (Quebec, QC)",G1Y,48,0.83,0.83,14262450.5,17939.63034370007,1753800849569,Synapse54,1753800849569,Synapse54
39,"G2A (Quebec, QC)",G2A,271,3.21,3.21,47271562.5,46123.605864486206,1753800849569,Synapse54,1753800849569,Synapse54
40,"G2B (Quebec, QC)",G2B,361,3.17,3.17,24328924.5,22475.77399457994,1753800849569,Synapse54,1753800849569,Synapse54
41,"G2C (Quebec, QC)",G2C,151,2.42,2.42,18432837.5,23131.360190110616,1753800849569,Synapse54,1753800849569,Synapse54
42,"G2E (Quebec, QC)",G2E,127,1.32,1.32,27707972.5,23903.30796073271,1753800849569,Synapse54,1753800849569,Synapse54
43,"G2G (Quebec, QC)",G2G,97,2.01,2.01,101799470.5,45275.85044604026,1753800849569,Synapse54,1753800849569,Synapse54
44,"G2J (Quebec, QC)",G2J,75,4.23,4.23,5412144.5,9862.14108739791,1753800849569,Synapse54,1753800849569,Synapse54
45,"G2K (Quebec, QC)",G2K,157,2.16,2.16,30349819.5,31745.12588440936,1753800849569,Synapse54,1753800849569,Synapse54
