OBJECTID,DESCRIPTION,ID,P5YHNIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,111789.91,111789.91,72760823790.5,3028971.212854449,1753801593706,Synapse54,1753801593706,Synapse54
2,"G0C (New Richmond, QC)",G0C,78305.14,78305.14,22075337398.492188,967680.4043130332,1753801593706,Synapse54,1753801593706,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,70878.32,70878.32,17330251329.5,625766.1683453334,1753801593706,Synapse54,1753801593706,Synapse54
4,"G0G (Fermont, QC)",G0G,114598.73,114598.73,488246740388.7383,13452850.295035336,1753801593706,Synapse54,1753801593706,Synapse54
5,"G0H (Pessamit, QC)",G0H,85955.78,85955.78,123893631441.5,3217405.6747955983,1753801593706,Synapse54,1753801593706,Synapse54
6,"G0J (Causapscal, QC)",G0J,70697.64,70697.64,30795263589.0,1187342.219615261,1753801593706,Synapse54,1753801593706,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,83713.65,83713.65,8964482448.5,530269.0600895187,1753801593706,Synapse54,1753801593706,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,81763.02,81763.02,23226305480.5,1017338.6635460304,1753801593706,Synapse54,1753801593706,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,86295.61,86295.61,6354665678.5,678703.1375911924,1753801593706,Synapse54,1753801593706,Synapse54
10,"G0N (Disraeli, QC)",G0N,82909.37,82909.37,3579667597.5,610336.508657239,1753801593706,Synapse54,1753801593706,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,81837.02,81837.02,1964344449.0,415202.1877963802,1753801593706,Synapse54,1753801593706,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,86271.35,86271.35,17275130739.5,769075.2097201231,1753801593706,Synapse54,1753801593706,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,99231.15,99231.15,7546000235.5,718279.0049398947,1753801593706,Synapse54,1753801593706,Synapse54
14,"G0T (Forestville, QC)",G0T,79153.44,79153.44,20313438075.0,1270528.890385615,1753801593706,Synapse54,1753801593706,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,102755.36,102755.36,24624561090.5,1237538.7672922572,1753801593706,Synapse54,1753801593706,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,94514.69,94514.69,380327320475.0,4323366.579971259,1753801593706,Synapse54,1753801593706,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,84741.75,84741.75,39978887685.5,2171889.905015521,1753801593706,Synapse54,1753801593706,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,79894.99,79894.99,3810924397.5,557635.8571484805,1753801593706,Synapse54,1753801593706,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,81603.07,81603.07,1313913827.0,254093.22841298912,1753801593706,Synapse54,1753801593706,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753801593706,Synapse54,1753801593706,Synapse54
21,"G1B (Quebec, QC)",G1B,136142.68,136142.68,87273797.0,41431.67400838665,1753801593706,Synapse54,1753801593706,Synapse54
22,"G1C (Quebec, QC)",G1C,108331.84,108331.84,42832173.5,38990.399766328665,1753801593706,Synapse54,1753801593706,Synapse54
23,"G1E (Quebec, QC)",G1E,85628.95,85628.95,21963715.5,24460.60804483201,1753801593706,Synapse54,1753801593706,Synapse54
24,"G1G (Quebec, QC)",G1G,105792.18,105792.18,23261499.5,21244.010790424363,1753801593706,Synapse54,1753801593706,Synapse54
25,"G1H (Quebec, QC)",G1H,87622.97,87622.97,17070653.5,16728.070206687444,1753801593706,Synapse54,1753801593706,Synapse54
26,"G1J (Quebec, QC)",G1J,73002.86,73002.86,15486417.5,18318.282612942763,1753801593706,Synapse54,1753801593706,Synapse54
27,"G1K (Quebec, QC)",G1K,74164.99,74164.99,9532326.5,27604.32226056824,1753801593706,Synapse54,1753801593706,Synapse54
28,"G1L (Quebec, QC)",G1L,73453.82,73453.82,8545974.0,13500.51656374446,1753801593706,Synapse54,1753801593706,Synapse54
29,"G1M (Quebec, QC)",G1M,83270.39,83270.39,17720734.5,19033.029965482125,1753801593706,Synapse54,1753801593706,Synapse54
30,"G1N (Quebec, QC)",G1N,71854.33,71854.33,13120575.0,20830.816804197915,1753801593706,Synapse54,1753801593706,Synapse54
31,"G1P (Quebec, QC)",G1P,87191.94,87191.94,23560383.5,22665.24353657779,1753801593706,Synapse54,1753801593706,Synapse54
32,"G1R (Quebec, QC)",G1R,81726.3,81726.3,6291861.0,12661.880571938687,1753801593706,Synapse54,1753801593706,Synapse54
33,"G1S (Quebec, QC)",G1S,104041.32,104041.32,11216915.28125,15661.567182113036,1753801593706,Synapse54,1753801593706,Synapse54
34,"G1T (Quebec, QC)",G1T,157251.62,157251.62,7077771.5,17602.81541790566,1753801593706,Synapse54,1753801593706,Synapse54
35,"G1V (Quebec, QC)",G1V,77867.31,77867.31,15730102.0,17979.112647239195,1753801593706,Synapse54,1753801593706,Synapse54
36,"G1W (Quebec, QC)",G1W,112367.54,112367.54,17198639.5,21801.94208985731,1753801593706,Synapse54,1753801593706,Synapse54
37,"G1X (Quebec, QC)",G1X,97493.98,97493.98,27103326.0,27337.079999136095,1753801593706,Synapse54,1753801593706,Synapse54
38,"G1Y (Quebec, QC)",G1Y,146541.43,146541.43,14262450.5,17939.63034370007,1753801593706,Synapse54,1753801593706,Synapse54
39,"G2A (Quebec, QC)",G2A,110902.46,110902.46,47271562.5,46123.605864486206,1753801593706,Synapse54,1753801593706,Synapse54
40,"G2B (Quebec, QC)",G2B,104925.93,104925.93,24328924.5,22475.77399457994,1753801593706,Synapse54,1753801593706,Synapse54
41,"G2C (Quebec, QC)",G2C,110140.85,110140.85,18432837.5,23131.360190110616,1753801593706,Synapse54,1753801593706,Synapse54
42,"G2E (Quebec, QC)",G2E,114174.58,114174.58,27707972.5,23903.30796073271,1753801593706,Synapse54,1753801593706,Synapse54
43,"G2G (Quebec, QC)",G2G,120730.01,120730.01,101799470.5,45275.85044604026,1753801593706,Synapse54,1753801593706,Synapse54
44,"G2J (Quebec, QC)",G2J,90013.72,90013.72,5412144.5,9862.14108739791,1753801593706,Synapse54,1753801593706,Synapse54
45,"G2K (Quebec, QC)",G2K,113897.04,113897.04,30349819.5,31745.12588440936,1753801593706,Synapse54,1753801593706,Synapse54
46,"G2L (Quebec, QC)",G2L,107227.89,107227.89,25127554.5,22805.966601331882,1753801593706,Synapse54,1753801593706,Synapse54
47,"G2M (Quebec, QC)",G2M,135964.61,135964.61,44779584.0,34604.08492657024,1753801593706,Synapse54,1753801593706,Synapse54
48,"G2N (Quebec, QC)",G2N,129108.94,129108.94,31035228.5,31796.238354131285,1753801593706,Synapse54,1753801593706,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,145830.33,145830.33,188876871.0,74472.4753726992,1753801593706,Synapse54,1753801593706,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,175751.02,175751.02,139197319.5,64423.23371099803,1753801593706,Synapse54,1753801593706,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,145344.57,145344.57,1330849498.5,175874.56931808186,1753801593706,Synapse54,1753801593706,Synapse54
52,"G3E (Quebec, QC)",G3E,131645.85,131645.85,18489209.0,20620.301807363456,1753801593706,Synapse54,1753801593706,Synapse54
53,"G3G (Quebec, QC)",G3G,124837.27,124837.27,83002473.0,53192.861834286385,1753801593706,Synapse54,1753801593706,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,114754.15,114754.15,279179695.0,100842.62742278028,1753801593706,Synapse54,1753801593706,Synapse54
55,"G3J (Quebec, QC)",G3J,118911.39,118911.39,85589532.0,54640.87343863765,1753801593706,Synapse54,1753801593706,Synapse54
56,"G3K (Quebec, QC)",G3K,136015.81,136015.81,66926850.0,43417.9629367511,1753801593706,Synapse54,1753801593706,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,95913.7,95913.7,2499240685.5,293711.66523440205,1753801593706,Synapse54,1753801593706,Synapse54
