OBJECTID,DESCRIPTION,ID,P5YHRIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,106276.36,106276.36,72760823790.5,3028971.212854449,1753801778344,Synapse54,1753801778344,Synapse54
2,"G0C (New Richmond, QC)",G0C,78840.54,78840.54,22075337398.492188,967680.4043130332,1753801778344,Synapse54,1753801778344,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,69920.74,69920.74,17330251329.5,625766.1683453334,1753801778344,Synapse54,1753801778344,Synapse54
4,"G0G (Fermont, QC)",G0G,108217.16,108217.16,488246740388.7383,13452850.295035336,1753801778344,Synapse54,1753801778344,Synapse54
5,"G0H (Pessamit, QC)",G0H,86289.39,86289.39,123893631441.5,3217405.6747955983,1753801778344,Synapse54,1753801778344,Synapse54
6,"G0J (Causapscal, QC)",G0J,70787.96,70787.96,30795263589.0,1187342.219615261,1753801778344,Synapse54,1753801778344,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,81145.72,81145.72,8964482448.5,530269.0600895187,1753801778344,Synapse54,1753801778344,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,81309.68,81309.68,23226305480.5,1017338.6635460304,1753801778344,Synapse54,1753801778344,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,83737.26,83737.26,6354665678.5,678703.1375911924,1753801778344,Synapse54,1753801778344,Synapse54
10,"G0N (Disraeli, QC)",G0N,79858.54,79858.54,3579667597.5,610336.508657239,1753801778344,Synapse54,1753801778344,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,79711.81,79711.81,1964344449.0,415202.1877963802,1753801778344,Synapse54,1753801778344,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,83883.03,83883.03,17275130739.5,769075.2097201231,1753801778344,Synapse54,1753801778344,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,92792.94,92792.94,7546000235.5,718279.0049398947,1753801778344,Synapse54,1753801778344,Synapse54
14,"G0T (Forestville, QC)",G0T,79097.53,79097.53,20313438075.0,1270528.890385615,1753801778344,Synapse54,1753801778344,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,96911.48,96911.48,24624561090.5,1237538.7672922572,1753801778344,Synapse54,1753801778344,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,89180.97,89180.97,380327320475.0,4323366.579971259,1753801778344,Synapse54,1753801778344,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,83181.6,83181.6,39978887685.5,2171889.905015521,1753801778344,Synapse54,1753801778344,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,77040.66,77040.66,3810924397.5,557635.8571484805,1753801778344,Synapse54,1753801778344,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,80886.46,80886.46,1313913827.0,254093.22841298912,1753801778344,Synapse54,1753801778344,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753801778344,Synapse54,1753801778344,Synapse54
21,"G1B (Quebec, QC)",G1B,118557.96,118557.96,87273797.0,41431.67400838665,1753801778344,Synapse54,1753801778344,Synapse54
22,"G1C (Quebec, QC)",G1C,101199.94,101199.94,42832173.5,38990.399766328665,1753801778344,Synapse54,1753801778344,Synapse54
23,"G1E (Quebec, QC)",G1E,80676.8,80676.8,21963715.5,24460.60804483201,1753801778344,Synapse54,1753801778344,Synapse54
24,"G1G (Quebec, QC)",G1G,101519.63,101519.63,23261499.5,21244.010790424363,1753801778344,Synapse54,1753801778344,Synapse54
25,"G1H (Quebec, QC)",G1H,81689.95,81689.95,17070653.5,16728.070206687444,1753801778344,Synapse54,1753801778344,Synapse54
26,"G1J (Quebec, QC)",G1J,68691.25,68691.25,15486417.5,18318.282612942763,1753801778344,Synapse54,1753801778344,Synapse54
27,"G1K (Quebec, QC)",G1K,71004.3,71004.3,9532326.5,27604.32226056824,1753801778344,Synapse54,1753801778344,Synapse54
28,"G1L (Quebec, QC)",G1L,68580.23,68580.23,8545974.0,13500.51656374446,1753801778344,Synapse54,1753801778344,Synapse54
29,"G1M (Quebec, QC)",G1M,84497.3,84497.3,17720734.5,19033.029965482125,1753801778344,Synapse54,1753801778344,Synapse54
30,"G1N (Quebec, QC)",G1N,66133.91,66133.91,13120575.0,20830.816804197915,1753801778344,Synapse54,1753801778344,Synapse54
31,"G1P (Quebec, QC)",G1P,82146.06,82146.06,23560383.5,22665.24353657779,1753801778344,Synapse54,1753801778344,Synapse54
32,"G1R (Quebec, QC)",G1R,85378.31,85378.31,6291861.0,12661.880571938687,1753801778344,Synapse54,1753801778344,Synapse54
33,"G1S (Quebec, QC)",G1S,108297.09,108297.09,11216915.28125,15661.567182113036,1753801778344,Synapse54,1753801778344,Synapse54
34,"G1T (Quebec, QC)",G1T,177610.73,177610.73,7077771.5,17602.81541790566,1753801778344,Synapse54,1753801778344,Synapse54
35,"G1V (Quebec, QC)",G1V,75323.57,75323.57,15730102.0,17979.112647239195,1753801778344,Synapse54,1753801778344,Synapse54
36,"G1W (Quebec, QC)",G1W,123133.56,123133.56,17198639.5,21801.94208985731,1753801778344,Synapse54,1753801778344,Synapse54
37,"G1X (Quebec, QC)",G1X,106906.24,106906.24,27103326.0,27337.079999136095,1753801778344,Synapse54,1753801778344,Synapse54
38,"G1Y (Quebec, QC)",G1Y,143254.72,143254.72,14262450.5,17939.63034370007,1753801778344,Synapse54,1753801778344,Synapse54
39,"G2A (Quebec, QC)",G2A,105909.02,105909.02,47271562.5,46123.605864486206,1753801778344,Synapse54,1753801778344,Synapse54
40,"G2B (Quebec, QC)",G2B,100767.84,100767.84,24328924.5,22475.77399457994,1753801778344,Synapse54,1753801778344,Synapse54
41,"G2C (Quebec, QC)",G2C,107536.49,107536.49,18432837.5,23131.360190110616,1753801778344,Synapse54,1753801778344,Synapse54
42,"G2E (Quebec, QC)",G2E,108309.83,108309.83,27707972.5,23903.30796073271,1753801778344,Synapse54,1753801778344,Synapse54
43,"G2G (Quebec, QC)",G2G,112070.08,112070.08,101799470.5,45275.85044604026,1753801778344,Synapse54,1753801778344,Synapse54
44,"G2J (Quebec, QC)",G2J,86110.47,86110.47,5412144.5,9862.14108739791,1753801778344,Synapse54,1753801778344,Synapse54
45,"G2K (Quebec, QC)",G2K,108761.9,108761.9,30349819.5,31745.12588440936,1753801778344,Synapse54,1753801778344,Synapse54
46,"G2L (Quebec, QC)",G2L,113437.61,113437.61,25127554.5,22805.966601331882,1753801778344,Synapse54,1753801778344,Synapse54
47,"G2M (Quebec, QC)",G2M,130365.11,130365.11,44779584.0,34604.08492657024,1753801778344,Synapse54,1753801778344,Synapse54
48,"G2N (Quebec, QC)",G2N,109366.72,109366.72,31035228.5,31796.238354131285,1753801778344,Synapse54,1753801778344,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,143414.14,143414.14,188876871.0,74472.4753726992,1753801778344,Synapse54,1753801778344,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,168101.97,168101.97,139197319.5,64423.23371099803,1753801778344,Synapse54,1753801778344,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,129749.07,129749.07,1330849498.5,175874.56931808186,1753801778344,Synapse54,1753801778344,Synapse54
52,"G3E (Quebec, QC)",G3E,121402.15,121402.15,18489209.0,20620.301807363456,1753801778344,Synapse54,1753801778344,Synapse54
53,"G3G (Quebec, QC)",G3G,108281.17,108281.17,83002473.0,53192.861834286385,1753801778344,Synapse54,1753801778344,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,103380.84,103380.84,279179695.0,100842.62742278028,1753801778344,Synapse54,1753801778344,Synapse54
55,"G3J (Quebec, QC)",G3J,104847.35,104847.35,85589532.0,54640.87343863765,1753801778344,Synapse54,1753801778344,Synapse54
56,"G3K (Quebec, QC)",G3K,120604.84,120604.84,66926850.0,43417.9629367511,1753801778344,Synapse54,1753801778344,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,89726.01,89726.01,2499240685.5,293711.66523440205,1753801778344,Synapse54,1753801778344,Synapse54
58,"G3M (Donnacona, QC)",G3M,88323.13,88323.13,76895468.5,38932.06578942634,1753801778344,Synapse54,1753801778344,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,127100.58,127100.58,179093818.5,91193.27748891739,1753801778344,Synapse54,1753801778344,Synapse54
60,"G3S (Quebec, QC)",G3S,141925.07,141925.07,162242772.5,88360.35793053103,1753801778344,Synapse54,1753801778344,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,81675.18,81675.18,1221045873.0,165284.53951195258,1753801778344,Synapse54,1753801778344,Synapse54
62,"G4A (Clermont, QC)",G4A,82367.75,82367.75,1226794529.0,167560.43929327332,1753801778344,Synapse54,1753801778344,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,103543.27,103543.27,1888740693.0195312,364416.3918226564,1753801778344,Synapse54,1753801778344,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,108306.17,108306.17,13736729.5,31952.335224803264,1753801778344,Synapse54,1753801778344,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,98825.11,98825.11,500054815.0,511013.5871236407,1753801778344,Synapse54,1753801778344,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,72687.6,72687.6,780273522.0,168670.12216022852,1753801778344,Synapse54,1753801778344,Synapse54
67,"G4W (Matane, QC)",G4W,74858.37,74858.37,466220652.0,100520.51806568402,1753801778344,Synapse54,1753801778344,Synapse54
68,"G4X (Gaspe, QC)",G4X,88375.95,88375.95,2615126201.546875,406673.89112098655,1753801778344,Synapse54,1753801778344,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,100748.53,100748.53,1669244051.0,336717.80497552885,1753801778344,Synapse54,1753801778344,Synapse54
70,"G5A (La Malbaie, QC)",G5A,80856.93,80856.93,905867526.5,176911.55690727945,1753801778344,Synapse54,1753801778344,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,108789.42,108789.42,742256392.5,203831.72178845698,1753801778344,Synapse54,1753801778344,Synapse54
