OBJECTID,DESCRIPTION,ID,P5YHRIMED,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,87377.3,87377.3,72760823790.5,3028971.212854449,1753802057568,Synapse54,1753802057568,Synapse54
2,"G0C (New Richmond, QC)",G0C,61273.93,61273.93,22075337398.492188,967680.4043130332,1753802057568,Synapse54,1753802057568,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,55386.68,55386.68,17330251329.5,625766.1683453334,1753802057568,Synapse54,1753802057568,Synapse54
4,"G0G (Fermont, QC)",G0G,89545.15,89545.15,488246740388.7383,13452850.295035336,1753802057568,Synapse54,1753802057568,Synapse54
5,"G0H (Pessamit, QC)",G0H,67267.15,67267.15,123893631441.5,3217405.6747955983,1753802057568,Synapse54,1753802057568,Synapse54
6,"G0J (Causapscal, QC)",G0J,55753.32,55753.32,30795263589.0,1187342.219615261,1753802057568,Synapse54,1753802057568,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,65864.81,65864.81,8964482448.5,530269.0600895187,1753802057568,Synapse54,1753802057568,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,64040.05,64040.05,23226305480.5,1017338.6635460304,1753802057568,Synapse54,1753802057568,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,67598.01,67598.01,6354665678.5,678703.1375911924,1753802057568,Synapse54,1753802057568,Synapse54
10,"G0N (Disraeli, QC)",G0N,64689.67,64689.67,3579667597.5,610336.508657239,1753802057568,Synapse54,1753802057568,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,63476.28,63476.28,1964344449.0,415202.1877963802,1753802057568,Synapse54,1753802057568,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,67758.97,67758.97,17275130739.5,769075.2097201231,1753802057568,Synapse54,1753802057568,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,77356.49,77356.49,7546000235.5,718279.0049398947,1753802057568,Synapse54,1753802057568,Synapse54
14,"G0T (Forestville, QC)",G0T,61618.22,61618.22,20313438075.0,1270528.890385615,1753802057568,Synapse54,1753802057568,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,80435.35,80435.35,24624561090.5,1237538.7672922572,1753802057568,Synapse54,1753802057568,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,73804.43,73804.43,380327320475.0,4323366.579971259,1753802057568,Synapse54,1753802057568,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,66330.2,66330.2,39978887685.5,2171889.905015521,1753802057568,Synapse54,1753802057568,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,62462.28,62462.28,3810924397.5,557635.8571484805,1753802057568,Synapse54,1753802057568,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,64124.25,64124.25,1313913827.0,254093.22841298912,1753802057568,Synapse54,1753802057568,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753802057568,Synapse54,1753802057568,Synapse54
21,"G1B (Quebec, QC)",G1B,106400.39,106400.39,87273797.0,41431.67400838665,1753802057568,Synapse54,1753802057568,Synapse54
22,"G1C (Quebec, QC)",G1C,84960.35,84960.35,42832173.5,38990.399766328665,1753802057568,Synapse54,1753802057568,Synapse54
23,"G1E (Quebec, QC)",G1E,67264.85,67264.85,21963715.5,24460.60804483201,1753802057568,Synapse54,1753802057568,Synapse54
24,"G1G (Quebec, QC)",G1G,82689.54,82689.54,23261499.5,21244.010790424363,1753802057568,Synapse54,1753802057568,Synapse54
25,"G1H (Quebec, QC)",G1H,68888.08,68888.08,17070653.5,16728.070206687444,1753802057568,Synapse54,1753802057568,Synapse54
26,"G1J (Quebec, QC)",G1J,57031.43,57031.43,15486417.5,18318.282612942763,1753802057568,Synapse54,1753802057568,Synapse54
27,"G1K (Quebec, QC)",G1K,57757.45,57757.45,9532326.5,27604.32226056824,1753802057568,Synapse54,1753802057568,Synapse54
28,"G1L (Quebec, QC)",G1L,57173.08,57173.08,8545974.0,13500.51656374446,1753802057568,Synapse54,1753802057568,Synapse54
29,"G1M (Quebec, QC)",G1M,65682.91,65682.91,17720734.5,19033.029965482125,1753802057568,Synapse54,1753802057568,Synapse54
30,"G1N (Quebec, QC)",G1N,56156.35,56156.35,13120575.0,20830.816804197915,1753802057568,Synapse54,1753802057568,Synapse54
31,"G1P (Quebec, QC)",G1P,68643.05,68643.05,23560383.5,22665.24353657779,1753802057568,Synapse54,1753802057568,Synapse54
32,"G1R (Quebec, QC)",G1R,64132.61,64132.61,6291861.0,12661.880571938687,1753802057568,Synapse54,1753802057568,Synapse54
33,"G1S (Quebec, QC)",G1S,81489.48,81489.48,11216915.28125,15661.567182113036,1753802057568,Synapse54,1753802057568,Synapse54
34,"G1T (Quebec, QC)",G1T,122843.18,122843.18,7077771.5,17602.81541790566,1753802057568,Synapse54,1753802057568,Synapse54
35,"G1V (Quebec, QC)",G1V,61066.63,61066.63,15730102.0,17979.112647239195,1753802057568,Synapse54,1753802057568,Synapse54
36,"G1W (Quebec, QC)",G1W,87725.97,87725.97,17198639.5,21801.94208985731,1753802057568,Synapse54,1753802057568,Synapse54
37,"G1X (Quebec, QC)",G1X,76449.18,76449.18,27103326.0,27337.079999136095,1753802057568,Synapse54,1753802057568,Synapse54
38,"G1Y (Quebec, QC)",G1Y,114583.5,114583.5,14262450.5,17939.63034370007,1753802057568,Synapse54,1753802057568,Synapse54
39,"G2A (Quebec, QC)",G2A,86814.31,86814.31,47271562.5,46123.605864486206,1753802057568,Synapse54,1753802057568,Synapse54
40,"G2B (Quebec, QC)",G2B,82021.76,82021.76,24328924.5,22475.77399457994,1753802057568,Synapse54,1753802057568,Synapse54
41,"G2C (Quebec, QC)",G2C,86027.47,86027.47,18432837.5,23131.360190110616,1753802057568,Synapse54,1753802057568,Synapse54
42,"G2E (Quebec, QC)",G2E,89484.81,89484.81,27707972.5,23903.30796073271,1753802057568,Synapse54,1753802057568,Synapse54
