OBJECTID,DESCRIPTION,ID,P5YHRIAGG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,4313646992.36,4313646992.36,72760823790.5,3028971.212854449,1753802168379,Synapse54,1753802168379,Synapse54
2,"G0C (New Richmond, QC)",G0C,1794030214.54,1794030214.54,22075337398.492188,967680.4043130332,1753802168379,Synapse54,1753802168379,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,166921299.67,166921299.67,17330251329.5,625766.1683453334,1753802168379,Synapse54,1753802168379,Synapse54
4,"G0G (Fermont, QC)",G0G,747046775.84,747046775.84,488246740388.7383,13452850.295035336,1753802168379,Synapse54,1753802168379,Synapse54
5,"G0H (Pessamit, QC)",G0H,406654936.51,406654936.51,123893631441.5,3217405.6747955983,1753802168379,Synapse54,1753802168379,Synapse54
6,"G0J (Causapscal, QC)",G0J,974186308.29,974186308.29,30795263589.0,1187342.219615261,1753802168379,Synapse54,1753802168379,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,471688058.94,471688058.94,8964482448.5,530269.0600895187,1753802168379,Synapse54,1753802168379,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,2267002326.29,2267002326.29,23226305480.5,1017338.6635460304,1753802168379,Synapse54,1753802168379,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,1312706184.88,1312706184.88,6354665678.5,678703.1375911924,1753802168379,Synapse54,1753802168379,Synapse54
10,"G0N (Disraeli, QC)",G0N,756684988.97,756684988.97,3579667597.5,610336.508657239,1753802168379,Synapse54,1753802168379,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,244954887.27,244954887.27,1964344449.0,415202.1877963802,1753802168379,Synapse54,1753802168379,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,3271592498.87,3271592498.87,17275130739.5,769075.2097201231,1753802168379,Synapse54,1753802168379,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,3098169458.96,3098169458.96,7546000235.5,718279.0049398947,1753802168379,Synapse54,1753802168379,Synapse54
14,"G0T (Forestville, QC)",G0T,502723250.29,502723250.29,20313438075.0,1270528.890385615,1753802168379,Synapse54,1753802168379,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,844462007.99,844462007.99,24624561090.5,1237538.7672922572,1753802168379,Synapse54,1753802168379,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,1396532111.57,1396532111.57,380327320475.0,4323366.579971259,1753802168379,Synapse54,1753802168379,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,2348159471.44,2348159471.44,39978887685.5,2171889.905015521,1753802168379,Synapse54,1753802168379,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,369759883.43,369759883.43,3810924397.5,557635.8571484805,1753802168379,Synapse54,1753802168379,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,336481973.12,336481973.12,1313913827.0,254093.22841298912,1753802168379,Synapse54,1753802168379,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753802168379,Synapse54,1753802168379,Synapse54
21,"G1B (Quebec, QC)",G1B,867202248.03,867202248.03,87273797.0,41431.67400838665,1753802168379,Synapse54,1753802168379,Synapse54
22,"G1C (Quebec, QC)",G1C,1716455907.55,1716455907.55,42832173.5,38990.399766328665,1753802168379,Synapse54,1753802168379,Synapse54
23,"G1E (Quebec, QC)",G1E,1199359190.01,1199359190.01,21963715.5,24460.60804483201,1753802168379,Synapse54,1753802168379,Synapse54
24,"G1G (Quebec, QC)",G1G,1208050828.47,1208050828.47,23261499.5,21244.010790424363,1753802168379,Synapse54,1753802168379,Synapse54
25,"G1H (Quebec, QC)",G1H,1278934459.71,1278934459.71,17070653.5,16728.070206687444,1753802168379,Synapse54,1753802168379,Synapse54
26,"G1J (Quebec, QC)",G1J,951098743.86,951098743.86,15486417.5,18318.282612942763,1753802168379,Synapse54,1753802168379,Synapse54
27,"G1K (Quebec, QC)",G1K,846982832.86,846982832.86,9532326.5,27604.32226056824,1753802168379,Synapse54,1753802168379,Synapse54
28,"G1L (Quebec, QC)",G1L,927557997.58,927557997.58,8545974.0,13500.51656374446,1753802168379,Synapse54,1753802168379,Synapse54
29,"G1M (Quebec, QC)",G1M,938935460.33,938935460.33,17720734.5,19033.029965482125,1753802168379,Synapse54,1753802168379,Synapse54
30,"G1N (Quebec, QC)",G1N,390755844.67,390755844.67,13120575.0,20830.816804197915,1753802168379,Synapse54,1753802168379,Synapse54
