OBJECTID,DESCRIPTION,ID,HSTE001,HSTE001_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,4149372468.63,106992.22,106992.22,72760823790.5,3028971.212854449,1753809572619,Synapse54,1753809572619,Synapse54
2,"G0C (New Richmond, QC)",G0C,1784955993.08,77796.2,77796.2,22075337398.492188,967680.4043130332,1753809572619,Synapse54,1753809572619,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,170144325.77,70047.07,70047.07,17330251329.5,625766.1683453334,1753809572619,Synapse54,1753809572619,Synapse54
4,"G0G (Fermont, QC)",G0G,721064286.54,102876.91,102876.91,488246740388.7383,13452850.295035336,1753809572619,Synapse54,1753809572619,Synapse54
5,"G0H (Pessamit, QC)",G0H,415521612.75,86011.51,86011.51,123893631441.5,3217405.6747955983,1753809572619,Synapse54,1753809572619,Synapse54
6,"G0J (Causapscal, QC)",G0J,1012689712.7,72740.25,72740.25,30795263589.0,1187342.219615261,1753809572619,Synapse54,1753809572619,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,488301276.77,84088.39,84088.39,8964482448.5,530269.0600895187,1753809572619,Synapse54,1753809572619,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,2306293008.13,82579.96,82579.96,23226305480.5,1017338.6635460304,1753809572619,Synapse54,1753809572619,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,1344964213.16,86426.18,86426.18,6354665678.5,678703.1375911924,1753809572619,Synapse54,1753809572619,Synapse54
10,"G0N (Disraeli, QC)",G0N,777637809.35,82394.34,82394.34,3579667597.5,610336.508657239,1753809572619,Synapse54,1753809572619,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,255617928.57,83809.16,83809.16,1964344449.0,415202.1877963802,1753809572619,Synapse54,1753809572619,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,3337813274.84,85644.25,85644.25,17275130739.5,769075.2097201231,1753809572619,Synapse54,1753809572619,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,3025804618.67,95007.68,95007.68,7546000235.5,718279.0049398947,1753809572619,Synapse54,1753809572619,Synapse54
14,"G0T (Forestville, QC)",G0T,521178671.04,80255.42,80255.42,20313438075.0,1270528.890385615,1753809572619,Synapse54,1753809572619,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,857866504.53,100641.31,100641.31,24624561090.5,1237538.7672922572,1753809572619,Synapse54,1753809572619,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,1404675128.77,90008.66,90008.66,380327320475.0,4323366.579971259,1753809572619,Synapse54,1753809572619,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,2371188105.0,85245.47,85245.47,39978887685.5,2171889.905015521,1753809572619,Synapse54,1753809572619,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,372461855.24,77969.83,77969.83,3810924397.5,557635.8571484805,1753809572619,Synapse54,1753809572619,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,342617981.03,84785.44,84785.44,1313913827.0,254093.22841298912,1753809572619,Synapse54,1753809572619,Synapse54
20,"G1A (Quebec, QC)",G1A,0.0,0.0,0.0,82312.0,1266.954133788689,1753809572619,Synapse54,1753809572619,Synapse54
21,"G1B (Quebec, QC)",G1B,853782385.4,119745.08,119745.08,87273797.0,41431.67400838665,1753809572619,Synapse54,1753809572619,Synapse54
22,"G1C (Quebec, QC)",G1C,1697125017.82,101752.2,101752.2,42832173.5,38990.399766328665,1753809572619,Synapse54,1753809572619,Synapse54
23,"G1E (Quebec, QC)",G1E,1171439045.62,80428.36,80428.36,21963715.5,24460.60804483201,1753809572619,Synapse54,1753809572619,Synapse54
24,"G1G (Quebec, QC)",G1G,1180306532.82,100665.8,100665.8,23261499.5,21244.010790424363,1753809572619,Synapse54,1753809572619,Synapse54
25,"G1H (Quebec, QC)",G1H,1245295545.62,80921.15,80921.15,17070653.5,16728.070206687444,1753809572619,Synapse54,1753809572619,Synapse54
26,"G1J (Quebec, QC)",G1J,914919595.04,67086.05,67086.05,15486417.5,18318.282612942763,1753809572619,Synapse54,1753809572619,Synapse54
27,"G1K (Quebec, QC)",G1K,816899925.5,69695.41,69695.41,9532326.5,27604.32226056824,1753809572619,Synapse54,1753809572619,Synapse54
28,"G1L (Quebec, QC)",G1L,896931441.54,66910.22,66910.22,8545974.0,13500.51656374446,1753809572619,Synapse54,1753809572619,Synapse54
29,"G1M (Quebec, QC)",G1M,883163070.42,81615.66,81615.66,17720734.5,19033.029965482125,1753809572619,Synapse54,1753809572619,Synapse54
30,"G1N (Quebec, QC)",G1N,371922529.68,64513.88,64513.88,13120575.0,20830.816804197915,1753809572619,Synapse54,1753809572619,Synapse54
31,"G1P (Quebec, QC)",G1P,670003248.56,82614.46,82614.46,23560383.5,22665.24353657779,1753809572619,Synapse54,1753809572619,Synapse54
32,"G1R (Quebec, QC)",G1R,867209233.85,82434.34,82434.34,6291861.0,12661.880571938687,1753809572619,Synapse54,1753809572619,Synapse54
33,"G1S (Quebec, QC)",G1S,1503441565.15,104116.45,104116.45,11216915.28125,15661.567182113036,1753809572619,Synapse54,1753809572619,Synapse54
34,"G1T (Quebec, QC)",G1T,521711570.99,179529.1,179529.1,7077771.5,17602.81541790566,1753809572619,Synapse54,1753809572619,Synapse54
35,"G1V (Quebec, QC)",G1V,995597469.54,75965.01,75965.01,15730102.0,17979.112647239195,1753809572619,Synapse54,1753809572619,Synapse54
36,"G1W (Quebec, QC)",G1W,1341028548.1,120422.82,120422.82,17198639.5,21801.94208985731,1753809572619,Synapse54,1753809572619,Synapse54
37,"G1X (Quebec, QC)",G1X,1442771061.26,105938.11,105938.11,27103326.0,27337.079999136095,1753809572619,Synapse54,1753809572619,Synapse54
38,"G1Y (Quebec, QC)",G1Y,815193348.27,141207.92,141207.92,14262450.5,17939.63034370007,1753809572619,Synapse54,1753809572619,Synapse54
39,"G2A (Quebec, QC)",G2A,882988372.13,104731.16,104731.16,47271562.5,46123.605864486206,1753809572619,Synapse54,1753809572619,Synapse54
40,"G2B (Quebec, QC)",G2B,1146134156.99,100520.45,100520.45,24328924.5,22475.77399457994,1753809572619,Synapse54,1753809572619,Synapse54
41,"G2C (Quebec, QC)",G2C,659633246.31,105880.14,105880.14,18432837.5,23131.360190110616,1753809572619,Synapse54,1753809572619,Synapse54
42,"G2E (Quebec, QC)",G2E,1055939924.41,109548.7,109548.7,27707972.5,23903.30796073271,1753809572619,Synapse54,1753809572619,Synapse54
43,"G2G (Quebec, QC)",G2G,549811194.58,113714.83,113714.83,101799470.5,45275.85044604026,1753809572619,Synapse54,1753809572619,Synapse54
44,"G2J (Quebec, QC)",G2J,157884031.99,89099.34,89099.34,5412144.5,9862.14108739791,1753809572619,Synapse54,1753809572619,Synapse54
45,"G2K (Quebec, QC)",G2K,786291991.26,108066.52,108066.52,30349819.5,31745.12588440936,1753809572619,Synapse54,1753809572619,Synapse54
46,"G2L (Quebec, QC)",G2L,762310376.77,111775.72,111775.72,25127554.5,22805.966601331882,1753809572619,Synapse54,1753809572619,Synapse54
47,"G2M (Quebec, QC)",G2M,327834330.71,132458.32,132458.32,44779584.0,34604.08492657024,1753809572619,Synapse54,1753809572619,Synapse54
48,"G2N (Quebec, QC)",G2N,411865070.38,113869.25,113869.25,31035228.5,31796.238354131285,1753809572619,Synapse54,1753809572619,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1298082724.32,141882.47,141882.47,188876871.0,74472.4753726992,1753809572619,Synapse54,1753809572619,Synapse54
