OBJECTID,DESCRIPTION,ID,P5YTENHHD,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,"G0A (Sainte-Anne-De-Beaupre, QC)",G0A,40589,40589,72760823790.5,3028971.212854449,1753799558460,Synapse54,1753799558460,Synapse54
2,"G0C (New Richmond, QC)",G0C,22755,22755,22075337398.492188,967680.4043130332,1753799558460,Synapse54,1753799558460,Synapse54
3,"G0E (Grande-Vallee, QC)",G0E,2387,2387,17330251329.5,625766.1683453334,1753799558460,Synapse54,1753799558460,Synapse54
4,"G0G (Fermont, QC)",G0G,6903,6903,488246740388.7383,13452850.295035336,1753799558460,Synapse54,1753799558460,Synapse54
5,"G0H (Pessamit, QC)",G0H,4713,4713,123893631441.5,3217405.6747955983,1753799558460,Synapse54,1753799558460,Synapse54
6,"G0J (Causapscal, QC)",G0J,13762,13762,30795263589.0,1187342.219615261,1753799558460,Synapse54,1753799558460,Synapse54
7,"G0K (Sainte-Luce, QC)",G0K,5813,5813,8964482448.5,530269.0600895187,1753799558460,Synapse54,1753799558460,Synapse54
8,"G0L (Trois-Pistoles, QC)",G0L,27881,27881,23226305480.5,1017338.6635460304,1753799558460,Synapse54,1753799558460,Synapse54
9,"G0M (Saint-Prosper-De-Dorchester, QC)",G0M,15676,15676,6354665678.5,678703.1375911924,1753799558460,Synapse54,1753799558460,Synapse54
10,"G0N (Disraeli, QC)",G0N,9475,9475,3579667597.5,610336.508657239,1753799558460,Synapse54,1753799558460,Synapse54
11,"G0P (Ham-Nord, QC)",G0P,3073,3073,1964344449.0,415202.1877963802,1753799558460,Synapse54,1753799558460,Synapse54
12,"G0R (La Pocatiere, QC)",G0R,39002,39002,17275130739.5,769075.2097201231,1753799558460,Synapse54,1753799558460,Synapse54
13,"G0S (Saint-Apollinaire, QC)",G0S,33388,33388,7546000235.5,718279.0049398947,1753799558460,Synapse54,1753799558460,Synapse54
14,"G0T (Forestville, QC)",G0T,6356,6356,20313438075.0,1270528.890385615,1753799558460,Synapse54,1753799558460,Synapse54
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,8714,8714,24624561090.5,1237538.7672922572,1753799558460,Synapse54,1753799558460,Synapse54
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,15660,15660,380327320475.0,4323366.579971259,1753799558460,Synapse54,1753799558460,Synapse54
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,28229,28229,39978887685.5,2171889.905015521,1753799558460,Synapse54,1753799558460,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,4800,4800,3810924397.5,557635.8571484805,1753799558460,Synapse54,1753799558460,Synapse54
