OBJECTID,DESCRIPTION,ID,DIVINDX_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,65.7,65.7,527471250.0,162187.00041854146,1756053718998,Synapse54,1756053718998,Synapse54
2,92322 (Cedarpines Park),92322,66.4,66.4,23482500.0,36314.45693055894,1756053718998,Synapse54,1756053718998,Synapse54
3,92325 (Crestline),92325,71.3,71.3,40745000.0,36360.74748998447,1756053718998,Synapse54,1756053718998,Synapse54
4,85334 (Ehrenberg),85334,76.8,76.8,14281250.0,17788.853656653973,1756053718998,Synapse54,1756053718998,Synapse54
5,92327 (Daggett),92327,82.6,82.6,117928750.0,70424.41944943395,1756053718998,Synapse54,1756053718998,Synapse54
6,85344 (Parker),85344,83.5,83.5,2314440000.0,344326.42202693666,1756053718998,Synapse54,1756053718998,Synapse54
7,92328 (Death Valley),92328,69.9,69.9,11250172500.0,592837.0236694143,1756053718998,Synapse54,1756053718998,Synapse54
8,85356 (Wellton),85356,76.8,76.8,13072497500.0,801783.4171452732,1756053718998,Synapse54,1756053718998,Synapse54
9,92324 (Colton),92324,81.2,81.2,103893750.0,95493.09326340992,1756053718998,Synapse54,1756053718998,Synapse54
10,85364 (Yuma),85364,81.7,81.7,110230000.0,45460.76683107735,1756053718998,Synapse54,1756053718998,Synapse54
11,85365 (Yuma),85365,82.2,82.2,1266628750.0,392610.306711916,1756053718998,Synapse54,1756053718998,Synapse54
12,86403 (Lake Havasu City),86403,58.2,58.2,59838750.0,57038.76479084641,1756053718998,Synapse54,1756053718998,Synapse54
13,86404 (Lake Havasu City),86404,50.0,50.0,742061250.0,137802.6121169432,1756053718998,Synapse54,1756053718998,Synapse54
14,86406 (Lake Havasu City),86406,49.1,49.1,938367500.0,155025.73963829104,1756053718998,Synapse54,1756053718998,Synapse54
15,86426 (Fort Mohave),86426,62.3,62.3,126391250.0,55703.99409195367,1756053718998,Synapse54,1756053718998,Synapse54
16,86436 (Topock),86436,43.2,43.2,270866250.0,72492.56980588361,1756053718998,Synapse54,1756053718998,Synapse54
17,86440 (Mohave Valley),86440,65.8,65.8,366532500.0,87291.4552011968,1756053718998,Synapse54,1756053718998,Synapse54
18,89047 (Silverpeak),89047,61.2,61.2,5060995000.0,547722.7565949309,1756053718998,Synapse54,1756053718998,Synapse54
19,89124 (Las Vegas),89124,59.1,59.1,2943311250.0,385730.5180699903,1756053718998,Synapse54,1756053718998,Synapse54
20,89402 (Crystal Bay),89402,38.4,38.4,3416250.0,9341.781768582085,1756053718998,Synapse54,1756053718998,Synapse54
21,89405 (Empire),89405,72.2,72.2,5973371250.0,397551.10654173396,1756053718998,Synapse54,1756053718998,Synapse54
22,89410 (Gardnerville),89410,54.3,54.3,911897500.0,254260.11796105534,1756053718998,Synapse54,1756053718998,Synapse54
23,89444 (Wellington),89444,50.2,50.2,1022086250.0,275733.5588463532,1756053718998,Synapse54,1756053718998,Synapse54
24,90001 (Los Angeles),90001,62.7,62.7,13393750.0,16340.659532717696,1756053718998,Synapse54,1756053718998,Synapse54
25,90002 (Los Angeles),90002,74.1,74.1,11766250.0,16173.923343432905,1756053718998,Synapse54,1756053718998,Synapse54
26,90003 (Los Angeles),90003,74.0,74.0,13241250.0,18664.620780825342,1756053718998,Synapse54,1756053718998,Synapse54
27,90004 (Los Angeles),90004,87.7,87.7,11791250.0,16167.234121431859,1756053718998,Synapse54,1756053718998,Synapse54
28,90005 (Los Angeles),90005,86.3,86.3,5742500.0,15666.089913073765,1756053718998,Synapse54,1756053718998,Synapse54
29,90006 (Los Angeles),90006,82.0,82.0,7090000.0,11069.609074486658,1756053718998,Synapse54,1756053718998,Synapse54
30,90007 (Los Angeles),90007,88.2,88.2,9630000.0,20031.668637488703,1756053718998,Synapse54,1756053718998,Synapse54
31,90008 (Los Angeles),90008,76.2,76.2,13407500.0,21538.23526651654,1756053718998,Synapse54,1756053718998,Synapse54
32,90011 (Los Angeles),90011,62.8,62.8,16410000.0,16361.539450445553,1756053718998,Synapse54,1756053718998,Synapse54
33,90012 (Los Angeles),90012,86.1,86.1,13931400.3515625,20327.043470204575,1756053718998,Synapse54,1756053718998,Synapse54
34,90013 (Los Angeles),90013,87.0,87.0,2611250.0,8094.00570148478,1756053718998,Synapse54,1756053718998,Synapse54
35,90014 (Los Angeles),90014,85.6,85.6,1095000.0,4486.251235676081,1756053718998,Synapse54,1756053718998,Synapse54
36,90015 (Los Angeles),90015,89.1,89.1,6328750.0,12881.858660368249,1756053718998,Synapse54,1756053718998,Synapse54
37,90016 (Los Angeles),90016,87.2,87.2,13692500.0,21216.330967020443,1756053718998,Synapse54,1756053718998,Synapse54
38,90017 (Los Angeles),90017,88.2,88.2,2688750.0,7445.126134575988,1756053718998,Synapse54,1756053718998,Synapse54
39,90018 (Los Angeles),90018,84.7,84.7,11716250.0,16707.6231622001,1756053718998,Synapse54,1756053718998,Synapse54
40,90019 (Los Angeles),90019,89.3,89.3,15211250.0,21626.18050449957,1756053718998,Synapse54,1756053718998,Synapse54
41,90020 (Los Angeles),90020,82.9,82.9,4291250.0,13333.206617101114,1756053718998,Synapse54,1756053718998,Synapse54
42,90021 (Los Angeles),90021,87.7,87.7,7687500.0,12811.265929011817,1756053718998,Synapse54,1756053718998,Synapse54
43,90022 (Los Angeles),90022,62.5,62.5,16172500.0,20719.298192130605,1756053718998,Synapse54,1756053718998,Synapse54
44,90023 (Los Angeles),90023,59.1,59.1,15787500.0,25065.231635838325,1756053718998,Synapse54,1756053718998,Synapse54
45,90024 (Los Angeles),90024,73.4,73.4,11217500.0,23565.499157058814,1756053718998,Synapse54,1756053718998,Synapse54
46,90025 (Los Angeles),90025,75.6,75.6,10057500.0,17888.812826310525,1756053718998,Synapse54,1756053718998,Synapse54
47,90026 (Los Angeles),90026,87.8,87.8,15509849.6484375,24218.309029889515,1756053718998,Synapse54,1756053718998,Synapse54
