OBJECTID,DESCRIPTION,ID,MP12206A_B,MP12206A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92322 (Cedarpines Park),92322,58,5.81,5.81,23482500.0,36314.45693055894,1756053897289,Synapse54,1756053897289,Synapse54
2,92325 (Crestline),92325,418,5.25,5.25,40745000.0,36360.74748998447,1756053897289,Synapse54,1756053897289,Synapse54
3,92327 (Daggett),92327,24,7.27,7.27,117928750.0,70424.41944943395,1756053897289,Synapse54,1756053897289,Synapse54
4,92328 (Death Valley),92328,48,8.53,8.53,11250172500.0,592837.0236694143,1756053897289,Synapse54,1756053897289,Synapse54
5,92332 (Essex),92332,6,10.71,10.71,8479478750.0,491222.04307418433,1756053897289,Synapse54,1756053897289,Synapse54
6,92333 (Fawnskin),92333,26,6.03,6.03,9801250.0,23411.774905525286,1756053897289,Synapse54,1756053897289,Synapse54
7,92335 (Fontana),92335,4827,7.16,7.16,65380000.0,40779.92289285877,1756053897289,Synapse54,1756053897289,Synapse54
8,92336 (Fontana),92336,5019,5.92,5.92,78431250.0,47083.67147810428,1756053897289,Synapse54,1756053897289,Synapse54
9,92337 (Fontana),92337,2016,7.29,7.29,50931250.0,35486.09943380774,1756053897289,Synapse54,1756053897289,Synapse54
10,92338 (Ludlow),92338,3,7.89,7.89,2457380000.0,333491.21301942435,1756053897289,Synapse54,1756053897289,Synapse54
11,92339 (Forest Falls),92339,46,4.6,4.6,346780000.0,130998.42700267813,1756053897289,Synapse54,1756053897289,Synapse54
12,92341 (Green Valley Lake),92341,23,6.07,6.07,4170000.0,10148.730814482513,1756053897289,Synapse54,1756053897289,Synapse54
13,92342 (Helendale),92342,337,6.31,6.31,490536250.0,128551.89282404495,1756053897289,Synapse54,1756053897289,Synapse54
14,92344 (Hesperia),92344,1200,6.58,6.58,145977500.0,59094.021951112074,1756053897289,Synapse54,1756053897289,Synapse54
15,92345 (Hesperia),92345,4946,7.72,7.72,299282877.56640625,94717.5221552905,1756053897289,Synapse54,1756053897289,Synapse54
16,92346 (Highland),92346,2780,6.17,6.17,75450000.0,50516.84006554063,1756053897289,Synapse54,1756053897289,Synapse54
17,92347 (Hinkley),92347,50,7.85,7.85,1168466250.0,223429.79570630056,1756053897289,Synapse54,1756053897289,Synapse54
18,92350 (Loma Linda),92350,1,7.69,7.69,325000.0,2662.272482983109,1756053897289,Synapse54,1756053897289,Synapse54
19,92352 (Lake Arrowhead),92352,239,3.97,3.97,34961250.0,39198.68135370152,1756053897289,Synapse54,1756053897289,Synapse54
20,92354 (Loma Linda),92354,1077,5.81,5.81,19262500.0,32113.439694581248,1756053897289,Synapse54,1756053897289,Synapse54
21,92356 (Lucerne Valley),92356,334,7.2,7.2,1747987500.0,262557.9121112412,1756053897289,Synapse54,1756053897289,Synapse54
22,92358 (Lytle Creek),92358,37,6.12,6.12,95396250.0,59237.84705163992,1756053897289,Synapse54,1756053897289,Synapse54
23,92359 (Mentone),92359,466,6.65,6.65,199802500.0,146993.5666282572,1756053897289,Synapse54,1756053897289,Synapse54
24,92363 (Needles),92363,303,6.93,6.93,4995917500.0,522891.6342496342,1756053897289,Synapse54,1756053897289,Synapse54
25,92364 (Nipton),92364,6,10.17,10.17,6662700000.0,495982.3479221093,1756053897289,Synapse54,1756053897289,Synapse54
26,92365 (Newberry Springs),92365,116,6.57,6.57,2015372500.0,283603.0952464746,1756053897289,Synapse54,1756053897289,Synapse54
27,92368 (Oro Grande),92368,52,7.43,7.43,263910000.0,69753.73208396425,1756053897289,Synapse54,1756053897289,Synapse54
28,92371 (Phelan),92371,1101,8.22,8.22,495092500.0,136736.61966382695,1756053897289,Synapse54,1756053897289,Synapse54
29,92372 (Pinon Hills),92372,341,8.25,8.25,74847500.0,51049.10986571373,1756053897289,Synapse54,1756053897289,Synapse54
30,92373 (Redlands),92373,1506,5.35,5.35,163128750.0,89297.98121789581,1756053897289,Synapse54,1756053897289,Synapse54
31,92374 (Redlands),92374,1991,5.49,5.49,76466250.0,52153.39311998224,1756053897289,Synapse54,1756053897289,Synapse54
32,92376 (Rialto),92376,4896,7.69,7.69,49923750.0,39680.21948472379,1756053897289,Synapse54,1756053897289,Synapse54
33,92377 (Rialto),92377,1194,6.93,6.93,36657500.0,29736.2696185539,1756053897289,Synapse54,1756053897289,Synapse54
34,92378 (Rimforest),92378,14,6.64,6.64,1331250.0,5709.97183051108,1756053897289,Synapse54,1756053897289,Synapse54
35,92382 (Running Springs),92382,232,5.21,5.21,72786250.0,41738.801968663414,1756053897289,Synapse54,1756053897289,Synapse54
36,92384 (Shoshone),92384,5,8.2,8.2,6149136250.0,351475.9713463227,1756053897289,Synapse54,1756053897289,Synapse54
37,92385 (Skyforest),92385,12,4.74,4.74,1886250.0,7682.238548172248,1756053897289,Synapse54,1756053897289,Synapse54
38,92386 (Sugarloaf),92386,119,5.98,5.98,5848750.0,12327.857358947613,1756053897289,Synapse54,1756053897289,Synapse54
39,92389 (Tecopa),92389,20,8.55,8.55,1444243750.0,199918.4382367414,1756053897289,Synapse54,1756053897289,Synapse54
40,92391 (Twin Peaks),92391,102,5.32,5.32,7715000.0,18302.818690646458,1756053897289,Synapse54,1756053897289,Synapse54
41,92392 (Victorville),92392,3531,7.37,7.37,137711250.0,60765.98824847531,1756053897289,Synapse54,1756053897289,Synapse54
42,92394 (Victorville),92394,2181,6.78,6.78,121477500.0,88305.61698855038,1756053897289,Synapse54,1756053897289,Synapse54
43,92395 (Victorville),92395,2514,7.17,7.17,68708145.1640625,47846.85223202196,1756053897289,Synapse54,1756053897289,Synapse54
44,92397 (Wrightwood),92397,205,4.89,4.89,140215000.0,84425.74718512002,1756053897289,Synapse54,1756053897289,Synapse54
45,92398 (Yermo),92398,87,9.3,9.3,101285000.0,60647.751832491886,1756053897289,Synapse54,1756053897289,Synapse54
46,92399 (Yucaipa),92399,2652,6.06,6.06,172393750.0,78202.61353775508,1756053897289,Synapse54,1756053897289,Synapse54
47,92401 (San Bernardino),92401,90,7.52,7.52,2431250.0,11026.825288417274,1756053897289,Synapse54,1756053897289,Synapse54
48,92404 (San Bernardino),92404,3413,7.23,7.23,83843750.0,59702.91140620923,1756053897289,Synapse54,1756053897289,Synapse54
49,92405 (San Bernardino),92405,1623,7.29,7.29,19550000.0,22817.92291360122,1756053897289,Synapse54,1756053897289,Synapse54
50,92407 (San Bernardino),92407,3609,7.06,7.06,655255227.2773438,262930.7761975885,1756053897289,Synapse54,1756053897289,Synapse54
51,92408 (San Bernardino),92408,825,7.39,7.39,44236250.0,37255.81035689737,1756053897289,Synapse54,1756053897289,Synapse54
52,92410 (San Bernardino),92410,3015,8.29,8.29,31268750.0,49893.12531732991,1756053897289,Synapse54,1756053897289,Synapse54
53,92411 (San Bernardino),92411,1680,8.79,8.79,17991250.0,18900.85406904243,1756053897289,Synapse54,1756053897289,Synapse54
54,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756053897289,Synapse54,1756053897289,Synapse54
55,92501 (Riverside),92501,1184,6.79,6.79,22537500.0,29360.344553073046,1756053897289,Synapse54,1756053897289,Synapse54
56,92503 (Riverside),92503,4624,6.44,6.44,107661250.0,83524.3000869383,1756053897289,Synapse54,1756053897289,Synapse54
57,85328 (Cibola),85328,9,6.04,6.04,527471250.0,162187.00041854146,1756053897289,Synapse54,1756053897289,Synapse54
58,92504 (Riverside),92504,2688,6.22,6.22,85888750.0,78010.88809143189,1756053897289,Synapse54,1756053897289,Synapse54
59,92505 (Riverside),92505,2662,6.94,6.94,47511250.0,39417.83554710996,1756053897289,Synapse54,1756053897289,Synapse54
60,92506 (Riverside),92506,1747,4.77,4.77,65882500.0,59310.71744028767,1756053897289,Synapse54,1756053897289,Synapse54
61,92507 (Riverside),92507,3565,6.83,6.83,67203750.0,75253.54192382339,1756053897289,Synapse54,1756053897289,Synapse54
62,92508 (Riverside),92508,1370,5.01,5.01,48228750.0,42104.659565642694,1756053897289,Synapse54,1756053897289,Synapse54
63,92509 (Jurupa Valley),92509,4505,7.46,7.46,116866250.0,47428.70899972364,1756053897289,Synapse54,1756053897289,Synapse54
64,92518 (March Air Reserve Base),92518,44,2.9,2.9,38241250.0,32992.245231222754,1756053897289,Synapse54,1756053897289,Synapse54
65,92521 (Riverside),92521,340,8.2,8.2,4610000.0,12148.698391121136,1756053897289,Synapse54,1756053897289,Synapse54
66,92530 (Lake Elsinore),92530,3053,6.72,6.72,438397500.0,112963.1858719261,1756053897289,Synapse54,1756053897289,Synapse54
67,92532 (Lake Elsinore),92532,1333,6.48,6.48,63673750.0,65388.410720160115,1756053897289,Synapse54,1756053897289,Synapse54
68,92536 (Aguanga),92536,184,6.18,6.18,354418750.0,120213.46731845246,1756053897289,Synapse54,1756053897289,Synapse54
69,92539 (Anza),92539,295,7.35,7.35,579091250.0,144201.50706698783,1756053897289,Synapse54,1756053897289,Synapse54
70,92543 (Hemet),92543,2292,7.42,7.42,68802500.0,61367.79442167451,1756053897289,Synapse54,1756053897289,Synapse54
71,92544 (Hemet),92544,2634,7.15,7.15,414903750.0,151338.12956250404,1756053897289,Synapse54,1756053897289,Synapse54
72,92545 (Hemet),92545,2317,6.25,6.25,104872500.0,86730.68453675932,1756053897289,Synapse54,1756053897289,Synapse54
73,92548 (Homeland),92548,612,8.59,8.59,38288750.0,33509.64277118994,1756053897289,Synapse54,1756053897289,Synapse54
74,92549 (Idyllwild),92549,196,5.57,5.57,358915000.0,107864.63976792223,1756053897289,Synapse54,1756053897289,Synapse54
75,92551 (Moreno Valley),92551,1883,7.37,7.37,22831250.0,19728.964458924765,1756053897289,Synapse54,1756053897289,Synapse54
76,92553 (Moreno Valley),92553,4142,7.35,7.35,38985000.0,28591.739186878363,1756053897289,Synapse54,1756053897289,Synapse54
77,92555 (Moreno Valley),92555,2519,6.94,6.94,275277500.0,91449.45508308428,1756053897289,Synapse54,1756053897289,Synapse54
78,92557 (Moreno Valley),92557,2883,6.92,6.92,79985000.0,53460.86448257353,1756053897289,Synapse54,1756053897289,Synapse54
79,92561 (Mountain Center),92561,90,5.51,5.51,1620912500.0,315017.98964642035,1756053897289,Synapse54,1756053897289,Synapse54
80,92562 (Murrieta),92562,2547,5.12,5.12,221006250.0,95812.13808091207,1756053897289,Synapse54,1756053897289,Synapse54
81,92563 (Murrieta),92563,3055,5.35,5.35,78192500.0,53899.198339420196,1756053897289,Synapse54,1756053897289,Synapse54
82,92567 (Nuevo),92567,607,7.29,7.29,115155000.0,52551.257802414395,1756053897289,Synapse54,1756053897289,Synapse54
83,92570 (Perris),92570,3347,7.41,7.41,391848750.0,141636.61094909988,1756053897289,Synapse54,1756053897289,Synapse54
84,92571 (Perris),92571,3239,7.42,7.42,129411250.0,59493.83243138058,1756053897289,Synapse54,1756053897289,Synapse54
85,92582 (San Jacinto),92582,1316,7.64,7.64,77062500.0,47625.591915771925,1756053897289,Synapse54,1756053897289,Synapse54
86,92583 (San Jacinto),92583,2107,7.81,7.81,117017500.0,68854.68187138022,1756053897289,Synapse54,1756053897289,Synapse54
87,92584 (Menifee),92584,3171,6.33,6.33,125473750.0,88632.97807464864,1756053897289,Synapse54,1756053897289,Synapse54
88,92585 (Menifee),92585,1381,6.01,6.01,65328750.0,63969.72667996268,1756053897289,Synapse54,1756053897289,Synapse54
89,92586 (Menifee),92586,821,4.25,4.25,22697500.0,25680.59999652119,1756053897289,Synapse54,1756053897289,Synapse54
90,92587 (Menifee),92587,698,5.15,5.15,33000000.0,28855.688766937034,1756053897289,Synapse54,1756053897289,Synapse54
91,92590 (Temecula),92590,190,4.96,4.96,171402500.0,74224.59376095551,1756053897289,Synapse54,1756053897289,Synapse54
92,92591 (Temecula),92591,1621,4.69,4.69,57467500.0,46864.2059342935,1756053897289,Synapse54,1756053897289,Synapse54
93,92592 (Temecula),92592,3018,4.86,4.86,449697500.0,150010.17362394696,1756053897289,Synapse54,1756053897289,Synapse54
94,92595 (Wildomar),92595,1682,6.08,6.08,77962500.0,49546.47682350081,1756053897289,Synapse54,1756053897289,Synapse54
95,92596 (Winchester),92596,1793,5.71,5.71,236541250.0,105694.89597132463,1756053897289,Synapse54,1756053897289,Synapse54
96,92602 (Irvine),92602,1357,5.34,5.34,54335000.0,48615.20874763779,1756053897289,Synapse54,1756053897289,Synapse54
97,92603 (Irvine),92603,711,4.39,4.39,49596250.0,39851.28103911499,1756053897289,Synapse54,1756053897289,Synapse54
98,92604 (Irvine),92604,953,4.22,4.22,12971250.0,14796.767588249384,1756053897289,Synapse54,1756053897289,Synapse54
99,92606 (Irvine),92606,984,5.28,5.28,11687516.33984375,24285.50058514748,1756053897289,Synapse54,1756053897289,Synapse54
100,92610 (Foothill Ranch),92610,366,4.06,4.06,41970000.0,42026.008696583456,1756053897289,Synapse54,1756053897289,Synapse54
101,92612 (Irvine),92612,1892,6.33,6.33,24991250.0,30023.681639087186,1756053897289,Synapse54,1756053897289,Synapse54
102,92614 (Irvine),92614,1476,5.7,5.7,16787500.0,22384.83540840505,1756053897289,Synapse54,1756053897289,Synapse54
103,92617 (Irvine),92617,1724,7.41,7.41,8672500.0,15412.013244571113,1756053897289,Synapse54,1756053897289,Synapse54
104,92618 (Irvine),92618,2584,5.09,5.09,94576250.0,64024.6551904949,1756053897289,Synapse54,1756053897289,Synapse54
105,92620 (Irvine),92620,2202,4.55,4.55,23306250.0,21025.73996103775,1756053897289,Synapse54,1756053897289,Synapse54
106,92624 (Capistrano Beach),92624,259,4.25,4.25,5602500.0,19224.425787531967,1756053897289,Synapse54,1756053897289,Synapse54
107,92625 (Corona del Mar),92625,376,3.83,3.83,9253750.0,22768.574163236848,1756053897289,Synapse54,1756053897289,Synapse54
108,92626 (Costa Mesa),92626,2174,5.29,5.29,35749444.4375,30953.607275611746,1756053897289,Synapse54,1756053897289,Synapse54
109,92627 (Costa Mesa),92627,2590,5.2,5.2,24660526.3203125,32009.424849547257,1756053897289,Synapse54,1756053897289,Synapse54
