OBJECTID,DESCRIPTION,ID,MP12097A_B,MP12097A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92352 (Lake Arrowhead),92352,622,10.23,10.23,35165000.0,39363.663155129456,1756053936746,Synapse54,1756053936746,Synapse54
2,92354 (Loma Linda),92354,2938,15.67,15.67,19397500.0,32466.98378542479,1756053936746,Synapse54,1756053936746,Synapse54
3,92356 (Lucerne Valley),92356,779,16.84,16.84,1748225000.0,262777.6705790254,1756053936746,Synapse54,1756053936746,Synapse54
4,92358 (Lytle Creek),92358,78,13.57,13.57,95443750.0,59416.86526869231,1756053936746,Synapse54,1756053936746,Synapse54
5,92359 (Mentone),92359,1186,16.68,16.68,200115000.0,146977.81419395076,1756053936746,Synapse54,1756053936746,Synapse54
6,92363 (Needles),92363,772,17.47,17.47,4997620000.0,523113.99326377444,1756053936746,Synapse54,1756053936746,Synapse54
7,92364 (Nipton),92364,16,23.88,23.88,6661757500.0,496145.23407400085,1756053936746,Synapse54,1756053936746,Synapse54
8,92365 (Newberry Springs),92365,293,16.05,16.05,2016153750.0,283288.2285885244,1756053936746,Synapse54,1756053936746,Synapse54
9,92368 (Oro Grande),92368,112,16.12,16.12,263722500.0,69769.35889784835,1756053936746,Synapse54,1756053936746,Synapse54
10,92371 (Phelan),92371,2487,18.2,18.2,494525000.0,139982.55630529104,1756053936746,Synapse54,1756053936746,Synapse54
11,92372 (Pinon Hills),92372,682,16.45,16.45,74866250.0,51235.5396833622,1756053936746,Synapse54,1756053936746,Synapse54
12,92373 (Redlands),92373,4017,14.12,14.12,163297500.0,89177.85236440173,1756053936746,Synapse54,1756053936746,Synapse54
13,92374 (Redlands),92374,5592,15.35,15.35,76363750.0,51737.93681648803,1756053936746,Synapse54,1756053936746,Synapse54
14,92376 (Rialto),92376,13118,20.52,20.52,49860000.0,39468.23498118243,1756053936746,Synapse54,1756053936746,Synapse54
15,92377 (Rialto),92377,2986,18.63,18.63,36676250.0,29723.709676792732,1756053936746,Synapse54,1756053936746,Synapse54
16,92378 (Rimforest),92378,41,18.64,18.64,1335000.0,5734.498127516353,1756053936746,Synapse54,1756053936746,Synapse54
17,92382 (Running Springs),92382,593,13.18,13.18,73057500.0,41878.291298212935,1756053936746,Synapse54,1756053936746,Synapse54
18,92384 (Shoshone),92384,10,15.87,15.87,6149516681.035156,351476.79201469815,1756053936746,Synapse54,1756053936746,Synapse54
19,92385 (Skyforest),92385,48,14.33,14.33,1911250.0,7798.2343791978055,1756053936746,Synapse54,1756053936746,Synapse54
20,92386 (Sugarloaf),92386,261,12.78,12.78,5826250.0,12207.653092291526,1756053936746,Synapse54,1756053936746,Synapse54
21,92389 (Tecopa),92389,35,15.15,15.15,1443742500.0,199972.69970864878,1756053936746,Synapse54,1756053936746,Synapse54
22,92391 (Twin Peaks),92391,291,15.03,15.03,7685000.0,18386.855370790763,1756053936746,Synapse54,1756053936746,Synapse54
23,92392 (Victorville),92392,9157,19.53,19.53,138387500.0,63694.27026776417,1756053936746,Synapse54,1756053936746,Synapse54
24,92394 (Victorville),92394,5483,17.24,17.24,121457500.0,88366.65321642788,1756053936746,Synapse54,1756053936746,Synapse54
25,92395 (Victorville),92395,6290,17.92,17.92,68968145.1640625,47882.9269555899,1756053936746,Synapse54,1756053936746,Synapse54
26,92397 (Wrightwood),92397,497,11.61,11.61,140206250.0,84295.60120057591,1756053936746,Synapse54,1756053936746,Synapse54
27,92398 (Yermo),92398,177,19.03,19.03,101220000.0,60304.02277772247,1756053936746,Synapse54,1756053936746,Synapse54
28,92399 (Yucaipa),92399,6870,15.65,15.65,172008750.0,77883.74029115058,1756053936746,Synapse54,1756053936746,Synapse54
29,92401 (San Bernardino),92401,213,17.49,17.49,2411250.0,10915.506103226038,1756053936746,Synapse54,1756053936746,Synapse54
30,92404 (San Bernardino),92404,9057,19.12,19.12,83903750.0,59278.78103920583,1756053936746,Synapse54,1756053936746,Synapse54
31,92405 (San Bernardino),92405,4407,19.73,19.73,19600000.0,22648.311581254184,1756053936746,Synapse54,1756053936746,Synapse54
32,92407 (San Bernardino),92407,10033,19.51,19.51,654925227.2734375,262922.84741208307,1756053936746,Synapse54,1756053936746,Synapse54
33,92408 (San Bernardino),92408,2251,20.06,20.06,44107500.0,37207.50952210107,1756053936746,Synapse54,1756053936746,Synapse54
34,92410 (San Bernardino),92410,8034,22.07,22.07,31148750.0,49646.240876688236,1756053936746,Synapse54,1756053936746,Synapse54
35,92411 (San Bernardino),92411,4338,22.77,22.77,18040000.0,18748.898977445315,1756053936746,Synapse54,1756053936746,Synapse54
36,92415 (San Bernardino),92415,0,0.0,0.0,287500.0,3000.0,1756053936746,Synapse54,1756053936746,Synapse54
