OBJECTID,DESCRIPTION,ID,MP12206A_B,MP12206A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92350 (Loma Linda),92350,1,133,133,328750.0,2775.2716166686246,1756053952867,Synapse54,1756053952867,Synapse54
2,92354 (Loma Linda),92354,1098,94,94,19397500.0,32466.98378542479,1756053952867,Synapse54,1756053952867,Synapse54
3,92356 (Lucerne Valley),92356,307,106,106,1748225000.0,262777.6705790254,1756053952867,Synapse54,1756053952867,Synapse54
4,92358 (Lytle Creek),92358,36,100,100,95443750.0,59416.86526869231,1756053952867,Synapse54,1756053952867,Synapse54
5,92359 (Mentone),92359,442,99,99,200115000.0,146977.81419395076,1756053952867,Synapse54,1756053952867,Synapse54
6,92363 (Needles),92363,311,112,112,4997620000.0,523113.99326377444,1756053952867,Synapse54,1756053952867,Synapse54
7,90001 (Los Angeles),90001,3779,153,153,13386250.0,16233.854040357846,1756053952867,Synapse54,1756053952867,Synapse54
8,92364 (Nipton),92364,6,143,143,6661757500.0,496145.23407400085,1756053952867,Synapse54,1756053952867,Synapse54
9,92365 (Newberry Springs),92365,120,105,105,2016153750.0,283288.2285885244,1756053952867,Synapse54,1756053952867,Synapse54
10,92368 (Oro Grande),92368,44,101,101,263722500.0,69769.35889784835,1756053952867,Synapse54,1756053952867,Synapse54
11,92371 (Phelan),92371,1122,131,131,494525000.0,139982.55630529104,1756053952867,Synapse54,1756053952867,Synapse54
12,92372 (Pinon Hills),92372,330,127,127,74866250.0,51235.5396833622,1756053952867,Synapse54,1756053952867,Synapse54
13,92373 (Redlands),92373,1424,80,80,163297500.0,89177.85236440173,1756053952867,Synapse54,1756053952867,Synapse54
14,92374 (Redlands),92374,2041,89,89,76363750.0,51737.93681648803,1756053952867,Synapse54,1756053952867,Synapse54
15,92376 (Rialto),92376,5116,128,128,49860000.0,39468.23498118243,1756053952867,Synapse54,1756053952867,Synapse54
16,92377 (Rialto),92377,1108,110,110,36676250.0,29723.709676792732,1756053952867,Synapse54,1756053952867,Synapse54
17,92378 (Rimforest),92378,15,109,109,1335000.0,5734.498127516353,1756053952867,Synapse54,1756053952867,Synapse54
