OBJECTID,DESCRIPTION,ID,MP12205A_B,MP12205A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90001 (Los Angeles),90001,505,88,88,13386250.0,16233.854040357846,1756053968684,Synapse54,1756053968684,Synapse54
2,90002 (Los Angeles),90002,555,101,101,11663750.0,16035.555808070421,1756053968684,Synapse54,1756053968684,Synapse54
3,90003 (Los Angeles),90003,667,92,92,13235000.0,18952.41108655517,1756053968684,Synapse54,1756053968684,Synapse54
4,90004 (Los Angeles),90004,774,109,109,11802500.0,16223.887266526037,1756053968684,Synapse54,1756053968684,Synapse54
5,90005 (Los Angeles),90005,709,123,123,5881250.0,15391.364856567341,1756053968684,Synapse54,1756053968684,Synapse54
6,90006 (Los Angeles),90006,734,111,111,7001250.0,11026.180782215537,1756053968684,Synapse54,1756053968684,Synapse54
7,90007 (Los Angeles),90007,580,108,108,9585000.0,20329.343922272503,1756053968684,Synapse54,1756053968684,Synapse54
8,90008 (Los Angeles),90008,412,107,107,13288750.0,21454.849459325556,1756053968684,Synapse54,1756053968684,Synapse54
9,90011 (Los Angeles),90011,941,89,89,16376250.0,16341.560688590307,1756053968684,Synapse54,1756053968684,Synapse54
10,90012 (Los Angeles),90012,638,134,134,14017500.0,20135.545328109423,1756053968684,Synapse54,1756053968684,Synapse54
11,90013 (Los Angeles),90013,323,138,138,2586250.0,8075.848289594547,1756053968684,Synapse54,1756053968684,Synapse54
12,90014 (Los Angeles),90014,209,148,148,1122500.0,4495.148471226037,1756053968684,Synapse54,1756053968684,Synapse54
13,90015 (Los Angeles),90015,520,137,137,6278750.0,12975.311211764012,1756053968684,Synapse54,1756053968684,Synapse54
14,90016 (Los Angeles),90016,471,83,83,13681250.0,21263.886655453778,1756053968684,Synapse54,1756053968684,Synapse54
15,90017 (Los Angeles),90017,516,139,139,2757500.0,7543.218219484606,1756053968684,Synapse54,1756053968684,Synapse54
16,90018 (Los Angeles),90018,579,96,96,11643750.0,16634.168024347473,1756053968684,Synapse54,1756053968684,Synapse54
17,90019 (Los Angeles),90019,680,89,89,15283750.0,21460.833066582647,1756053968684,Synapse54,1756053968684,Synapse54
18,90020 (Los Angeles),90020,550,117,117,4171250.0,13329.782716347021,1756053968684,Synapse54,1756053968684,Synapse54
19,90021 (Los Angeles),90021,81,108,108,7756250.0,12911.650745251342,1756053968684,Synapse54,1756053968684,Synapse54
20,90022 (Los Angeles),90022,647,93,93,16201250.0,20545.355145567133,1756053968684,Synapse54,1756053968684,Synapse54
21,90023 (Los Angeles),90023,452,97,97,15738750.0,25060.48516334698,1756053968684,Synapse54,1756053968684,Synapse54
22,90024 (Los Angeles),90024,669,96,96,11132500.0,23698.081064437145,1756053968684,Synapse54,1756053968684,Synapse54
23,90025 (Los Angeles),90025,591,102,102,10193750.0,17840.283787428227,1756053968684,Synapse54,1756053968684,Synapse54
24,90026 (Los Angeles),90026,876,109,109,15428750.0,24118.65217370451,1756053968684,Synapse54,1756053968684,Synapse54
25,90027 (Los Angeles),90027,584,101,101,31273750.0,33139.15154098183,1756053968684,Synapse54,1756053968684,Synapse54
26,90028 (Los Angeles),90028,587,130,130,5651250.0,11941.515699450967,1756053968684,Synapse54,1756053968684,Synapse54
27,90029 (Los Angeles),90029,475,116,116,5180000.0,10416.550542669982,1756053968684,Synapse54,1756053968684,Synapse54
28,90031 (Los Angeles),90031,376,87,87,15266250.0,28937.63345244274,1756053968684,Synapse54,1756053968684,Synapse54
29,90032 (Los Angeles),90032,398,81,81,17651250.0,23396.460140272397,1756053968684,Synapse54,1756053968684,Synapse54
30,90033 (Los Angeles),90033,459,92,92,11348750.0,17708.809547572026,1756053968684,Synapse54,1756053968684,Synapse54
31,90034 (Los Angeles),90034,750,104,104,11981250.0,20568.377536787157,1756053968684,Synapse54,1756053968684,Synapse54
32,90035 (Los Angeles),90035,286,80,80,7850000.0,15210.86103832469,1756053968684,Synapse54,1756053968684,Synapse54
33,90036 (Los Angeles),90036,534,112,112,9057500.0,13075.085235078514,1756053968684,Synapse54,1756053968684,Synapse54
34,90037 (Los Angeles),90037,604,92,92,10541250.0,14714.181233454361,1756053968684,Synapse54,1756053968684,Synapse54
35,90038 (Los Angeles),90038,468,129,129,5802500.0,11252.079728939614,1756053968684,Synapse54,1756053968684,Synapse54
36,90039 (Los Angeles),90039,226,66,66,14942500.0,26392.430761234824,1756053968684,Synapse54,1756053968684,Synapse54
37,90040 (Los Angeles),90040,151,106,106,21608750.0,29191.681126081883,1756053968684,Synapse54,1756053968684,Synapse54
