OBJECTID,DESCRIPTION,ID,MP12207A_B,MP12207A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92352 (Lake Arrowhead),92352,232,63,63,35165000.0,39363.663155129456,1756053984730,Synapse54,1756053984730,Synapse54
2,92354 (Loma Linda),92354,1216,106,106,19397500.0,32466.98378542479,1756053984730,Synapse54,1756053984730,Synapse54
3,92356 (Lucerne Valley),92356,342,121,121,1748225000.0,262777.6705790254,1756053984730,Synapse54,1756053984730,Synapse54
4,92358 (Lytle Creek),92358,23,66,66,95443750.0,59416.86526869231,1756053984730,Synapse54,1756053984730,Synapse54
5,92359 (Mentone),92359,491,113,113,200115000.0,146977.81419395076,1756053984730,Synapse54,1756053984730,Synapse54
6,92363 (Needles),92363,314,117,117,4997620000.0,523113.99326377444,1756053984730,Synapse54,1756053984730,Synapse54
7,92364 (Nipton),92364,6,147,147,6661757500.0,496145.23407400085,1756053984730,Synapse54,1756053984730,Synapse54
8,92365 (Newberry Springs),92365,89,80,80,2016153750.0,283288.2285885244,1756053984730,Synapse54,1756053984730,Synapse54
9,92368 (Oro Grande),92368,51,120,120,263722500.0,69769.35889784835,1756053984730,Synapse54,1756053984730,Synapse54
10,92371 (Phelan),92371,937,113,113,494525000.0,139982.55630529104,1756053984730,Synapse54,1756053984730,Synapse54
11,92372 (Pinon Hills),92372,233,92,92,74866250.0,51235.5396833622,1756053984730,Synapse54,1756053984730,Synapse54
12,92373 (Redlands),92373,1619,93,93,163297500.0,89177.85236440173,1756053984730,Synapse54,1756053984730,Synapse54
13,92374 (Redlands),92374,2315,104,104,76363750.0,51737.93681648803,1756053984730,Synapse54,1756053984730,Synapse54
14,92376 (Rialto),92376,6050,155,155,49860000.0,39468.23498118243,1756053984730,Synapse54,1756053984730,Synapse54
15,92377 (Rialto),92377,1351,138,138,36676250.0,29723.709676792732,1756053984730,Synapse54,1756053984730,Synapse54
16,92378 (Rimforest),92378,19,142,142,1335000.0,5734.498127516353,1756053984730,Synapse54,1756053984730,Synapse54
17,92382 (Running Springs),92382,214,78,78,73057500.0,41878.291298212935,1756053984730,Synapse54,1756053984730,Synapse54
18,92384 (Shoshone),92384,3,78,78,6149516681.035156,351476.79201469815,1756053984730,Synapse54,1756053984730,Synapse54
19,92385 (Skyforest),92385,19,93,93,1911250.0,7798.2343791978055,1756053984730,Synapse54,1756053984730,Synapse54
20,92386 (Sugarloaf),92386,76,61,61,5826250.0,12207.653092291526,1756053984730,Synapse54,1756053984730,Synapse54
21,92389 (Tecopa),92389,12,85,85,1443742500.0,199972.69970864878,1756053984730,Synapse54,1756053984730,Synapse54
22,90660 (Pico Rivera),90660,4421,153,153,32145000.0,29572.79336298238,1756053984730,Synapse54,1756053984730,Synapse54
23,92391 (Twin Peaks),92391,130,110,110,7685000.0,18386.855370790763,1756053984730,Synapse54,1756053984730,Synapse54
24,92392 (Victorville),92392,4093,143,143,138387500.0,63694.27026776417,1756053984730,Synapse54,1756053984730,Synapse54
25,92394 (Victorville),92394,2215,114,114,121457500.0,88366.65321642788,1756053984730,Synapse54,1756053984730,Synapse54
26,92395 (Victorville),92395,2606,122,122,68968145.1640625,47882.9269555899,1756053984730,Synapse54,1756053984730,Synapse54
27,92397 (Wrightwood),92397,167,64,64,140206250.0,84295.60120057591,1756053984730,Synapse54,1756053984730,Synapse54
28,92398 (Yermo),92398,58,102,102,101220000.0,60304.02277772247,1756053984730,Synapse54,1756053984730,Synapse54
29,92399 (Yucaipa),92399,2698,101,101,172008750.0,77883.74029115058,1756053984730,Synapse54,1756053984730,Synapse54
30,92401 (San Bernardino),92401,93,125,125,2411250.0,10915.506103226038,1756053984730,Synapse54,1756053984730,Synapse54
31,92404 (San Bernardino),92404,3984,138,138,83903750.0,59278.78103920583,1756053984730,Synapse54,1756053984730,Synapse54
32,92405 (San Bernardino),92405,2013,148,148,19600000.0,22648.311581254184,1756053984730,Synapse54,1756053984730,Synapse54
33,92407 (San Bernardino),92407,4265,136,136,654925227.2734375,262922.84741208307,1756053984730,Synapse54,1756053984730,Synapse54
34,92408 (San Bernardino),92408,1069,156,156,44107500.0,37207.50952210107,1756053984730,Synapse54,1756053984730,Synapse54
35,92410 (San Bernardino),92410,3332,150,150,31148750.0,49646.240876688236,1756053984730,Synapse54,1756053984730,Synapse54
36,92411 (San Bernardino),92411,1737,150,150,18040000.0,18748.898977445315,1756053984730,Synapse54,1756053984730,Synapse54
37,92415 (San Bernardino),92415,0,0,0,287500.0,3000.0,1756053984730,Synapse54,1756053984730,Synapse54
38,92501 (Riverside),92501,1465,137,137,22337500.0,29316.493380545417,1756053984730,Synapse54,1756053984730,Synapse54
39,92503 (Riverside),92503,5651,130,130,107735000.0,83524.1449872953,1756053984730,Synapse54,1756053984730,Synapse54
40,92504 (Riverside),92504,3289,125,125,86003750.0,78137.17600802719,1756053984730,Synapse54,1756053984730,Synapse54
41,92505 (Riverside),92505,3443,148,148,47498750.0,39578.343842826784,1756053984730,Synapse54,1756053984730,Synapse54
42,92506 (Riverside),92506,2057,90,90,65818750.0,59655.0744327284,1756053984730,Synapse54,1756053984730,Synapse54
43,92507 (Riverside),92507,4030,130,130,67546250.0,75888.61883992223,1756053984730,Synapse54,1756053984730,Synapse54
44,92508 (Riverside),92508,1446,88,88,48267500.0,42049.39948617317,1756053984730,Synapse54,1756053984730,Synapse54
45,92509 (Jurupa Valley),92509,5654,153,153,116753750.0,47478.34088233946,1756053984730,Synapse54,1756053984730,Synapse54
46,92518 (March Air Reserve Base),92518,39,47,47,38235000.0,32969.149221917825,1756053984730,Synapse54,1756053984730,Synapse54
47,92521 (Riverside),92521,277,112,112,4556250.0,12054.427743228482,1756053984730,Synapse54,1756053984730,Synapse54
48,92530 (Lake Elsinore),92530,4034,145,145,438107500.0,112458.91444741341,1756053984730,Synapse54,1756053984730,Synapse54
49,92532 (Lake Elsinore),92532,1315,107,107,63540000.0,65411.93180488104,1756053984730,Synapse54,1756053984730,Synapse54
50,92536 (Aguanga),92536,123,67,67,354521250.0,120515.89358779525,1756053984730,Synapse54,1756053984730,Synapse54
51,92539 (Anza),92539,211,86,86,579413750.0,144374.36353090213,1756053984730,Synapse54,1756053984730,Synapse54
52,92543 (Hemet),92543,2257,122,122,68727500.0,61713.958612495335,1756053984730,Synapse54,1756053984730,Synapse54
