OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92335 (Fontana),92335,14252,121,121,65338750.0,40734.94483932124,1756054002881,Synapse54,1756054002881,Synapse54
2,92336 (Fontana),92336,21432,149,149,78322500.0,47187.712331799456,1756054002881,Synapse54,1756054002881,Synapse54
3,92337 (Fontana),92337,6443,135,135,51200000.0,35581.54325961277,1756054002881,Synapse54,1756054002881,Synapse54
4,92338 (Ludlow),92338,3,41,41,2456768750.0,333660.09089027974,1756054002881,Synapse54,1756054002881,Synapse54
5,92339 (Forest Falls),92339,211,118,118,347023750.0,131013.44706862242,1756054002881,Synapse54,1756054002881,Synapse54
6,92341 (Green Valley Lake),92341,38,60,60,4157500.0,10108.91972441351,1756054002881,Synapse54,1756054002881,Synapse54
7,92342 (Helendale),92342,748,80,80,490242500.0,128552.63427830249,1756054002881,Synapse54,1756054002881,Synapse54
8,92344 (Hesperia),92344,4382,138,138,145870000.0,58963.782626551794,1756054002881,Synapse54,1756054002881,Synapse54
9,92345 (Hesperia),92345,12453,112,112,299096627.5703125,94713.99450424456,1756054002881,Synapse54,1756054002881,Synapse54
10,92346 (Highland),92346,10254,132,132,75468750.0,50449.272887980595,1756054002881,Synapse54,1756054002881,Synapse54
11,92347 (Hinkley),92347,42,37,37,1168383750.0,223373.34948907365,1756054002881,Synapse54,1756054002881,Synapse54
12,92350 (Loma Linda),92350,2,96,96,328750.0,2775.2716166686246,1756054002881,Synapse54,1756054002881,Synapse54
13,92374 (Redlands),92374,9540,151,151,76363750.0,51737.93681648803,1756054002881,Synapse54,1756054002881,Synapse54
14,92376 (Rialto),92376,12535,113,113,49860000.0,39468.23498118243,1756054002881,Synapse54,1756054002881,Synapse54
15,92377 (Rialto),92377,3756,135,135,36676250.0,29723.709676792732,1756054002881,Synapse54,1756054002881,Synapse54
16,92378 (Rimforest),92378,51,134,134,1335000.0,5734.498127516353,1756054002881,Synapse54,1756054002881,Synapse54
17,92382 (Running Springs),92382,785,100,100,73057500.0,41878.291298212935,1756054002881,Synapse54,1756054002881,Synapse54
18,92384 (Shoshone),92384,7,64,64,6149516681.035156,351476.79201469815,1756054002881,Synapse54,1756054002881,Synapse54
