OBJECTID,DESCRIPTION,ID,MP13029A_B,MP13029A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92350 (Loma Linda),92350,2,80,80,328750.0,2775.2716166686246,1756054021492,Synapse54,1756054021492,Synapse54
2,92354 (Loma Linda),92354,4488,115,115,19397500.0,32466.98378542479,1756054021492,Synapse54,1756054021492,Synapse54
3,92356 (Lucerne Valley),92356,536,56,56,1748225000.0,262777.6705790254,1756054021492,Synapse54,1756054021492,Synapse54
4,92358 (Lytle Creek),92358,86,72,72,95443750.0,59416.86526869231,1756054021492,Synapse54,1756054021492,Synapse54
5,92359 (Mentone),92359,1428,97,97,200115000.0,146977.81419395076,1756054021492,Synapse54,1756054021492,Synapse54
6,92363 (Needles),92363,547,60,60,4997620000.0,523113.99326377444,1756054021492,Synapse54,1756054021492,Synapse54
7,92364 (Nipton),92364,10,72,72,6661757500.0,496145.23407400085,1756054021492,Synapse54,1756054021492,Synapse54
8,92365 (Newberry Springs),92365,228,60,60,2016153750.0,283288.2285885244,1756054021492,Synapse54,1756054021492,Synapse54
9,92368 (Oro Grande),92368,72,50,50,263722500.0,69769.35889784835,1756054021492,Synapse54,1756054021492,Synapse54
10,92371 (Phelan),92371,2475,87,87,494525000.0,139982.55630529104,1756054021492,Synapse54,1756054021492,Synapse54
11,92372 (Pinon Hills),92372,539,63,63,74866250.0,51235.5396833622,1756054021492,Synapse54,1756054021492,Synapse54
12,92373 (Redlands),92373,6984,118,118,163297500.0,89177.85236440173,1756054021492,Synapse54,1756054021492,Synapse54
13,92374 (Redlands),92374,9121,121,121,76363750.0,51737.93681648803,1756054021492,Synapse54,1756054021492,Synapse54
14,92376 (Rialto),92376,16072,121,121,49860000.0,39468.23498118243,1756054021492,Synapse54,1756054021492,Synapse54
15,92377 (Rialto),92377,4315,130,130,36676250.0,29723.709676792732,1756054021492,Synapse54,1756054021492,Synapse54
16,92378 (Rimforest),92378,56,122,122,1335000.0,5734.498127516353,1756054021492,Synapse54,1756054021492,Synapse54
17,92382 (Running Springs),92382,825,88,88,73057500.0,41878.291298212935,1756054021492,Synapse54,1756054021492,Synapse54
18,92384 (Shoshone),92384,11,84,84,6149516681.035156,351476.79201469815,1756054021492,Synapse54,1756054021492,Synapse54
19,92385 (Skyforest),92385,69,99,99,1911250.0,7798.2343791978055,1756054021492,Synapse54,1756054021492,Synapse54
20,92386 (Sugarloaf),92386,236,56,56,5826250.0,12207.653092291526,1756054021492,Synapse54,1756054021492,Synapse54
21,92389 (Tecopa),92389,40,83,83,1443742500.0,199972.69970864878,1756054021492,Synapse54,1756054021492,Synapse54
22,92391 (Twin Peaks),92391,487,121,121,7685000.0,18386.855370790763,1756054021492,Synapse54,1756054021492,Synapse54
23,92392 (Victorville),92392,12019,123,123,138387500.0,63694.27026776417,1756054021492,Synapse54,1756054021492,Synapse54
24,92394 (Victorville),92394,6305,95,95,121457500.0,88366.65321642788,1756054021492,Synapse54,1756054021492,Synapse54
25,92395 (Victorville),92395,7679,105,105,68968145.1640625,47882.9269555899,1756054021492,Synapse54,1756054021492,Synapse54
26,92397 (Wrightwood),92397,660,74,74,140206250.0,84295.60120057591,1756054021492,Synapse54,1756054021492,Synapse54
27,92398 (Yermo),92398,101,52,52,101220000.0,60304.02277772247,1756054021492,Synapse54,1756054021492,Synapse54
28,92399 (Yucaipa),92399,9206,101,101,172008750.0,77883.74029115058,1756054021492,Synapse54,1756054021492,Synapse54
29,92401 (San Bernardino),92401,242,96,96,2411250.0,10915.506103226038,1756054021492,Synapse54,1756054021492,Synapse54
30,92404 (San Bernardino),92404,11303,115,115,83903750.0,59278.78103920583,1756054021492,Synapse54,1756054021492,Synapse54
31,92405 (San Bernardino),92405,5351,115,115,19600000.0,22648.311581254184,1756054021492,Synapse54,1756054021492,Synapse54
32,92407 (San Bernardino),92407,13098,123,123,654925227.2734375,262922.84741208307,1756054021492,Synapse54,1756054021492,Synapse54
33,92408 (San Bernardino),92408,2629,113,113,44107500.0,37207.50952210107,1756054021492,Synapse54,1756054021492,Synapse54
34,92410 (San Bernardino),92410,8269,109,109,31148750.0,49646.240876688236,1756054021492,Synapse54,1756054021492,Synapse54
35,92411 (San Bernardino),92411,4143,105,105,18040000.0,18748.898977445315,1756054021492,Synapse54,1756054021492,Synapse54
36,92415 (San Bernardino),92415,0,0,0,287500.0,3000.0,1756054021492,Synapse54,1756054021492,Synapse54
37,92501 (Riverside),92501,4664,128,128,22337500.0,29316.493380545417,1756054021492,Synapse54,1756054021492,Synapse54
38,92503 (Riverside),92503,18293,123,123,107735000.0,83524.1449872953,1756054021492,Synapse54,1756054021492,Synapse54
39,92504 (Riverside),92504,11010,123,123,86003750.0,78137.17600802719,1756054021492,Synapse54,1756054021492,Synapse54
40,92505 (Riverside),92505,10006,126,126,47498750.0,39578.343842826784,1756054021492,Synapse54,1756054021492,Synapse54
41,92506 (Riverside),92506,9373,121,121,65818750.0,59655.0744327284,1756054021492,Synapse54,1756054021492,Synapse54
42,92507 (Riverside),92507,13071,124,124,67546250.0,75888.61883992223,1756054021492,Synapse54,1756054021492,Synapse54
43,92508 (Riverside),92508,7392,131,131,48267500.0,42049.39948617317,1756054021492,Synapse54,1756054021492,Synapse54
44,92509 (Jurupa Valley),92509,15558,124,124,116753750.0,47478.34088233946,1756054021492,Synapse54,1756054021492,Synapse54
45,92518 (March Air Reserve Base),92518,269,95,95,38235000.0,32969.149221917825,1756054021492,Synapse54,1756054021492,Synapse54
46,92521 (Riverside),92521,933,111,111,4556250.0,12054.427743228482,1756054021492,Synapse54,1756054021492,Synapse54
47,92530 (Lake Elsinore),92530,11839,125,125,438107500.0,112458.91444741341,1756054021492,Synapse54,1756054021492,Synapse54
48,92532 (Lake Elsinore),92532,5253,125,125,63540000.0,65411.93180488104,1756054021492,Synapse54,1756054021492,Synapse54
49,92536 (Aguanga),92536,466,74,74,354521250.0,120515.89358779525,1756054021492,Synapse54,1756054021492,Synapse54
50,92539 (Anza),92539,436,52,52,579413750.0,144374.36353090213,1756054021492,Synapse54,1756054021492,Synapse54
51,92543 (Hemet),92543,5487,87,87,68727500.0,61713.958612495335,1756054021492,Synapse54,1756054021492,Synapse54
52,92544 (Hemet),92544,7883,102,102,415016250.0,151725.3125261633,1756054021492,Synapse54,1756054021492,Synapse54
53,92545 (Hemet),92545,6813,89,89,108491250.0,91639.39489079622,1756054021492,Synapse54,1756054021492,Synapse54
54,92548 (Homeland),92548,1065,83,83,38187500.0,33443.077028993255,1756054021492,Synapse54,1756054021492,Synapse54
55,92549 (Idyllwild),92549,449,60,60,358893750.0,107729.24598344459,1756054021492,Synapse54,1756054021492,Synapse54
56,92551 (Moreno Valley),92551,6732,128,128,22746250.0,19671.115479542517,1756054021492,Synapse54,1756054021492,Synapse54
57,92553 (Moreno Valley),92553,14551,125,125,38870000.0,28695.90265660045,1756054021492,Synapse54,1756054021492,Synapse54
58,92555 (Moreno Valley),92555,9314,125,125,275236250.0,91525.79222400476,1756054021492,Synapse54,1756054021492,Synapse54
59,92557 (Moreno Valley),92557,11229,129,129,79941250.0,53822.803046198875,1756054021492,Synapse54,1756054021492,Synapse54
60,92561 (Mountain Center),92561,193,61,61,1621211250.0,315095.98339024745,1756054021492,Synapse54,1756054021492,Synapse54
61,92562 (Murrieta),92562,12349,119,119,220985000.0,96064.22254720224,1756054021492,Synapse54,1756054021492,Synapse54
62,92563 (Murrieta),92563,14205,124,124,77472500.0,53551.36828362951,1756054021492,Synapse54,1756054021492,Synapse54
63,92567 (Nuevo),92567,2078,127,127,115297500.0,52666.58283328546,1756054021492,Synapse54,1756054021492,Synapse54
64,92570 (Perris),92570,11224,119,119,391910000.0,141138.00773363985,1756054021492,Synapse54,1756054021492,Synapse54
65,92571 (Perris),92571,11003,123,123,129306250.0,59660.9298307622,1756054021492,Synapse54,1756054021492,Synapse54
66,92582 (San Jacinto),92582,4061,115,115,77037500.0,47767.716658975856,1756054021492,Synapse54,1756054021492,Synapse54
67,92583 (San Jacinto),92583,5527,102,102,117040000.0,69015.17579133814,1756054021492,Synapse54,1756054021492,Synapse54
68,92584 (Menifee),92584,12938,124,124,126103750.0,82945.65177767296,1756054021492,Synapse54,1756054021492,Synapse54
69,92585 (Menifee),92585,5264,115,115,61705000.0,61705.32329394815,1756054021492,Synapse54,1756054021492,Synapse54
70,92586 (Menifee),92586,3371,85,85,22670000.0,25758.113061800963,1756054021492,Synapse54,1756054021492,Synapse54
71,92587 (Menifee),92587,3111,109,109,32975000.0,29049.193168522845,1756054021492,Synapse54,1756054021492,Synapse54
72,92590 (Temecula),92590,1032,127,127,171242500.0,73903.6225699486,1756054021492,Synapse54,1756054021492,Synapse54
73,92591 (Temecula),92591,8832,126,126,57300000.0,46998.881948663344,1756054021492,Synapse54,1756054021492,Synapse54
74,92592 (Temecula),92592,16194,126,126,450282500.0,150219.68192024188,1756054021492,Synapse54,1756054021492,Synapse54
75,92595 (Wildomar),92595,6877,122,122,78025000.0,49707.10545502617,1756054021492,Synapse54,1756054021492,Synapse54
76,92596 (Winchester),92596,7571,130,130,236408750.0,103878.4621573804,1756054021492,Synapse54,1756054021492,Synapse54
77,92602 (Irvine),92602,6802,132,132,54313750.0,49130.75023856486,1756054021492,Synapse54,1756054021492,Synapse54
78,92603 (Irvine),92603,4371,128,128,49650000.0,39541.65711393622,1756054021492,Synapse54,1756054021492,Synapse54
79,92604 (Irvine),92604,5952,126,126,13024120.375,14727.452850333391,1756054021492,Synapse54,1756054021492,Synapse54
80,92606 (Irvine),92606,5190,133,133,11690011.0,24295.04085893666,1756054021492,Synapse54,1756054021492,Synapse54
81,92610 (Foothill Ranch),92610,2437,128,128,42040000.0,41967.196146140726,1756054021492,Synapse54,1756054021492,Synapse54
82,92612 (Irvine),92612,7616,126,126,25032500.0,29840.857234905638,1756054021492,Synapse54,1756054021492,Synapse54
83,92614 (Irvine),92614,7372,135,135,16567500.0,22326.57262412671,1756054021492,Synapse54,1756054021492,Synapse54
84,92617 (Irvine),92617,5447,114,114,8622500.0,15342.766559096566,1756054021492,Synapse54,1756054021492,Synapse54
85,92618 (Irvine),92618,13893,134,134,94480000.0,64189.97688579973,1756054021492,Synapse54,1756054021492,Synapse54
86,92620 (Irvine),92620,13117,130,130,23455000.0,20959.41830166695,1756054021492,Synapse54,1756054021492,Synapse54
87,92624 (Capistrano Beach),92624,1348,105,105,5616250.0,19389.46154618023,1756054021492,Synapse54,1756054021492,Synapse54
88,92625 (Corona del Mar),92625,2090,101,101,9286250.0,22729.993260828807,1756054021492,Synapse54,1756054021492,Synapse54
89,92626 (Costa Mesa),92626,11383,133,133,35694852.9375,30740.231923519044,1756054021492,Synapse54,1756054021492,Synapse54
90,92627 (Costa Mesa),92627,13397,129,129,24641381.578125,31724.938378005452,1756054021492,Synapse54,1756054021492,Synapse54
91,92629 (Dana Point),92629,5213,111,111,19280000.0,25298.60611664124,1756054021492,Synapse54,1756054021492,Synapse54
92,92630 (Lake Forest),92630,14123,125,125,39648750.0,33350.90202199818,1756054021492,Synapse54,1756054021492,Synapse54
93,92637 (Laguna Woods),92637,2915,79,79,12435795.453125,24632.35598793771,1756054021492,Synapse54,1756054021492,Synapse54
94,92646 (Huntington Beach),92646,12177,124,124,31907500.0,27747.674053133913,1756054021492,Synapse54,1756054021492,Synapse54
95,90001 (Los Angeles),90001,10264,125,125,13386250.0,16233.854040357846,1756054021492,Synapse54,1756054021492,Synapse54
96,92647 (Huntington Beach),92647,13403,131,131,28957500.0,34073.742160906135,1756054021492,Synapse54,1756054021492,Synapse54
97,92648 (Huntington Beach),92648,9754,125,125,30232500.0,29675.661969384542,1756054021492,Synapse54,1756054021492,Synapse54
98,92649 (Huntington Beach),92649,6717,114,114,21280000.0,30056.060315195013,1756054021492,Synapse54,1756054021492,Synapse54
99,92651 (Laguna Beach),92651,4990,119,119,67487500.0,62741.48464742326,1756054021492,Synapse54,1756054021492,Synapse54
100,92653 (Laguna Hills),92653,5836,123,123,24242500.0,35970.11933788107,1756054021492,Synapse54,1756054021492,Synapse54
101,92655 (Midway City),92655,2391,154,154,2496250.0,12386.179686441375,1756054021492,Synapse54,1756054021492,Synapse54
102,92656 (Aliso Viejo),92656,11644,129,129,32956250.0,35058.32298278699,1756054021492,Synapse54,1756054021492,Synapse54
103,92657 (Newport Coast),92657,1912,120,120,33961111.109375,40625.59842863027,1756054021492,Synapse54,1756054021492,Synapse54
104,92660 (Newport Beach),92660,7776,123,123,34866203.6953125,73753.99067996873,1756054021492,Synapse54,1756054021492,Synapse54
105,92661 (Newport Beach),92661,678,104,104,2395000.0,14208.98141657054,1756054021492,Synapse54,1756054021492,Synapse54
106,92662 (Newport Beach),92662,362,77,77,786250.0,4139.104573218781,1756054021492,Synapse54,1756054021492,Synapse54
107,92663 (Newport Beach),92663,4418,119,119,12635000.0,29439.71312355406,1756054021492,Synapse54,1756054021492,Synapse54
108,92672 (San Clemente),92672,8364,113,113,122388750.0,68111.9691524194,1756054021492,Synapse54,1756054021492,Synapse54
109,92673 (San Clemente),92673,5459,118,118,43750000.0,35151.50434495239,1756054021492,Synapse54,1756054021492,Synapse54
110,92675 (San Juan Capistrano),92675,6773,112,112,398833750.0,152865.47171796532,1756054021492,Synapse54,1756054021492,Synapse54
111,92676 (Silverado),92676,458,132,132,185687779.86328125,70385.84076711211,1756054021492,Synapse54,1756054021492,Synapse54
112,92677 (Laguna Niguel),92677,12826,116,116,62433750.0,49303.86989319017,1756054021492,Synapse54,1756054021492,Synapse54
113,92679 (Trabuco Canyon),92679,6958,127,127,132175394.7421875,97183.29963476054,1756054021492,Synapse54,1756054021492,Synapse54
114,92683 (Westminster),92683,20997,138,138,37257500.0,53522.512182691025,1756054021492,Synapse54,1756054021492,Synapse54
115,92688 (Rancho Santa Margarita),92688,9424,130,130,34173750.0,38742.783016703244,1756054021492,Synapse54,1756054021492,Synapse54
116,92691 (Mission Viejo),92691,10000,130,130,33163750.0,37994.89785128454,1756054021492,Synapse54,1756054021492,Synapse54
117,92692 (Mission Viejo),92692,9479,120,120,36926250.0,46525.605785250744,1756054021492,Synapse54,1756054021492,Synapse54
118,92694 (Ladera Ranch),92694,7139,128,128,29660000.0,38266.29265476351,1756054021492,Synapse54,1756054021492,Synapse54
119,92697 (Irvine),92697,113,110,110,628750.0,3565.2789009880407,1756054021492,Synapse54,1756054021492,Synapse54
120,92701 (Santa Ana),92701,10001,124,124,12288750.0,17948.31562231254,1756054021492,Synapse54,1756054021492,Synapse54
121,92703 (Santa Ana),92703,12897,131,131,15475000.0,26080.06550546725,1756054021492,Synapse54,1756054021492,Synapse54
122,92704 (Santa Ana),92704,16884,127,127,28615000.0,34248.71917593605,1756054021492,Synapse54,1756054021492,Synapse54
123,92705 (Santa Ana),92705,10371,127,127,43272500.0,77157.24683992156,1756054021492,Synapse54,1756054021492,Synapse54
124,92706 (Santa Ana),92706,6774,128,128,13063750.0,23555.14038528649,1756054021492,Synapse54,1756054021492,Synapse54
125,92707 (Santa Ana),92707,11205,129,129,19503750.0,30987.4919582006,1756054021492,Synapse54,1756054021492,Synapse54
126,92708 (Fountain Valley),92708,12440,130,130,34146250.0,27638.52342387439,1756054021492,Synapse54,1756054021492,Synapse54
127,92780 (Tustin),92780,11166,127,127,24396250.0,32899.83474533726,1756054021492,Synapse54,1756054021492,Synapse54
