OBJECTID,DESCRIPTION,ID,MP13023A_B,MP13023A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90660 (Pico Rivera),90660,6102,118,118,32145000.0,29572.79336298238,1756054039623,Synapse54,1756054039623,Synapse54
2,90670 (Santa Fe Springs),90670,2057,134,134,32260000.0,52615.073446094386,1756054039623,Synapse54,1756054039623,Synapse54
3,90680 (Stanton),90680,3924,149,149,9910000.0,24427.003458636504,1756054039623,Synapse54,1756054039623,Synapse54
4,90701 (Artesia),90701,2075,148,148,6091250.0,15069.463540817756,1756054039623,Synapse54,1756054039623,Synapse54
5,90703 (Cerritos),90703,6944,158,158,33378750.0,43917.87476317953,1756054039623,Synapse54,1756054039623,Synapse54
6,90704 (Avalon),90704,555,165,165,490602500.0,222413.14249330448,1756054039623,Synapse54,1756054039623,Synapse54
7,90706 (Bellflower),90706,8096,124,124,23268750.0,21698.30198308351,1756054039623,Synapse54,1756054039623,Synapse54
8,90710 (Harbor City),90710,3052,133,133,8768068.17578125,14610.890909475642,1756054039623,Synapse54,1756054039623,Synapse54
9,90712 (Lakewood),90712,4483,157,157,16497500.0,22581.403062996225,1756054039623,Synapse54,1756054039623,Synapse54
10,90713 (Lakewood),90713,3742,157,157,12855000.0,16071.269561037803,1756054039623,Synapse54,1756054039623,Synapse54
11,90715 (Lakewood),90715,2687,156,156,6542500.0,15274.722761850482,1756054039623,Synapse54,1756054039623,Synapse54
12,92352 (Lake Arrowhead),92352,747,113,113,35165000.0,39363.663155129456,1756054039623,Synapse54,1756054039623,Synapse54
13,90716 (Hawaiian Gardens),90716,1383,126,126,3616250.0,8919.851166196735,1756054039623,Synapse54,1756054039623,Synapse54
14,90717 (Lomita),90717,3135,165,165,7900681.82421875,16682.869532286593,1756054039623,Synapse54,1756054039623,Synapse54
15,90720 (Los Alamitos),90720,3253,161,161,23131250.0,25284.636706950274,1756054039623,Synapse54,1756054039623,Synapse54
16,90723 (Paramount),90723,4420,105,105,17868750.0,25501.526120005932,1756054039623,Synapse54,1756054039623,Synapse54
17,90731 (San Pedro),90731,7568,148,148,40585056.3125,84831.40133563758,1756054039623,Synapse54,1756054039623,Synapse54
18,90732 (San Pedro),90732,3087,160,160,12376250.0,32919.468861868474,1756054039623,Synapse54,1756054039623,Synapse54
19,90740 (Seal Beach),90740,3045,130,130,42647500.0,54903.19510480677,1756054039623,Synapse54,1756054039623,Synapse54
20,90742 (Sunset Beach),90742,167,190,190,700000.0,5382.97923380643,1756054039623,Synapse54,1756054039623,Synapse54
21,90743 (Surfside),90743,88,210,210,231250.0,2649.4684186845716,1756054039623,Synapse54,1756054039623,Synapse54
22,90744 (Wilmington),90744,4613,110,110,31080241.0703125,43104.84708847526,1756054039623,Synapse54,1756054039623,Synapse54
23,90745 (Carson),90745,7976,147,147,35248750.0,31438.954141770097,1756054039623,Synapse54,1756054039623,Synapse54
24,90746 (Carson),90746,3311,140,140,17917500.0,30525.228219730772,1756054039623,Synapse54,1756054039623,Synapse54
25,90747 (Carson),90747,202,203,203,2286250.0,6401.533492925306,1756054039623,Synapse54,1756054039623,Synapse54
26,90755 (Signal Hill),90755,1890,182,182,8360000.0,20962.747994930123,1756054039623,Synapse54,1756054039623,Synapse54
27,90802 (Long Beach),90802,6998,166,166,22859565.21484375,61216.36467230521,1756054039623,Synapse54,1756054039623,Synapse54
28,90803 (Long Beach),90803,6338,201,201,16947478.35546875,45733.707572355765,1756054039623,Synapse54,1756054039623,Synapse54
