OBJECTID,DESCRIPTION,ID,MP28646A_B,MP28646A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92322 (Cedarpines Park),92322,320,32.03,32.03,23482500.0,36314.45693055894,1756053735161,Synapse54,1756053735161,Synapse54
2,92325 (Crestline),92325,2505,31.46,31.46,40745000.0,36360.74748998447,1756053735161,Synapse54,1756053735161,Synapse54
3,92327 (Daggett),92327,77,23.33,23.33,117928750.0,70424.41944943395,1756053735161,Synapse54,1756053735161,Synapse54
4,92328 (Death Valley),92328,166,29.48,29.48,11250172500.0,592837.0236694143,1756053735161,Synapse54,1756053735161,Synapse54
5,92332 (Essex),92332,17,30.36,30.36,8479478750.0,491222.04307418433,1756053735161,Synapse54,1756053735161,Synapse54
6,92333 (Fawnskin),92333,139,32.25,32.25,9801250.0,23411.774905525286,1756053735161,Synapse54,1756053735161,Synapse54
7,92335 (Fontana),92335,21690,32.15,32.15,65380000.0,40779.92289285877,1756053735161,Synapse54,1756053735161,Synapse54
8,92336 (Fontana),92336,29130,34.33,34.33,78431250.0,47083.67147810428,1756053735161,Synapse54,1756053735161,Synapse54
9,92337 (Fontana),92337,9148,33.08,33.08,50931250.0,35486.09943380774,1756053735161,Synapse54,1756053735161,Synapse54
10,92338 (Ludlow),92338,9,23.68,23.68,2457380000.0,333491.21301942435,1756053735161,Synapse54,1756053735161,Synapse54
11,92339 (Forest Falls),92339,333,33.27,33.27,346780000.0,130998.42700267813,1756053735161,Synapse54,1756053735161,Synapse54
12,92341 (Green Valley Lake),92341,122,32.19,32.19,4170000.0,10148.730814482513,1756053735161,Synapse54,1756053735161,Synapse54
13,92342 (Helendale),92342,1618,30.31,30.31,490536250.0,128551.89282404495,1756053735161,Synapse54,1756053735161,Synapse54
14,92344 (Hesperia),92344,6150,33.72,33.72,145977500.0,59094.021951112074,1756053735161,Synapse54,1756053735161,Synapse54
15,92345 (Hesperia),92345,20219,31.55,31.55,299282877.56640625,94717.5221552905,1756053735161,Synapse54,1756053735161,Synapse54
16,92346 (Highland),92346,14883,33.05,33.05,75450000.0,50516.84006554063,1756053735161,Synapse54,1756053735161,Synapse54
17,92347 (Hinkley),92347,172,27.0,27.0,1168466250.0,223429.79570630056,1756053735161,Synapse54,1756053735161,Synapse54
18,92350 (Loma Linda),92350,3,23.08,23.08,325000.0,2662.272482983109,1756053735161,Synapse54,1756053735161,Synapse54
19,92352 (Lake Arrowhead),92352,2372,39.43,39.43,34961250.0,39198.68135370152,1756053735161,Synapse54,1756053735161,Synapse54
20,92354 (Loma Linda),92354,6421,34.66,34.66,19262500.0,32113.439694581248,1756053735161,Synapse54,1756053735161,Synapse54
21,92356 (Lucerne Valley),92356,1091,23.53,23.53,1747987500.0,262557.9121112412,1756053735161,Synapse54,1756053735161,Synapse54
22,92358 (Lytle Creek),92358,183,30.25,30.25,95396250.0,59237.84705163992,1756053735161,Synapse54,1756053735161,Synapse54
23,92359 (Mentone),92359,2199,31.38,31.38,199802500.0,146993.5666282572,1756053735161,Synapse54,1756053735161,Synapse54
24,85328 (Cibola),85328,49,32.89,32.89,527471250.0,162187.00041854146,1756053735161,Synapse54,1756053735161,Synapse54
25,92363 (Needles),92363,1087,24.85,24.85,4995917500.0,522891.6342496342,1756053735161,Synapse54,1756053735161,Synapse54
26,92364 (Nipton),92364,18,30.51,30.51,6662700000.0,495982.3479221093,1756053735161,Synapse54,1756053735161,Synapse54
27,92365 (Newberry Springs),92365,506,28.67,28.67,2015372500.0,283603.0952464746,1756053735161,Synapse54,1756053735161,Synapse54
28,92368 (Oro Grande),92368,162,23.14,23.14,263910000.0,69753.73208396425,1756053735161,Synapse54,1756053735161,Synapse54
29,92371 (Phelan),92371,3759,28.07,28.07,495092500.0,136736.61966382695,1756053735161,Synapse54,1756053735161,Synapse54
30,92372 (Pinon Hills),92372,1058,25.61,25.61,74847500.0,51049.10986571373,1756053735161,Synapse54,1756053735161,Synapse54
31,92373 (Redlands),92373,10400,36.91,36.91,163128750.0,89297.98121789581,1756053735161,Synapse54,1756053735161,Synapse54
32,92374 (Redlands),92374,12637,34.83,34.83,76466250.0,52153.39311998224,1756053735161,Synapse54,1756053735161,Synapse54
33,92376 (Rialto),92376,20321,31.91,31.91,49923750.0,39680.21948472379,1756053735161,Synapse54,1756053735161,Synapse54
34,92377 (Rialto),92377,5841,33.91,33.91,36657500.0,29736.2696185539,1756053735161,Synapse54,1756053735161,Synapse54
35,92378 (Rimforest),92378,69,32.7,32.7,1331250.0,5709.97183051108,1756053735161,Synapse54,1756053735161,Synapse54
36,92382 (Running Springs),92382,1486,33.38,33.38,72786250.0,41738.801968663414,1756053735161,Synapse54,1756053735161,Synapse54
37,92384 (Shoshone),92384,18,29.51,29.51,6149136250.0,351475.9713463227,1756053735161,Synapse54,1756053735161,Synapse54
38,92385 (Skyforest),92385,80,31.62,31.62,1886250.0,7682.238548172248,1756053735161,Synapse54,1756053735161,Synapse54
39,92386 (Sugarloaf),92386,641,32.23,32.23,5848750.0,12327.857358947613,1756053735161,Synapse54,1756053735161,Synapse54
40,92389 (Tecopa),92389,69,29.49,29.49,1444243750.0,199918.4382367414,1756053735161,Synapse54,1756053735161,Synapse54
41,92391 (Twin Peaks),92391,683,35.61,35.61,7715000.0,18302.818690646458,1756053735161,Synapse54,1756053735161,Synapse54
42,92392 (Victorville),92392,15143,31.63,31.63,137711250.0,60765.98824847531,1756053735161,Synapse54,1756053735161,Synapse54
43,92394 (Victorville),92394,8234,25.59,25.59,121477500.0,88305.61698855038,1756053735161,Synapse54,1756053735161,Synapse54
44,92395 (Victorville),92395,10792,30.8,30.8,68708145.1640625,47846.85223202196,1756053735161,Synapse54,1756053735161,Synapse54
45,92397 (Wrightwood),92397,1519,36.24,36.24,140215000.0,84425.74718512002,1756053735161,Synapse54,1756053735161,Synapse54
46,92398 (Yermo),92398,217,23.21,23.21,101285000.0,60647.751832491886,1756053735161,Synapse54,1756053735161,Synapse54
47,92399 (Yucaipa),92399,14486,33.1,33.1,172393750.0,78202.61353775508,1756053735161,Synapse54,1756053735161,Synapse54
48,92401 (San Bernardino),92401,314,26.23,26.23,2431250.0,11026.825288417274,1756053735161,Synapse54,1756053735161,Synapse54
49,92404 (San Bernardino),92404,14413,30.54,30.54,83843750.0,59702.91140620923,1756053735161,Synapse54,1756053735161,Synapse54
50,92405 (San Bernardino),92405,6790,30.49,30.49,19550000.0,22817.92291360122,1756053735161,Synapse54,1756053735161,Synapse54
51,92407 (San Bernardino),92407,16791,32.87,32.87,655255227.2773438,262930.7761975885,1756053735161,Synapse54,1756053735161,Synapse54
52,92408 (San Bernardino),92408,3381,30.27,30.27,44236250.0,37255.81035689737,1756053735161,Synapse54,1756053735161,Synapse54
53,92410 (San Bernardino),92410,10996,30.24,30.24,31268750.0,49893.12531732991,1756053735161,Synapse54,1756053735161,Synapse54
54,92411 (San Bernardino),92411,5796,30.34,30.34,17991250.0,18900.85406904243,1756053735161,Synapse54,1756053735161,Synapse54
55,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756053735161,Synapse54,1756053735161,Synapse54
56,92501 (Riverside),92501,5743,32.96,32.96,22537500.0,29360.344553073046,1756053735161,Synapse54,1756053735161,Synapse54
57,92503 (Riverside),92503,24099,33.55,33.55,107661250.0,83524.3000869383,1756053735161,Synapse54,1756053735161,Synapse54
58,92504 (Riverside),92504,14694,33.99,33.99,85888750.0,78010.88809143189,1756053735161,Synapse54,1756053735161,Synapse54
59,92505 (Riverside),92505,12615,32.88,32.88,47511250.0,39417.83554710996,1756053735161,Synapse54,1756053735161,Synapse54
60,92506 (Riverside),92506,13484,36.81,36.81,65882500.0,59310.71744028767,1756053735161,Synapse54,1756053735161,Synapse54
61,92507 (Riverside),92507,16928,32.44,32.44,67203750.0,75253.54192382339,1756053735161,Synapse54,1756053735161,Synapse54
62,92508 (Riverside),92508,9734,35.62,35.62,48228750.0,42104.659565642694,1756053735161,Synapse54,1756053735161,Synapse54
63,92509 (Jurupa Valley),92509,19802,32.78,32.78,116866250.0,47428.70899972364,1756053735161,Synapse54,1756053735161,Synapse54
64,92518 (March Air Reserve Base),92518,561,36.98,36.98,38241250.0,32992.245231222754,1756053735161,Synapse54,1756053735161,Synapse54
65,92521 (Riverside),92521,1061,25.58,25.58,4610000.0,12148.698391121136,1756053735161,Synapse54,1756053735161,Synapse54
66,92530 (Lake Elsinore),92530,14690,32.34,32.34,438397500.0,112963.1858719261,1756053735161,Synapse54,1756053735161,Synapse54
67,92532 (Lake Elsinore),92532,6996,34.01,34.01,63673750.0,65388.410720160115,1756053735161,Synapse54,1756053735161,Synapse54
68,92536 (Aguanga),92536,953,32.01,32.01,354418750.0,120213.46731845246,1756053735161,Synapse54,1756053735161,Synapse54
69,92539 (Anza),92539,998,24.87,24.87,579091250.0,144201.50706698783,1756053735161,Synapse54,1756053735161,Synapse54
70,92543 (Hemet),92543,8968,29.05,29.05,68802500.0,61367.79442167451,1756053735161,Synapse54,1756053735161,Synapse54
71,92544 (Hemet),92544,11598,31.48,31.48,414903750.0,151338.12956250404,1756053735161,Synapse54,1756053735161,Synapse54
72,92545 (Hemet),92545,11970,32.28,32.28,104872500.0,86730.68453675932,1756053735161,Synapse54,1756053735161,Synapse54
73,92548 (Homeland),92548,2048,28.75,28.75,38288750.0,33509.64277118994,1756053735161,Synapse54,1756053735161,Synapse54
74,92549 (Idyllwild),92549,1192,33.9,33.9,358915000.0,107864.63976792223,1756053735161,Synapse54,1756053735161,Synapse54
75,92551 (Moreno Valley),92551,8358,32.72,32.72,22831250.0,19728.964458924765,1756053735161,Synapse54,1756053735161,Synapse54
76,92553 (Moreno Valley),92553,17916,31.77,31.77,38985000.0,28591.739186878363,1756053735161,Synapse54,1756053735161,Synapse54
77,92555 (Moreno Valley),92555,12009,33.08,33.08,275277500.0,91449.45508308428,1756053735161,Synapse54,1756053735161,Synapse54
78,92557 (Moreno Valley),92557,13913,33.39,33.39,79985000.0,53460.86448257353,1756053735161,Synapse54,1756053735161,Synapse54
79,92561 (Mountain Center),92561,548,33.58,33.58,1620912500.0,315017.98964642035,1756053735161,Synapse54,1756053735161,Synapse54
80,92562 (Murrieta),92562,17707,35.56,35.56,221006250.0,95812.13808091207,1756053735161,Synapse54,1756053735161,Synapse54
