OBJECTID,DESCRIPTION,ID,MP14029A_B,MP14029A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90001 (Los Angeles),90001,6122,116,116,13386250.0,16233.854040357846,1756054077356,Synapse54,1756054077356,Synapse54
2,90002 (Los Angeles),90002,5755,114,114,11663750.0,16035.555808070421,1756054077356,Synapse54,1756054077356,Synapse54
3,90003 (Los Angeles),90003,7672,115,115,13235000.0,18952.41108655517,1756054077356,Synapse54,1756054077356,Synapse54
4,90004 (Los Angeles),90004,7083,108,108,11802500.0,16223.887266526037,1756054077356,Synapse54,1756054077356,Synapse54
5,90005 (Los Angeles),90005,5415,101,101,5881250.0,15391.364856567341,1756054077356,Synapse54,1756054077356,Synapse54
6,90006 (Los Angeles),90006,6645,108,108,7001250.0,11026.180782215537,1756054077356,Synapse54,1756054077356,Synapse54
7,90007 (Los Angeles),90007,5315,107,107,9585000.0,20329.343922272503,1756054077356,Synapse54,1756054077356,Synapse54
8,90008 (Los Angeles),90008,3644,102,102,13288750.0,21454.849459325556,1756054077356,Synapse54,1756054077356,Synapse54
9,90011 (Los Angeles),90011,11239,115,115,16376250.0,16341.560688590307,1756054077356,Synapse54,1756054077356,Synapse54
10,90012 (Los Angeles),90012,4399,100,100,14017500.0,20135.545328109423,1756054077356,Synapse54,1756054077356,Synapse54
11,90013 (Los Angeles),90013,2074,96,96,2586250.0,8075.848289594547,1756054077356,Synapse54,1756054077356,Synapse54
12,90014 (Los Angeles),90014,1268,97,97,1122500.0,4495.148471226037,1756054077356,Synapse54,1756054077356,Synapse54
13,90015 (Los Angeles),90015,3501,100,100,6278750.0,12975.311211764012,1756054077356,Synapse54,1756054077356,Synapse54
14,90016 (Los Angeles),90016,5704,109,109,13681250.0,21263.886655453778,1756054077356,Synapse54,1756054077356,Synapse54
15,90017 (Los Angeles),90017,3454,101,101,2757500.0,7543.218219484606,1756054077356,Synapse54,1756054077356,Synapse54
16,90018 (Los Angeles),90018,6230,112,112,11643750.0,16634.168024347473,1756054077356,Synapse54,1756054077356,Synapse54
17,90019 (Los Angeles),90019,8079,115,115,15283750.0,21460.833066582647,1756054077356,Synapse54,1756054077356,Synapse54
18,90020 (Los Angeles),90020,4552,105,105,4171250.0,13329.782716347021,1756054077356,Synapse54,1756054077356,Synapse54
19,90021 (Los Angeles),90021,685,99,99,7756250.0,12911.650745251342,1756054077356,Synapse54,1756054077356,Synapse54
