OBJECTID,DESCRIPTION,ID,MP28591A_B,MP28591A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90001 (Los Angeles),90001,6860,136,136,13386250.0,16233.854040357846,1756054098062,Synapse54,1756054098062,Synapse54
2,90002 (Los Angeles),90002,6323,131,131,11663750.0,16035.555808070421,1756054098062,Synapse54,1756054098062,Synapse54
3,90003 (Los Angeles),90003,8598,135,135,13235000.0,18952.41108655517,1756054098062,Synapse54,1756054098062,Synapse54
4,90004 (Los Angeles),90004,7297,116,116,11802500.0,16223.887266526037,1756054098062,Synapse54,1756054098062,Synapse54
5,90005 (Los Angeles),90005,5864,115,115,5881250.0,15391.364856567341,1756054098062,Synapse54,1756054098062,Synapse54
6,90006 (Los Angeles),90006,7058,121,121,7001250.0,11026.180782215537,1756054098062,Synapse54,1756054098062,Synapse54
7,90007 (Los Angeles),90007,5537,117,117,9585000.0,20329.343922272503,1756054098062,Synapse54,1756054098062,Synapse54
8,90008 (Los Angeles),90008,3933,116,116,13288750.0,21454.849459325556,1756054098062,Synapse54,1756054098062,Synapse54
9,90011 (Los Angeles),90011,12618,135,135,16376250.0,16341.560688590307,1756054098062,Synapse54,1756054098062,Synapse54
10,90012 (Los Angeles),90012,4775,114,114,14017500.0,20135.545328109423,1756054098062,Synapse54,1756054098062,Synapse54
11,90013 (Los Angeles),90013,2163,105,105,2586250.0,8075.848289594547,1756054098062,Synapse54,1756054098062,Synapse54
12,90014 (Los Angeles),90014,1440,116,116,1122500.0,4495.148471226037,1756054098062,Synapse54,1756054098062,Synapse54
13,90015 (Los Angeles),90015,4019,121,121,6278750.0,12975.311211764012,1756054098062,Synapse54,1756054098062,Synapse54
14,90016 (Los Angeles),90016,6024,121,121,13681250.0,21263.886655453778,1756054098062,Synapse54,1756054098062,Synapse54
15,90017 (Los Angeles),90017,3872,118,118,2757500.0,7543.218219484606,1756054098062,Synapse54,1756054098062,Synapse54
16,90018 (Los Angeles),90018,6307,119,119,11643750.0,16634.168024347473,1756054098062,Synapse54,1756054098062,Synapse54
17,90019 (Los Angeles),90019,7823,117,117,15283750.0,21460.833066582647,1756054098062,Synapse54,1756054098062,Synapse54
18,90020 (Los Angeles),90020,4732,114,114,4171250.0,13329.782716347021,1756054098062,Synapse54,1756054098062,Synapse54
19,90021 (Los Angeles),90021,738,112,112,7756250.0,12911.650745251342,1756054098062,Synapse54,1756054098062,Synapse54
20,90022 (Los Angeles),90022,7935,130,130,16201250.0,20545.355145567133,1756054098062,Synapse54,1756054098062,Synapse54
21,90023 (Los Angeles),90023,5441,133,133,15738750.0,25060.48516334698,1756054098062,Synapse54,1756054098062,Synapse54
22,90024 (Los Angeles),90024,6691,109,109,11132500.0,23698.081064437145,1756054098062,Synapse54,1756054098062,Synapse54
23,90025 (Los Angeles),90025,6161,121,121,10193750.0,17840.283787428227,1756054098062,Synapse54,1756054098062,Synapse54
24,90026 (Los Angeles),90026,8258,117,117,15428750.0,24118.65217370451,1756054098062,Synapse54,1756054098062,Synapse54
25,90027 (Los Angeles),90027,5823,115,115,31273750.0,33139.15154098183,1756054098062,Synapse54,1756054098062,Synapse54
26,90028 (Los Angeles),90028,4586,116,116,5651250.0,11941.515699450967,1756054098062,Synapse54,1756054098062,Synapse54
27,90029 (Los Angeles),90029,4177,116,116,5180000.0,10416.550542669982,1756054098062,Synapse54,1756054098062,Synapse54
28,90031 (Los Angeles),90031,4577,121,121,15266250.0,28937.63345244274,1756054098062,Synapse54,1756054098062,Synapse54
29,90032 (Los Angeles),90032,4835,112,112,17651250.0,23396.460140272397,1756054098062,Synapse54,1756054098062,Synapse54
30,90033 (Los Angeles),90033,5826,133,133,11348750.0,17708.809547572026,1756054098062,Synapse54,1756054098062,Synapse54
31,90034 (Los Angeles),90034,7509,118,118,11981250.0,20568.377536787157,1756054098062,Synapse54,1756054098062,Synapse54
32,90035 (Los Angeles),90035,3474,111,111,7850000.0,15210.86103832469,1756054098062,Synapse54,1756054098062,Synapse54
33,90036 (Los Angeles),90036,4971,118,118,9057500.0,13075.085235078514,1756054098062,Synapse54,1756054098062,Synapse54
34,90037 (Los Angeles),90037,7706,133,133,10541250.0,14714.181233454361,1756054098062,Synapse54,1756054098062,Synapse54
35,90038 (Los Angeles),90038,3754,117,117,5802500.0,11252.079728939614,1756054098062,Synapse54,1756054098062,Synapse54
36,90039 (Los Angeles),90039,3364,112,112,14942500.0,26392.430761234824,1756054098062,Synapse54,1756054098062,Synapse54
37,90040 (Los Angeles),90040,1320,105,105,21608750.0,29191.681126081883,1756054098062,Synapse54,1756054098062,Synapse54
38,90041 (Los Angeles),90041,3239,112,112,13466250.0,23254.908024557877,1756054098062,Synapse54,1756054098062,Synapse54
39,90042 (Los Angeles),90042,6772,116,116,16615000.0,25721.742750242374,1756054098062,Synapse54,1756054098062,Synapse54
40,90043 (Los Angeles),90043,5856,121,121,15602500.0,20646.12008671483,1756054098062,Synapse54,1756054098062,Synapse54
41,90044 (Los Angeles),90044,11382,130,130,19178750.0,24143.251573690275,1756054098062,Synapse54,1756054098062,Synapse54
42,90045 (Los Angeles),90045,5073,110,110,41698750.0,33299.53911864308,1756054098062,Synapse54,1756054098062,Synapse54
