OBJECTID,DESCRIPTION,ID,MEDAGE_CY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90001 (Los Angeles),90001,31.6,31.6,13386250.0,16233.854040357846,1756054174172,Synapse54,1756054174172,Synapse54
2,90002 (Los Angeles),90002,31.1,31.1,11663750.0,16035.555808070421,1756054174172,Synapse54,1756054174172,Synapse54
3,90003 (Los Angeles),90003,31.1,31.1,13235000.0,18952.41108655517,1756054174172,Synapse54,1756054174172,Synapse54
4,90004 (Los Angeles),90004,37.3,37.3,11802500.0,16223.887266526037,1756054174172,Synapse54,1756054174172,Synapse54
5,90005 (Los Angeles),90005,36.7,36.7,5881250.0,15391.364856567341,1756054174172,Synapse54,1756054174172,Synapse54
6,90006 (Los Angeles),90006,37.3,37.3,7001250.0,11026.180782215537,1756054174172,Synapse54,1756054174172,Synapse54
7,90007 (Los Angeles),90007,27.7,27.7,9585000.0,20329.343922272503,1756054174172,Synapse54,1756054174172,Synapse54
8,92350 (Loma Linda),92350,25.8,25.8,328750.0,2775.2716166686246,1756054174172,Synapse54,1756054174172,Synapse54
9,90008 (Los Angeles),90008,41.7,41.7,13288750.0,21454.849459325556,1756054174172,Synapse54,1756054174172,Synapse54
10,90011 (Los Angeles),90011,31.2,31.2,16376250.0,16341.560688590307,1756054174172,Synapse54,1756054174172,Synapse54
11,92354 (Loma Linda),92354,36.6,36.6,19397500.0,32466.98378542479,1756054174172,Synapse54,1756054174172,Synapse54
12,90012 (Los Angeles),90012,36.7,36.7,14017500.0,20135.545328109423,1756054174172,Synapse54,1756054174172,Synapse54
13,92356 (Lucerne Valley),92356,45.4,45.4,1748225000.0,262777.6705790254,1756054174172,Synapse54,1756054174172,Synapse54
14,90013 (Los Angeles),90013,44.2,44.2,2586250.0,8075.848289594547,1756054174172,Synapse54,1756054174172,Synapse54
15,90014 (Los Angeles),90014,38.0,38.0,1122500.0,4495.148471226037,1756054174172,Synapse54,1756054174172,Synapse54
16,90015 (Los Angeles),90015,33.6,33.6,6278750.0,12975.311211764012,1756054174172,Synapse54,1756054174172,Synapse54
