OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92322 (Cedarpines Park),92322,194,16.23,16.23,23482500.0,36314.45693055894,1756054193073,Synapse54,1756054193073,Synapse54
2,92325 (Crestline),92325,1705,17.46,17.46,40745000.0,36360.74748998447,1756054193073,Synapse54,1756054193073,Synapse54
3,92327 (Daggett),92327,75,18.7,18.7,117928750.0,70424.41944943395,1756054193073,Synapse54,1756054193073,Synapse54
4,92328 (Death Valley),92328,103,16.59,16.59,11250172500.0,592837.0236694143,1756054193073,Synapse54,1756054193073,Synapse54
5,92332 (Essex),92332,16,20.51,20.51,8479478750.0,491222.04307418433,1756054193073,Synapse54,1756054193073,Synapse54
6,92333 (Fawnskin),92333,47,9.85,9.85,9801250.0,23411.774905525286,1756054193073,Synapse54,1756054193073,Synapse54
7,92335 (Fontana),92335,26212,28.79,28.79,65380000.0,40779.92289285877,1756054193073,Synapse54,1756054193073,Synapse54
8,92336 (Fontana),92336,28605,25.44,25.44,78431250.0,47083.67147810428,1756054193073,Synapse54,1756054193073,Synapse54
9,92337 (Fontana),92337,9435,26.5,26.5,50931250.0,35486.09943380774,1756054193073,Synapse54,1756054193073,Synapse54
10,92338 (Ludlow),92338,14,26.42,26.42,2457380000.0,333491.21301942435,1756054193073,Synapse54,1756054193073,Synapse54
11,92339 (Forest Falls),92339,210,17.66,17.66,346780000.0,130998.42700267813,1756054193073,Synapse54,1756054193073,Synapse54
12,92341 (Green Valley Lake),92341,57,12.98,12.98,4170000.0,10148.730814482513,1756054193073,Synapse54,1756054193073,Synapse54
13,92342 (Helendale),92342,1396,20.66,20.66,490536250.0,128551.89282404495,1756054193073,Synapse54,1756054193073,Synapse54
14,92344 (Hesperia),92344,6847,28.38,28.38,145977500.0,59094.021951112074,1756054193073,Synapse54,1756054193073,Synapse54
15,92345 (Hesperia),92345,23562,27.17,27.17,299282877.56640625,94717.5221552905,1756054193073,Synapse54,1756054193073,Synapse54
16,92346 (Highland),92346,14277,24.47,24.47,75450000.0,50516.84006554063,1756054193073,Synapse54,1756054193073,Synapse54
17,92347 (Hinkley),92347,191,23.24,23.24,1168466250.0,223429.79570630056,1756054193073,Synapse54,1756054193073,Synapse54
18,92350 (Loma Linda),92350,6,40.0,40.0,325000.0,2662.272482983109,1756054193073,Synapse54,1756054193073,Synapse54
19,92352 (Lake Arrowhead),92352,1262,17.49,17.49,34961250.0,39198.68135370152,1756054193073,Synapse54,1756054193073,Synapse54
20,92354 (Loma Linda),92354,5050,21.97,21.97,19262500.0,32113.439694581248,1756054193073,Synapse54,1756054193073,Synapse54
21,92356 (Lucerne Valley),92356,1117,19.24,19.24,1747987500.0,262557.9121112412,1756054193073,Synapse54,1756054193073,Synapse54
22,92358 (Lytle Creek),92358,107,15.2,15.2,95396250.0,59237.84705163992,1756054193073,Synapse54,1756054193073,Synapse54
23,92359 (Mentone),92359,2067,23.16,23.16,199802500.0,146993.5666282572,1756054193073,Synapse54,1756054193073,Synapse54
24,92363 (Needles),92363,1151,20.86,20.86,4995917500.0,522891.6342496342,1756054193073,Synapse54,1756054193073,Synapse54
25,92364 (Nipton),92364,22,28.57,28.57,6662700000.0,495982.3479221093,1756054193073,Synapse54,1756054193073,Synapse54
26,92365 (Newberry Springs),92365,407,18.96,18.96,2015372500.0,283603.0952464746,1756054193073,Synapse54,1756054193073,Synapse54
27,92368 (Oro Grande),92368,208,23.32,23.32,263910000.0,69753.73208396425,1756054193073,Synapse54,1756054193073,Synapse54
28,92371 (Phelan),92371,3864,22.93,22.93,495092500.0,136736.61966382695,1756054193073,Synapse54,1756054193073,Synapse54
29,92372 (Pinon Hills),92372,950,18.67,18.67,74847500.0,51049.10986571373,1756054193073,Synapse54,1756054193073,Synapse54
30,92373 (Redlands),92373,6981,20.11,20.11,163128750.0,89297.98121789581,1756054193073,Synapse54,1756054193073,Synapse54
31,92374 (Redlands),92374,12405,26.73,26.73,76466250.0,52153.39311998224,1756054193073,Synapse54,1756054193073,Synapse54
32,92376 (Rialto),92376,24292,28.31,28.31,49923750.0,39680.21948472379,1756054193073,Synapse54,1756054193073,Synapse54
33,92377 (Rialto),92377,5446,24.34,24.34,36657500.0,29736.2696185539,1756054193073,Synapse54,1756054193073,Synapse54
34,92378 (Rimforest),92378,53,19.78,19.78,1331250.0,5709.97183051108,1756054193073,Synapse54,1756054193073,Synapse54
35,92382 (Running Springs),92382,997,18.03,18.03,72786250.0,41738.801968663414,1756054193073,Synapse54,1756054193073,Synapse54
36,92384 (Shoshone),92384,11,15.49,15.49,6149136250.0,351475.9713463227,1756054193073,Synapse54,1756054193073,Synapse54
37,92385 (Skyforest),92385,60,17.91,17.91,1886250.0,7682.238548172248,1756054193073,Synapse54,1756054193073,Synapse54
38,92386 (Sugarloaf),92386,348,14.75,14.75,5848750.0,12327.857358947613,1756054193073,Synapse54,1756054193073,Synapse54
39,92389 (Tecopa),92389,42,16.73,16.73,1444243750.0,199918.4382367414,1756054193073,Synapse54,1756054193073,Synapse54
40,92391 (Twin Peaks),92391,529,22.14,22.14,7715000.0,18302.818690646458,1756054193073,Synapse54,1756054193073,Synapse54
41,92392 (Victorville),92392,19118,29.27,29.27,137711250.0,60765.98824847531,1756054193073,Synapse54,1756054193073,Synapse54
42,92394 (Victorville),92394,12579,28.72,28.72,121477500.0,88305.61698855038,1756054193073,Synapse54,1756054193073,Synapse54
43,92395 (Victorville),92395,12817,26.86,26.86,68708145.1640625,47846.85223202196,1756054193073,Synapse54,1756054193073,Synapse54
44,92397 (Wrightwood),92397,976,18.55,18.55,140215000.0,84425.74718512002,1756054193073,Synapse54,1756054193073,Synapse54
45,92398 (Yermo),92398,252,21.28,21.28,101285000.0,60647.751832491886,1756054193073,Synapse54,1756054193073,Synapse54
46,92399 (Yucaipa),92399,12541,22.25,22.25,172393750.0,78202.61353775508,1756054193073,Synapse54,1756054193073,Synapse54
47,92401 (San Bernardino),92401,482,27.76,27.76,2431250.0,11026.825288417274,1756054193073,Synapse54,1756054193073,Synapse54
48,92404 (San Bernardino),92404,18047,27.75,27.75,83843750.0,59702.91140620923,1756054193073,Synapse54,1756054193073,Synapse54
49,92405 (San Bernardino),92405,8421,27.56,27.56,19550000.0,22817.92291360122,1756054193073,Synapse54,1756054193073,Synapse54
50,92407 (San Bernardino),92407,19491,28.37,28.37,655255227.2773438,262930.7761975885,1756054193073,Synapse54,1756054193073,Synapse54
51,92408 (San Bernardino),92408,3933,26.45,26.45,44236250.0,37255.81035689737,1756054193073,Synapse54,1756054193073,Synapse54
52,92410 (San Bernardino),92410,15207,30.26,30.26,31268750.0,49893.12531732991,1756054193073,Synapse54,1756054193073,Synapse54
53,92411 (San Bernardino),92411,8263,31.05,31.05,17991250.0,18900.85406904243,1756054193073,Synapse54,1756054193073,Synapse54
54,92415 (San Bernardino),92415,0,0.0,0.0,275000.0,3000.0,1756054193073,Synapse54,1756054193073,Synapse54
55,92501 (Riverside),92501,5155,23.22,23.22,22537500.0,29360.344553073046,1756054193073,Synapse54,1756054193073,Synapse54
56,92503 (Riverside),92503,23804,25.52,25.52,107661250.0,83524.3000869383,1756054193073,Synapse54,1756054193073,Synapse54
57,92504 (Riverside),92504,13810,24.95,24.95,85888750.0,78010.88809143189,1756054193073,Synapse54,1756054193073,Synapse54
58,92505 (Riverside),92505,12934,26.12,26.12,47511250.0,39417.83554710996,1756054193073,Synapse54,1756054193073,Synapse54
59,92506 (Riverside),92506,9565,20.96,20.96,65882500.0,59310.71744028767,1756054193073,Synapse54,1756054193073,Synapse54
60,92507 (Riverside),92507,21974,33.27,33.27,67203750.0,75253.54192382339,1756054193073,Synapse54,1756054193073,Synapse54
61,92508 (Riverside),92508,8865,25.07,25.07,48228750.0,42104.659565642694,1756054193073,Synapse54,1756054193073,Synapse54
62,92509 (Jurupa Valley),92509,21042,26.45,26.45,116866250.0,47428.70899972364,1756054193073,Synapse54,1756054193073,Synapse54
63,92518 (March Air Reserve Base),92518,159,9.47,9.47,38241250.0,32992.245231222754,1756054193073,Synapse54,1756054193073,Synapse54
64,92521 (Riverside),92521,4101,97.39,97.39,4610000.0,12148.698391121136,1756054193073,Synapse54,1756054193073,Synapse54
65,92530 (Lake Elsinore),92530,16069,26.37,26.37,438397500.0,112963.1858719261,1756054193073,Synapse54,1756054193073,Synapse54
66,92532 (Lake Elsinore),92532,7307,26.33,26.33,63673750.0,65388.410720160115,1756054193073,Synapse54,1756054193073,Synapse54
67,92536 (Aguanga),92536,566,15.86,15.86,354418750.0,120213.46731845246,1756054193073,Synapse54,1756054193073,Synapse54
68,92539 (Anza),92539,848,17.43,17.43,579091250.0,144201.50706698783,1756054193073,Synapse54,1756054193073,Synapse54
69,92543 (Hemet),92543,9497,23.32,23.32,68802500.0,61367.79442167451,1756054193073,Synapse54,1756054193073,Synapse54
70,92544 (Hemet),92544,12272,25.05,25.05,414903750.0,151338.12956250404,1756054193073,Synapse54,1756054193073,Synapse54
71,92545 (Hemet),92545,9496,20.57,20.57,104872500.0,86730.68453675932,1756054193073,Synapse54,1756054193073,Synapse54
72,92548 (Homeland),92548,2533,26.83,26.83,38288750.0,33509.64277118994,1756054193073,Synapse54,1756054193073,Synapse54
73,92549 (Idyllwild),92549,630,15.4,15.4,358915000.0,107864.63976792223,1756054193073,Synapse54,1756054193073,Synapse54
74,92551 (Moreno Valley),92551,9649,27.93,27.93,22831250.0,19728.964458924765,1756054193073,Synapse54,1756054193073,Synapse54
75,92553 (Moreno Valley),92553,22397,29.27,29.27,38985000.0,28591.739186878363,1756054193073,Synapse54,1756054193073,Synapse54
76,92555 (Moreno Valley),92555,12408,26.16,26.16,275277500.0,91449.45508308428,1756054193073,Synapse54,1756054193073,Synapse54
77,92557 (Moreno Valley),92557,14024,25.69,25.69,79985000.0,53460.86448257353,1756054193073,Synapse54,1756054193073,Synapse54
78,92561 (Mountain Center),92561,249,13.29,13.29,1620912500.0,315017.98964642035,1756054193073,Synapse54,1756054193073,Synapse54
79,92562 (Murrieta),92562,15328,24.02,24.02,221006250.0,95812.13808091207,1756054193073,Synapse54,1756054193073,Synapse54
80,92563 (Murrieta),92563,19741,26.15,26.15,78192500.0,53899.198339420196,1756054193073,Synapse54,1756054193073,Synapse54
81,92567 (Nuevo),92567,2826,25.9,25.9,115155000.0,52551.257802414395,1756054193073,Synapse54,1756054193073,Synapse54
82,92570 (Perris),92570,16761,27.53,27.53,391848750.0,141636.61094909988,1756054193073,Synapse54,1756054193073,Synapse54
83,92571 (Perris),92571,18162,30.07,30.07,129411250.0,59493.83243138058,1756054193073,Synapse54,1756054193073,Synapse54
84,92582 (San Jacinto),92582,6735,28.84,28.84,77062500.0,47625.591915771925,1756054193073,Synapse54,1756054193073,Synapse54
85,92583 (San Jacinto),92583,9836,27.07,27.07,117017500.0,68854.68187138022,1756054193073,Synapse54,1756054193073,Synapse54
86,92584 (Menifee),92584,16516,24.61,24.61,125473750.0,88632.97807464864,1756054193073,Synapse54,1756054193073,Synapse54
87,92585 (Menifee),92585,7034,23.35,23.35,65328750.0,63969.72667996268,1756054193073,Synapse54,1756054193073,Synapse54
88,92586 (Menifee),92586,2827,12.8,12.8,22697500.0,25680.59999652119,1756054193073,Synapse54,1756054193073,Synapse54
89,92587 (Menifee),92587,3886,22.06,22.06,33000000.0,28855.688766937034,1756054193073,Synapse54,1756054193073,Synapse54
90,92590 (Temecula),92590,1119,23.72,23.72,171402500.0,74224.59376095551,1756054193073,Synapse54,1756054193073,Synapse54
91,92591 (Temecula),92591,11108,24.54,24.54,57467500.0,46864.2059342935,1756054193073,Synapse54,1756054193073,Synapse54
92,92592 (Temecula),92592,20043,24.9,24.9,449697500.0,150010.17362394696,1756054193073,Synapse54,1756054193073,Synapse54
93,92595 (Wildomar),92595,8344,23.56,23.56,77962500.0,49546.47682350081,1756054193073,Synapse54,1756054193073,Synapse54
94,92596 (Winchester),92596,11322,26.69,26.69,236541250.0,105694.89597132463,1756054193073,Synapse54,1756054193073,Synapse54
95,92602 (Irvine),92602,8486,25.55,25.55,54335000.0,48615.20874763779,1756054193073,Synapse54,1756054193073,Synapse54
96,92603 (Irvine),92603,4888,24.02,24.02,49596250.0,39851.28103911499,1756054193073,Synapse54,1756054193073,Synapse54
97,92604 (Irvine),92604,5807,21.11,21.11,12971250.0,14796.767588249384,1756054193073,Synapse54,1756054193073,Synapse54
98,92606 (Irvine),92606,5356,23.21,23.21,11687516.33984375,24285.50058514748,1756054193073,Synapse54,1756054193073,Synapse54
99,92610 (Foothill Ranch),92610,2494,22.03,22.03,41970000.0,42026.008696583456,1756054193073,Synapse54,1756054193073,Synapse54
100,92612 (Irvine),92612,10753,31.64,31.64,24991250.0,30023.681639087186,1756054193073,Synapse54,1756054193073,Synapse54
101,92614 (Irvine),92614,7635,24.56,24.56,16787500.0,22384.83540840505,1756054193073,Synapse54,1756054193073,Synapse54
102,92617 (Irvine),92617,17006,69.18,69.18,8672500.0,15412.013244571113,1756054193073,Synapse54,1756054193073,Synapse54
103,92618 (Irvine),92618,15176,22.54,22.54,94576250.0,64024.6551904949,1756054193073,Synapse54,1756054193073,Synapse54
104,85328 (Cibola),85328,26,15.66,15.66,527471250.0,162187.00041854146,1756054193073,Synapse54,1756054193073,Synapse54
