OBJECTID,DESCRIPTION,ID,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92324 (Colton),92324,6753,11.8,11.8,103893750.0,95493.09326340992,1756054216011,Synapse54,1756054216011,Synapse54
2,92325 (Crestline),92325,903,9.25,9.25,40745000.0,36360.74748998447,1756054216011,Synapse54,1756054216011,Synapse54
3,85328 (Cibola),85328,4,2.41,2.41,527471250.0,162187.00041854146,1756054216011,Synapse54,1756054216011,Synapse54
4,92327 (Daggett),92327,32,7.98,7.98,117928750.0,70424.41944943395,1756054216011,Synapse54,1756054216011,Synapse54
5,85334 (Ehrenberg),85334,41,6.23,6.23,14281250.0,17788.853656653973,1756054216011,Synapse54,1756054216011,Synapse54
6,92328 (Death Valley),92328,34,5.48,5.48,11250172500.0,592837.0236694143,1756054216011,Synapse54,1756054216011,Synapse54
7,92332 (Essex),92332,12,15.38,15.38,8479478750.0,491222.04307418433,1756054216011,Synapse54,1756054216011,Synapse54
8,92333 (Fawnskin),92333,16,3.35,3.35,9801250.0,23411.774905525286,1756054216011,Synapse54,1756054216011,Synapse54
9,92335 (Fontana),92335,11015,12.1,12.1,65380000.0,40779.92289285877,1756054216011,Synapse54,1756054216011,Synapse54
10,92336 (Fontana),92336,12930,11.5,11.5,78431250.0,47083.67147810428,1756054216011,Synapse54,1756054216011,Synapse54
11,92337 (Fontana),92337,3659,10.28,10.28,50931250.0,35486.09943380774,1756054216011,Synapse54,1756054216011,Synapse54
12,92338 (Ludlow),92338,8,15.09,15.09,2457380000.0,333491.21301942435,1756054216011,Synapse54,1756054216011,Synapse54
13,92339 (Forest Falls),92339,65,5.47,5.47,346780000.0,130998.42700267813,1756054216011,Synapse54,1756054216011,Synapse54
14,92341 (Green Valley Lake),92341,30,6.83,6.83,4170000.0,10148.730814482513,1756054216011,Synapse54,1756054216011,Synapse54
15,92342 (Helendale),92342,631,9.34,9.34,490536250.0,128551.89282404495,1756054216011,Synapse54,1756054216011,Synapse54
16,92344 (Hesperia),92344,2578,10.69,10.69,145977500.0,59094.021951112074,1756054216011,Synapse54,1756054216011,Synapse54
17,92345 (Hesperia),92345,10598,12.22,12.22,299282877.56640625,94717.5221552905,1756054216011,Synapse54,1756054216011,Synapse54
18,92346 (Highland),92346,6106,10.47,10.47,75450000.0,50516.84006554063,1756054216011,Synapse54,1756054216011,Synapse54
19,92347 (Hinkley),92347,89,10.83,10.83,1168466250.0,223429.79570630056,1756054216011,Synapse54,1756054216011,Synapse54
20,92350 (Loma Linda),92350,2,13.33,13.33,325000.0,2662.272482983109,1756054216011,Synapse54,1756054216011,Synapse54
21,92352 (Lake Arrowhead),92352,558,7.73,7.73,34961250.0,39198.68135370152,1756054216011,Synapse54,1756054216011,Synapse54
22,92354 (Loma Linda),92354,2300,10.0,10.0,19262500.0,32113.439694581248,1756054216011,Synapse54,1756054216011,Synapse54
23,92356 (Lucerne Valley),92356,599,10.32,10.32,1747987500.0,262557.9121112412,1756054216011,Synapse54,1756054216011,Synapse54
24,92358 (Lytle Creek),92358,49,6.96,6.96,95396250.0,59237.84705163992,1756054216011,Synapse54,1756054216011,Synapse54
25,92359 (Mentone),92359,894,10.02,10.02,199802500.0,146993.5666282572,1756054216011,Synapse54,1756054216011,Synapse54
26,92363 (Needles),92363,565,10.24,10.24,4995917500.0,522891.6342496342,1756054216011,Synapse54,1756054216011,Synapse54
27,92364 (Nipton),92364,8,10.39,10.39,6662700000.0,495982.3479221093,1756054216011,Synapse54,1756054216011,Synapse54
28,92365 (Newberry Springs),92365,181,8.43,8.43,2015372500.0,283603.0952464746,1756054216011,Synapse54,1756054216011,Synapse54
29,92368 (Oro Grande),92368,88,9.87,9.87,263910000.0,69753.73208396425,1756054216011,Synapse54,1756054216011,Synapse54
30,92371 (Phelan),92371,1545,9.17,9.17,495092500.0,136736.61966382695,1756054216011,Synapse54,1756054216011,Synapse54
31,92372 (Pinon Hills),92372,444,8.73,8.73,74847500.0,51049.10986571373,1756054216011,Synapse54,1756054216011,Synapse54
32,92373 (Redlands),92373,3138,9.04,9.04,163128750.0,89297.98121789581,1756054216011,Synapse54,1756054216011,Synapse54
33,92374 (Redlands),92374,4598,9.91,9.91,76466250.0,52153.39311998224,1756054216011,Synapse54,1756054216011,Synapse54
34,92376 (Rialto),92376,10256,11.95,11.95,49923750.0,39680.21948472379,1756054216011,Synapse54,1756054216011,Synapse54
35,92377 (Rialto),92377,2465,11.02,11.02,36657500.0,29736.2696185539,1756054216011,Synapse54,1756054216011,Synapse54
36,92378 (Rimforest),92378,29,10.82,10.82,1331250.0,5709.97183051108,1756054216011,Synapse54,1756054216011,Synapse54
37,92382 (Running Springs),92382,506,9.15,9.15,72786250.0,41738.801968663414,1756054216011,Synapse54,1756054216011,Synapse54
38,92384 (Shoshone),92384,5,7.04,7.04,6149136250.0,351475.9713463227,1756054216011,Synapse54,1756054216011,Synapse54
39,92385 (Skyforest),92385,44,13.13,13.13,1886250.0,7682.238548172248,1756054216011,Synapse54,1756054216011,Synapse54
40,92386 (Sugarloaf),92386,164,6.95,6.95,5848750.0,12327.857358947613,1756054216011,Synapse54,1756054216011,Synapse54
41,92389 (Tecopa),92389,11,4.38,4.38,1444243750.0,199918.4382367414,1756054216011,Synapse54,1756054216011,Synapse54
42,92391 (Twin Peaks),92391,202,8.46,8.46,7715000.0,18302.818690646458,1756054216011,Synapse54,1756054216011,Synapse54
43,92392 (Victorville),92392,7917,12.12,12.12,137711250.0,60765.98824847531,1756054216011,Synapse54,1756054216011,Synapse54
44,92394 (Victorville),92394,5384,12.29,12.29,121477500.0,88305.61698855038,1756054216011,Synapse54,1756054216011,Synapse54
45,92395 (Victorville),92395,6025,12.63,12.63,68708145.1640625,47846.85223202196,1756054216011,Synapse54,1756054216011,Synapse54
46,92397 (Wrightwood),92397,550,10.45,10.45,140215000.0,84425.74718512002,1756054216011,Synapse54,1756054216011,Synapse54
47,92398 (Yermo),92398,123,10.39,10.39,101285000.0,60647.751832491886,1756054216011,Synapse54,1756054216011,Synapse54
48,92399 (Yucaipa),92399,5872,10.42,10.42,172393750.0,78202.61353775508,1756054216011,Synapse54,1756054216011,Synapse54
49,92401 (San Bernardino),92401,288,16.59,16.59,2431250.0,11026.825288417274,1756054216011,Synapse54,1756054216011,Synapse54
50,92404 (San Bernardino),92404,8684,13.35,13.35,83843750.0,59702.91140620923,1756054216011,Synapse54,1756054216011,Synapse54
51,92405 (San Bernardino),92405,4059,13.28,13.28,19550000.0,22817.92291360122,1756054216011,Synapse54,1756054216011,Synapse54
52,92407 (San Bernardino),92407,8364,12.17,12.17,655255227.2773438,262930.7761975885,1756054216011,Synapse54,1756054216011,Synapse54
53,92408 (San Bernardino),92408,1799,12.1,12.1,44236250.0,37255.81035689737,1756054216011,Synapse54,1756054216011,Synapse54
54,92410 (San Bernardino),92410,6484,12.9,12.9,31268750.0,49893.12531732991,1756054216011,Synapse54,1756054216011,Synapse54
55,92411 (San Bernardino),92411,3390,12.74,12.74,17991250.0,18900.85406904243,1756054216011,Synapse54,1756054216011,Synapse54
56,92415 (San Bernardino),92415,1,50.0,50.0,275000.0,3000.0,1756054216011,Synapse54,1756054216011,Synapse54
57,92501 (Riverside),92501,2363,10.65,10.65,22537500.0,29360.344553073046,1756054216011,Synapse54,1756054216011,Synapse54
58,92503 (Riverside),92503,10047,10.77,10.77,107661250.0,83524.3000869383,1756054216011,Synapse54,1756054216011,Synapse54
59,92504 (Riverside),92504,5756,10.4,10.4,85888750.0,78010.88809143189,1756054216011,Synapse54,1756054216011,Synapse54
60,92505 (Riverside),92505,5309,10.72,10.72,47511250.0,39417.83554710996,1756054216011,Synapse54,1756054216011,Synapse54
61,92506 (Riverside),92506,4215,9.24,9.24,65882500.0,59310.71744028767,1756054216011,Synapse54,1756054216011,Synapse54
62,92507 (Riverside),92507,6898,10.44,10.44,67203750.0,75253.54192382339,1756054216011,Synapse54,1756054216011,Synapse54
63,92508 (Riverside),92508,3553,10.05,10.05,48228750.0,42104.659565642694,1756054216011,Synapse54,1756054216011,Synapse54
