OBJECTID,DESCRIPTION,ID,GENZ_FY,GENZ_FY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,92324 (Colton),92324,15055,26.5,26.5,103893750.0,95493.09326340992,1756054260270,Synapse54,1756054260270,Synapse54
2,92325 (Crestline),92325,1653,17.32,17.32,40745000.0,36360.74748998447,1756054260270,Synapse54,1756054260270,Synapse54
3,92327 (Daggett),92327,72,18.0,18.0,117928750.0,70424.41944943395,1756054260270,Synapse54,1756054260270,Synapse54
4,92328 (Death Valley),92328,144,23.49,23.49,11250172500.0,592837.0236694143,1756054260270,Synapse54,1756054260270,Synapse54
5,92332 (Essex),92332,20,25.32,25.32,8479478750.0,491222.04307418433,1756054260270,Synapse54,1756054260270,Synapse54
6,92333 (Fawnskin),92333,48,10.15,10.15,9801250.0,23411.774905525286,1756054260270,Synapse54,1756054260270,Synapse54
7,92335 (Fontana),92335,26340,28.52,28.52,65380000.0,40779.92289285877,1756054260270,Synapse54,1756054260270,Synapse54
8,92336 (Fontana),92336,27471,24.05,24.05,78431250.0,47083.67147810428,1756054260270,Synapse54,1756054260270,Synapse54
9,92337 (Fontana),92337,9176,26.14,26.14,50931250.0,35486.09943380774,1756054260270,Synapse54,1756054260270,Synapse54
10,92338 (Ludlow),92338,13,24.53,24.53,2457380000.0,333491.21301942435,1756054260270,Synapse54,1756054260270,Synapse54
11,92339 (Forest Falls),92339,198,17.02,17.02,346780000.0,130998.42700267813,1756054260270,Synapse54,1756054260270,Synapse54
12,92341 (Green Valley Lake),92341,57,13.16,13.16,4170000.0,10148.730814482513,1756054260270,Synapse54,1756054260270,Synapse54
13,92342 (Helendale),92342,1349,20.35,20.35,490536250.0,128551.89282404495,1756054260270,Synapse54,1756054260270,Synapse54
14,92344 (Hesperia),92344,6934,27.81,27.81,145977500.0,59094.021951112074,1756054260270,Synapse54,1756054260270,Synapse54
15,92345 (Hesperia),92345,23248,26.76,26.76,299282877.56640625,94717.5221552905,1756054260270,Synapse54,1756054260270,Synapse54
16,92346 (Highland),92346,14132,24.15,24.15,75450000.0,50516.84006554063,1756054260270,Synapse54,1756054260270,Synapse54
17,92347 (Hinkley),92347,174,20.86,20.86,1168466250.0,223429.79570630056,1756054260270,Synapse54,1756054260270,Synapse54
18,92350 (Loma Linda),92350,8,53.33,53.33,325000.0,2662.272482983109,1756054260270,Synapse54,1756054260270,Synapse54
19,92352 (Lake Arrowhead),92352,1160,16.32,16.32,34961250.0,39198.68135370152,1756054260270,Synapse54,1756054260270,Synapse54
20,90621 (Buena Park),90621,8654,24.43,24.43,14926250.0,21087.679435974318,1756054260270,Synapse54,1756054260270,Synapse54
21,92354 (Loma Linda),92354,5710,25.07,25.07,19262500.0,32113.439694581248,1756054260270,Synapse54,1756054260270,Synapse54
22,92356 (Lucerne Valley),92356,1081,18.95,18.95,1747987500.0,262557.9121112412,1756054260270,Synapse54,1756054260270,Synapse54
23,92358 (Lytle Creek),92358,113,15.63,15.63,95396250.0,59237.84705163992,1756054260270,Synapse54,1756054260270,Synapse54
24,92359 (Mentone),92359,2083,23.26,23.26,199802500.0,146993.5666282572,1756054260270,Synapse54,1756054260270,Synapse54
25,92363 (Needles),92363,1114,20.35,20.35,4995917500.0,522891.6342496342,1756054260270,Synapse54,1756054260270,Synapse54
