OBJECTID,DESCRIPTION,ID,MP28591A_B,MP28591A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,90621 (Buena Park),90621,4107,14.66,14.66,14926250.0,21087.679435974318,1756053753291,Synapse54,1756053753291,Synapse54
2,90623 (La Palma),90623,1526,12.3,12.3,6976250.0,16169.900377776361,1756053753291,Synapse54,1756053753291,Synapse54
3,90630 (Cypress),90630,5068,12.9,12.9,23375000.0,30591.584822141205,1756053753291,Synapse54,1756053753291,Synapse54
4,90631 (La Habra),90631,7341,13.68,13.68,51115000.0,41125.47464364195,1756053753291,Synapse54,1756053753291,Synapse54
5,90638 (La Mirada),90638,4554,12.23,12.23,28975000.0,36363.589685550694,1756053753291,Synapse54,1756053753291,Synapse54
6,90639 (La Mirada),90639,164,11.84,11.84,628750.0,4050.9365282633644,1756053753291,Synapse54,1756053753291,Synapse54
7,90640 (Montebello),90640,7020,14.59,14.59,31072500.0,33723.07592538333,1756053753291,Synapse54,1756053753291,Synapse54
8,90650 (Norwalk),90650,10709,13.85,13.85,36745000.0,34075.03927766407,1756053753291,Synapse54,1756053753291,Synapse54
9,90660 (Pico Rivera),90660,6481,13.74,13.74,32288750.0,29498.64150538908,1756053753291,Synapse54,1756053753291,Synapse54
10,90670 (Santa Fe Springs),90670,1908,13.7,13.7,32167500.0,52293.866012792765,1756053753291,Synapse54,1756053753291,Synapse54
11,90680 (Stanton),90680,3650,14.57,14.57,10142500.0,25187.490876299296,1756053753291,Synapse54,1756053753291,Synapse54
12,90701 (Artesia),90701,1784,13.64,13.64,6072500.0,15226.251904130706,1756053753291,Synapse54,1756053753291,Synapse54
13,90703 (Cerritos),90703,4814,12.09,12.09,33382500.0,43957.88438492369,1756053753291,Synapse54,1756053753291,Synapse54
14,90704 (Avalon),90704,444,14.5,14.5,487926250.0,217962.03793947026,1756053753291,Synapse54,1756053753291,Synapse54
15,90706 (Bellflower),90706,8840,14.85,14.85,23067500.0,21705.237676308017,1756053753291,Synapse54,1756053753291,Synapse54
16,90710 (Harbor City),90710,2877,13.67,13.67,8730000.0,14589.089922329094,1756053753291,Synapse54,1756053753291,Synapse54
17,90712 (Lakewood),90712,3181,12.21,12.21,16535000.0,22577.300170428734,1756053753291,Synapse54,1756053753291,Synapse54
18,90713 (Lakewood),90713,2596,12.06,12.06,12796250.0,16128.32750732679,1756053753291,Synapse54,1756053753291,Synapse54
19,90715 (Lakewood),90715,2257,14.32,14.32,6483750.0,15164.516714525105,1756053753291,Synapse54,1756053753291,Synapse54
20,90716 (Hawaiian Gardens),90716,1507,14.96,14.96,3653750.0,9011.135593632347,1756053753291,Synapse54,1756053753291,Synapse54
21,90717 (Lomita),90717,2530,14.44,14.44,7921250.0,16645.18298324878,1756053753291,Synapse54,1756053753291,Synapse54
22,90720 (Los Alamitos),90720,2495,13.56,13.56,23170000.0,25290.212669775807,1756053753291,Synapse54,1756053753291,Synapse54
23,90723 (Paramount),90723,5876,15.14,15.14,17825000.0,25500.519197521357,1756053753291,Synapse54,1756053753291,Synapse54
24,90731 (San Pedro),90731,7125,15.3,15.3,34893750.0,86960.88531120957,1756053753291,Synapse54,1756053753291,Synapse54
25,90732 (San Pedro),90732,2345,13.38,13.38,12383750.0,32670.676087233125,1756053753291,Synapse54,1756053753291,Synapse54
26,90740 (Seal Beach),90740,3021,14.15,14.15,42653750.0,55814.47434146027,1756053753291,Synapse54,1756053753291,Synapse54
27,90742 (Sunset Beach),90742,108,13.6,13.6,728750.0,5465.495476873691,1756053753291,Synapse54,1756053753291,Synapse54
28,90743 (Surfside),90743,51,13.56,13.56,218750.0,2701.3356277779667,1756053753291,Synapse54,1756053753291,Synapse54
29,90744 (Wilmington),90744,5915,15.32,15.32,31171250.0,40903.96811881212,1756053753291,Synapse54,1756053753291,Synapse54
30,90745 (Carson),90745,6377,12.96,12.96,35256250.0,31371.42910918017,1756053753291,Synapse54,1756053753291,Synapse54
31,90746 (Carson),90746,2582,12.11,12.11,17991250.0,30527.06992508295,1756053753291,Synapse54,1756053753291,Synapse54
32,90747 (Carson),90747,134,14.14,14.14,2237500.0,6350.89257261219,1756053753291,Synapse54,1756053753291,Synapse54
33,90755 (Signal Hill),90755,1362,14.54,14.54,8442500.0,20923.47092526615,1756053753291,Synapse54,1756053753291,Synapse54
34,90802 (Long Beach),90802,5806,14.98,14.98,22857500.0,60447.90859170592,1756053753291,Synapse54,1756053753291,Synapse54
35,90803 (Long Beach),90803,4046,14.12,14.12,17262500.0,48052.98046210528,1756053753291,Synapse54,1756053753291,Synapse54
36,90804 (Long Beach),90804,4774,15.52,15.52,8283750.0,17404.825022744844,1756053753291,Synapse54,1756053753291,Synapse54
37,90805 (Long Beach),90805,10401,14.96,14.96,28283750.0,28282.847625561633,1756053753291,Synapse54,1756053753291,Synapse54
38,90806 (Long Beach),90806,4570,14.98,14.98,14482500.0,29336.82441539369,1756053753291,Synapse54,1756053753291,Synapse54
39,90807 (Long Beach),90807,3612,14.16,14.16,18830000.0,30252.877556949352,1756053753291,Synapse54,1756053753291,Synapse54
40,90808 (Long Beach),90808,3872,12.65,12.65,29252500.0,30714.377057701477,1756053753291,Synapse54,1756053753291,Synapse54
41,90810 (Long Beach),90810,4047,13.81,13.81,23680000.0,23549.221417701145,1756053753291,Synapse54,1756053753291,Synapse54
42,90813 (Long Beach),90813,6060,15.63,15.63,15312500.0,22742.295497020463,1756053753291,Synapse54,1756053753291,Synapse54
43,90814 (Long Beach),90814,2307,14.73,14.73,4823750.0,13832.719778893748,1756053753291,Synapse54,1756053753291,Synapse54
44,90815 (Long Beach),90815,4093,13.31,13.31,26080178.5703125,29824.793801974556,1756053753291,Synapse54,1756053753291,Synapse54
45,90822 (Long Beach),90822,0,0.0,0.0,2023750.0,6752.358352422547,1756053753291,Synapse54,1756053753291,Synapse54
46,90840 (Long Beach),90840,252,13.31,13.31,1820000.0,7002.623034877741,1756053753291,Synapse54,1756053753291,Synapse54
47,91001 (Altadena),91001,2037,12.92,12.92,30072500.0,28398.778252080778,1756053753291,Synapse54,1756053753291,Synapse54
48,91006 (Arcadia),91006,3295,12.9,12.9,25265000.0,46650.75143039238,1756053753291,Synapse54,1756053753291,Synapse54
49,91007 (Arcadia),91007,3569,13.63,13.63,20713750.0,21959.462716422113,1756053753291,Synapse54,1756053753291,Synapse54
50,91008 (Duarte),91008,171,14.18,14.18,8665000.0,14371.0500767675,1756053753291,Synapse54,1756053753291,Synapse54
51,91010 (Duarte),91010,2949,13.84,13.84,20787500.0,31744.17864013616,1756053753291,Synapse54,1756053753291,Synapse54
52,91011 (La Canada Flintridge),91011,2203,14.13,14.13,236130000.0,119728.34233481884,1756053753291,Synapse54,1756053753291,Synapse54
53,91016 (Monrovia),91016,4604,13.85,13.85,65495000.0,54264.51282000843,1756053753291,Synapse54,1756053753291,Synapse54
54,91020 (Montrose),91020,969,14.26,14.26,2812500.0,9846.720145603033,1756053753291,Synapse54,1756053753291,Synapse54
55,91024 (Sierra Madre),91024,1232,13.79,13.79,11682500.0,17377.450162386187,1756053753291,Synapse54,1756053753291,Synapse54
56,91030 (South Pasadena),91030,2923,14.11,14.11,13103750.0,16515.93148070902,1756053753291,Synapse54,1756053753291,Synapse54
57,91040 (Sunland),91040,2338,12.78,12.78,54006250.0,62215.25556794039,1756053753291,Synapse54,1756053753291,Synapse54
58,91042 (Tujunga),91042,3093,13.54,13.54,240885000.0,104973.13160724998,1756053753291,Synapse54,1756053753291,Synapse54
59,91101 (Pasadena),91101,2600,14.33,14.33,4570000.0,10401.50972517863,1756053753291,Synapse54,1756053753291,Synapse54
60,91103 (Pasadena),91103,3273,14.78,14.78,18846250.0,23446.6992835936,1756053753291,Synapse54,1756053753291,Synapse54
61,91104 (Pasadena),91104,3668,13.74,13.74,14142500.0,17399.48031496562,1756053753291,Synapse54,1756053753291,Synapse54
62,91105 (Pasadena),91105,1653,14.09,14.09,15438750.0,26685.91207743518,1756053753291,Synapse54,1756053753291,Synapse54
63,91106 (Pasadena),91106,2835,14.42,14.42,11187500.0,22060.2945305279,1756053753291,Synapse54,1756053753291,Synapse54
64,91107 (Pasadena),91107,3560,13.36,13.36,31986250.0,34262.73104182556,1756053753291,Synapse54,1756053753291,Synapse54
65,91108 (San Marino),91108,1387,14.04,14.04,14412500.0,22125.96232575422,1756053753291,Synapse54,1756053753291,Synapse54
66,91123 (Pasadena),91123,31,14.49,14.49,226250.0,1916.4617511106312,1756053753291,Synapse54,1756053753291,Synapse54
67,91201 (Glendale),91201,2653,14.42,14.42,9001250.0,16026.413240796723,1756053753291,Synapse54,1756053753291,Synapse54
68,91202 (Glendale),91202,2606,14.21,14.21,8240000.0,12586.13052702877,1756053753291,Synapse54,1756053753291,Synapse54
69,91203 (Glendale),91203,2151,15.16,15.16,3203750.0,7653.550392833003,1756053753291,Synapse54,1756053753291,Synapse54
70,91204 (Glendale),91204,2169,15.24,15.24,3886250.0,12627.958758843704,1756053753291,Synapse54,1756053753291,Synapse54
