OBJECTID,DESCRIPTION,ID,MEDHINC_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,85328 (Cibola),85328,26116,26116,527471250.0,162187.00041854146,1756054326634,Synapse54,1756054326634,Synapse54
2,85334 (Ehrenberg),85334,36458,36458,14281250.0,17788.853656653973,1756054326634,Synapse54,1756054326634,Synapse54
3,85344 (Parker),85344,60790,60790,2314440000.0,344326.42202693666,1756054326634,Synapse54,1756054326634,Synapse54
4,85356 (Wellton),85356,66241,66241,13072497500.0,801783.4171452732,1756054326634,Synapse54,1756054326634,Synapse54
5,85364 (Yuma),85364,66732,66732,110230000.0,45460.76683107735,1756054326634,Synapse54,1756054326634,Synapse54
6,85365 (Yuma),85365,79877,79877,1266628750.0,392610.306711916,1756054326634,Synapse54,1756054326634,Synapse54
7,86403 (Lake Havasu City),86403,71216,71216,59838750.0,57038.76479084641,1756054326634,Synapse54,1756054326634,Synapse54
8,86404 (Lake Havasu City),86404,80393,80393,742061250.0,137802.6121169432,1756054326634,Synapse54,1756054326634,Synapse54
9,86406 (Lake Havasu City),86406,79920,79920,938367500.0,155025.73963829104,1756054326634,Synapse54,1756054326634,Synapse54
10,86426 (Fort Mohave),86426,73381,73381,126391250.0,55703.99409195367,1756054326634,Synapse54,1756054326634,Synapse54
11,86436 (Topock),86436,62087,62087,270866250.0,72492.56980588361,1756054326634,Synapse54,1756054326634,Synapse54
12,86440 (Mohave Valley),86440,72883,72883,366532500.0,87291.4552011968,1756054326634,Synapse54,1756054326634,Synapse54
13,89047 (Silverpeak),89047,58152,58152,5060995000.0,547722.7565949309,1756054326634,Synapse54,1756054326634,Synapse54
14,89124 (Las Vegas),89124,129646,129646,2943311250.0,385730.5180699903,1756054326634,Synapse54,1756054326634,Synapse54
15,89402 (Crystal Bay),89402,247457,247457,3416250.0,9341.781768582085,1756054326634,Synapse54,1756054326634,Synapse54
16,89405 (Empire),89405,76674,76674,5973371250.0,397551.10654173396,1756054326634,Synapse54,1756054326634,Synapse54
17,89410 (Gardnerville),89410,94649,94649,911897500.0,254260.11796105534,1756054326634,Synapse54,1756054326634,Synapse54
18,89444 (Wellington),89444,64143,64143,1022086250.0,275733.5588463532,1756054326634,Synapse54,1756054326634,Synapse54
19,90001 (Los Angeles),90001,70668,70668,13393750.0,16340.659532717696,1756054326634,Synapse54,1756054326634,Synapse54
20,90002 (Los Angeles),90002,68203,68203,11766250.0,16173.923343432905,1756054326634,Synapse54,1756054326634,Synapse54
21,90003 (Los Angeles),90003,67467,67467,13241250.0,18664.620780825342,1756054326634,Synapse54,1756054326634,Synapse54
22,90004 (Los Angeles),90004,75584,75584,11791250.0,16167.234121431859,1756054326634,Synapse54,1756054326634,Synapse54
23,90005 (Los Angeles),90005,65523,65523,5742500.0,15666.089913073765,1756054326634,Synapse54,1756054326634,Synapse54
